INJECTION SCHEME : 100ns_54b_42_18_18_18bpi3inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	121,		100,		18,		0,	1,	80
2,	1,	ring_2,	601,		100,		18,		0,	1,	80
3,	2,	ring_1,	9031,		100,		18,		0,	1,	80
4,	2,	ring_2,	9031,		100,		18,		0,	1,	80
5,	3,	ring_1,	17971,		100,		18,		0,	1,	80
6,	3,	ring_2,	17971,		100,		18,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/54
Tot number of B2 bunches(probe/Nominal) : 0/54

Tot number of B1 injections : 3
Tot number of B2 injections : 3

Collisions at IP1&5 : 42
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 3498

Collisions at IP2 : 42
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 3498

Collisions at IP8 : 18
B1-empty at IP8 : 36
B2-empty at IP8 : 36
Empty-empty at IP8 : 3522

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
761,601,-59.89
801,641,-59.89
9191,9031,-59.89
9231,9071,-59.89
9271,9111,-59.89
9311,9151,-59.89
9351,9191,-59.89
9391,9231,-59.89
9431,9271,-59.89
9471,9311,-59.89
9511,9351,-59.89
9551,9391,-59.89
9591,9431,-59.89
9631,9471,-59.89
9671,9511,-59.89
9711,9551,-59.89
18131,17971,-59.89
18171,18011,-59.89
18211,18051,-59.89
18251,18091,-59.89
18291,18131,-59.89
18331,18171,-59.89
18371,18211,-59.89
18411,18251,-59.89
18451,18291,-59.89
18491,18331,-59.89
18531,18371,-59.89
18571,18411,-59.89
18611,18451,-59.89
18651,18491,-59.89
721,601,-44.92
761,641,-44.92
801,681,-44.92
9151,9031,-44.92
9191,9071,-44.92
9231,9111,-44.92
9271,9151,-44.92
9311,9191,-44.92
9351,9231,-44.92
9391,9271,-44.92
9431,9311,-44.92
9471,9351,-44.92
9511,9391,-44.92
9551,9431,-44.92
9591,9471,-44.92
9631,9511,-44.92
9671,9551,-44.92
9711,9591,-44.92
18091,17971,-44.92
18131,18011,-44.92
18171,18051,-44.92
18211,18091,-44.92
18251,18131,-44.92
18291,18171,-44.92
18331,18211,-44.92
18371,18251,-44.92
18411,18291,-44.92
18451,18331,-44.92
18491,18371,-44.92
18531,18411,-44.92
18571,18451,-44.92
18611,18491,-44.92
18651,18531,-44.92
681,601,-29.95
721,641,-29.95
761,681,-29.95
801,721,-29.95
9111,9031,-29.95
9151,9071,-29.95
9191,9111,-29.95
9231,9151,-29.95
9271,9191,-29.95
9311,9231,-29.95
9351,9271,-29.95
9391,9311,-29.95
9431,9351,-29.95
9471,9391,-29.95
9511,9431,-29.95
9551,9471,-29.95
9591,9511,-29.95
9631,9551,-29.95
9671,9591,-29.95
9711,9631,-29.95
18051,17971,-29.95
18091,18011,-29.95
18131,18051,-29.95
18171,18091,-29.95
18211,18131,-29.95
18251,18171,-29.95
18291,18211,-29.95
18331,18251,-29.95
18371,18291,-29.95
18411,18331,-29.95
18451,18371,-29.95
18491,18411,-29.95
18531,18451,-29.95
18571,18491,-29.95
18611,18531,-29.95
18651,18571,-29.95
641,601,-14.97
681,641,-14.97
721,681,-14.97
761,721,-14.97
801,761,-14.97
9071,9031,-14.97
9111,9071,-14.97
9151,9111,-14.97
9191,9151,-14.97
9231,9191,-14.97
9271,9231,-14.97
9311,9271,-14.97
9351,9311,-14.97
9391,9351,-14.97
9431,9391,-14.97
9471,9431,-14.97
9511,9471,-14.97
9551,9511,-14.97
9591,9551,-14.97
9631,9591,-14.97
9671,9631,-14.97
9711,9671,-14.97
18011,17971,-14.97
