INJECTION SCHEME : 100ns_685b_671_665_1_72bpi13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		100,		18,		0,	1,	10
2,	1,	ring_2,	1,		100,		18,		0,	1,	80
3,	2,	ring_1,	1041,		100,		18,		1950,	4,	80
4,	2,	ring_2,	1041,		100,		18,		1950,	4,	80
5,	3,	ring_1,	4421,		100,		18,		1950,	4,	80
6,	3,	ring_2,	4421,		100,		18,		1950,	4,	80
7,	4,	ring_1,	8131,		100,		18,		1950,	2,	80
8,	4,	ring_2,	8131,		100,		18,		1950,	2,	80
9,	5,	ring_1,	9951,		100,		18,		1950,	4,	80
10,	5,	ring_2,	9951,		100,		18,		1950,	4,	80
11,	6,	ring_1,	13331,		100,		18,		1950,	4,	80
12,	6,	ring_2,	13331,		100,		18,		1950,	4,	80
13,	7,	ring_1,	16881,		100,		18,		1950,	2,	80
14,	7,	ring_2,	17041,		100,		18,		1950,	2,	80
15,	8,	ring_1,	18861,		100,		18,		1950,	4,	80
16,	8,	ring_2,	18861,		100,		18,		1950,	4,	80
17,	9,	ring_1,	22241,		100,		18,		1950,	4,	80
18,	9,	ring_2,	22241,		100,		18,		1950,	4,	80
19,	10,	ring_1,	25981,		0,		1,		0,	1,	80
20,	10,	ring_2,	26531,		100,		18,		0,	1,	80
21,	11,	ring_1,	26731,		100,		18,		0,	1,	80
22,	12,	ring_1,	27771,		100,		18,		1950,	4,	80
23,	11,	ring_2,	27771,		100,		18,		1950,	4,	80
24,	13,	ring_1,	31151,		100,		18,		1950,	4,	80
25,	12,	ring_2,	31151,		100,		18,		1950,	4,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/685
Tot number of B2 bunches(probe/Nominal) : 0/685

Tot number of B1 injections : 13
Tot number of B2 injections : 12

Collisions at IP1&5 : 671
B1-empty at IP1&5 : 14
B2-empty at IP1&5 : 13
Empty-empty at IP1&5 : 2866

Collisions at IP2 : 671
B1-empty at IP2 : 14
B2-empty at IP2 : 13
Empty-empty at IP2 : 2866

Collisions at IP8 : 1
B1-empty at IP8 : 684
B2-empty at IP8 : 683
Empty-empty at IP8 : 3536

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
161,1,-59.89
201,41,-59.89
241,81,-59.89
281,121,-59.89
321,161,-59.89
361,201,-59.89
401,241,-59.89
441,281,-59.89
481,321,-59.89
521,361,-59.89
561,401,-59.89
601,441,-59.89
641,481,-59.89
681,521,-59.89
1201,1041,-59.89
1241,1081,-59.89
1281,1121,-59.89
1321,1161,-59.89
1361,1201,-59.89
1401,1241,-59.89
1441,1281,-59.89
1481,1321,-59.89
1521,1361,-59.89
1561,1401,-59.89
1601,1441,-59.89
1641,1481,-59.89
1681,1521,-59.89
1721,1561,-59.89
1981,1821,-59.89
2021,1861,-59.89
2061,1901,-59.89
2101,1941,-59.89
2141,1981,-59.89
2181,2021,-59.89
2221,2061,-59.89
2261,2101,-59.89
2301,2141,-59.89
2341,2181,-59.89
2381,2221,-59.89
2421,2261,-59.89
2461,2301,-59.89
2501,2341,-59.89
2761,2601,-59.89
2801,2641,-59.89
2841,2681,-59.89
2881,2721,-59.89
2921,2761,-59.89
2961,2801,-59.89
3001,2841,-59.89
3041,2881,-59.89
3081,2921,-59.89
3121,2961,-59.89
3161,3001,-59.89
3201,3041,-59.89
3241,3081,-59.89
3281,3121,-59.89
3541,3381,-59.89
3581,3421,-59.89
3621,3461,-59.89
3661,3501,-59.89
3701,3541,-59.89
3741,3581,-59.89
3781,3621,-59.89
3821,3661,-59.89
3861,3701,-59.89
3901,3741,-59.89
3941,3781,-59.89
3981,3821,-59.89
4021,3861,-59.89
4061,3901,-59.89
4581,4421,-59.89
4621,4461,-59.89
4661,4501,-59.89
4701,4541,-59.89
4741,4581,-59.89
4781,4621,-59.89
4821,4661,-59.89
4861,4701,-59.89
4901,4741,-59.89
4941,4781,-59.89
4981,4821,-59.89
5021,4861,-59.89
5061,4901,-59.89
5101,4941,-59.89
5361,5201,-59.89
5401,5241,-59.89
5441,5281,-59.89
5481,5321,-59.89
5521,5361,-59.89
5561,5401,-59.89
5601,5441,-59.89
5641,5481,-59.89
5681,5521,-59.89
5721,5561,-59.89
5761,5601,-59.89
5801,5641,-59.89
5841,5681,-59.89
5881,5721,-59.89
6141,5981,-59.89
6181,6021,-59.89
6221,6061,-59.89
6261,6101,-59.89
6301,6141,-59.89
6341,6181,-59.89
6381,6221,-59.89
6421,6261,-59.89
6461,6301,-59.89
6501,6341,-59.89
6541,6381,-59.89
6581,6421,-59.89
6621,6461,-59.89
6661,6501,-59.89
6921,6761,-59.89
