INJECTION SCHEME : 25ns8b4e_529b_517_279_444_112bpi8inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	1,		0,		1,		0,	1,	100
2,	1,	ring_1,	1,		0,		1,		0,	1,	5
3,	2,	ring_1,	401,		25,		12,		0,	1,	80
4,	2,	ring_2,	401,		25,		12,		0,	1,	80
5,	3,	ring_1,	911,		25,		12,		0,	1,	80
6,	3,	ring_2,	1311,		25,		12,		0,	1,	80
7,	4,	ring_1,	1821,		25,		56,		2225,	2,	80
8,	4,	ring_2,	1821,		25,		56,		2225,	2,	80
9,	5,	ring_1,	10761,		25,		56,		2225,	2,	80
10,	5,	ring_2,	10761,		25,		56,		2225,	2,	80
11,	6,	ring_1,	19701,		25,		56,		2225,	2,	80
12,	6,	ring_2,	19701,		25,		56,		2225,	2,	80
13,	7,	ring_1,	26701,		25,		56,		0,	1,	80
14,	7,	ring_2,	26701,		25,		56,		0,	1,	80
15,	8,	ring_1,	28641,		25,		56,		2225,	2,	80
16,	8,	ring_2,	28641,		25,		56,		2225,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/529
Tot number of B2 bunches(probe/Nominal) : 0/529

Tot number of B1 injections : 8
Tot number of B2 injections : 8

Collisions at IP1&5 : 517
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 3023

Collisions at IP2 : 517
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 3023

Collisions at IP8 : 444
B1-empty at IP8 : 85
B2-empty at IP8 : 85
Empty-empty at IP8 : 3096

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1991,1821,-63.64
2001,1831,-63.64
2011,1841,-63.64
2061,1891,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2181,2011,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2301,2131,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2421,2251,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2541,2371,-63.64
2591,2421,-63.64
2601,2431,-63.64
2611,2441,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2951,2781,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3071,2901,-63.64
3121,2951,-63.64
3131,2961,-63.64
3141,2971,-63.64
3191,3021,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3311,3141,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3431,3261,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
10931,10761,-63.64
10941,10771,-63.64
10951,10781,-63.64
11001,10831,-63.64
11051,10881,-63.64
11061,10891,-63.64
11071,10901,-63.64
11121,10951,-63.64
11171,11001,-63.64
11181,11011,-63.64
11191,11021,-63.64
11241,11071,-63.64
11291,11121,-63.64
11301,11131,-63.64
11311,11141,-63.64
11361,11191,-63.64
11411,11241,-63.64
11421,11251,-63.64
11431,11261,-63.64
11481,11311,-63.64
11531,11361,-63.64
11541,11371,-63.64
11551,11381,-63.64
11651,11481,-63.64
11661,11491,-63.64
11671,11501,-63.64
11681,11511,-63.64
11691,11521,-63.64
11701,11531,-63.64
11711,11541,-63.64
11721,11551,-63.64
11821,11651,-63.64
11831,11661,-63.64
11841,11671,-63.64
11891,11721,-63.64
11941,11771,-63.64
11951,11781,-63.64
11961,11791,-63.64
12011,11841,-63.64
12061,11891,-63.64
12071,11901,-63.64
12081,11911,-63.64
12131,11961,-63.64
12181,12011,-63.64
12191,12021,-63.64
12201,12031,-63.64
12251,12081,-63.64
12301,12131,-63.64
12311,12141,-63.64
12321,12151,-63.64
12371,12201,-63.64
12421,12251,-63.64
12431,12261,-63.64
12441,12271,-63.64
19871,19701,-63.64
19881,19711,-63.64
19891,19721,-63.64
19941,19771,-63.64
19991,19821,-63.64
20001,19831,-63.64
20011,19841,-63.64
20061,19891,-63.64
20111,19941,-63.64
20121,19951,-63.64
20131,19961,-63.64
20181,20011,-63.64
20231,20061,-63.64
20241,20071,-63.64
20251,20081,-63.64
20301,20131,-63.64
20351,20181,-63.64
20361,20191,-63.64
20371,20201,-63.64
20421,20251,-63.64
20471,20301,-63.64
20481,20311,-63.64
20491,20321,-63.64
20591,20421,-63.64
20601,20431,-63.64
20611,20441,-63.64
20621,20451,-63.64
20631,20461,-63.64
20641,20471,-63.64
20651,20481,-63.64
20661,20491,-63.64
20761,20591,-63.64
20771,20601,-63.64
20781,20611,-63.64
20831,20661,-63.64
20881,20711,-63.64
20891,20721,-63.64
20901,20731,-63.64
20951,20781,-63.64
21001,20831,-63.64
21011,20841,-63.64
21021,20851,-63.64
21071,20901,-63.64
21121,20951,-63.64
21131,20961,-63.64
21141,20971,-63.64
21191,21021,-63.64
21241,21071,-63.64
21251,21081,-63.64
21261,21091,-63.64
21311,21141,-63.64
21361,21191,-63.64
21371,21201,-63.64
21381,21211,-63.64
26871,26701,-63.64
26881,26711,-63.64
26891,26721,-63.64
26941,26771,-63.64
26991,26821,-63.64
27001,26831,-63.64
27011,26841,-63.64
27061,26891,-63.64
27111,26941,-63.64
27121,26951,-63.64
27131,26961,-63.64
27181,27011,-63.64
27231,27061,-63.64
27241,27071,-63.64
27251,27081,-63.64
27301,27131,-63.64
27351,27181,-63.64
27361,27191,-63.64
27371,27201,-63.64
27421,27251,-63.64
27471,27301,-63.64
27481,27311,-63.64
27491,27321,-63.64
28811,28641,-63.64
28821,28651,-63.64
28831,28661,-63.64
28881,28711,-63.64
28931,28761,-63.64
28941,28771,-63.64
28951,28781,-63.64
29001,28831,-63.64
29051,28881,-63.64
29061,28891,-63.64
29071,28901,-63.64
29121,28951,-63.64
29171,29001,-63.64
29181,29011,-63.64
29191,29021,-63.64
29241,29071,-63.64
29291,29121,-63.64
29301,29131,-63.64
29311,29141,-63.64
29361,29191,-63.64
29411,29241,-63.64
29421,29251,-63.64
29431,29261,-63.64
29531,29361,-63.64
29541,29371,-63.64
29551,29381,-63.64
29561,29391,-63.64
29571,29401,-63.64
29581,29411,-63.64
29591,29421,-63.64
29601,29431,-63.64
29701,29531,-63.64
29711,29541,-63.64
29721,29551,-63.64
29771,29601,-63.64
29821,29651,-63.64
29831,29661,-63.64
29841,29671,-63.64
29891,29721,-63.64
29941,29771,-63.64
29951,29781,-63.64
29961,29791,-63.64
30011,29841,-63.64
30061,29891,-63.64
30071,29901,-63.64
30081,29911,-63.64
30131,29961,-63.64
30181,30011,-63.64
30191,30021,-63.64
30201,30031,-63.64
30251,30081,-63.64
30301,30131,-63.64
30311,30141,-63.64
30321,30151,-63.64
1981,1821,-59.89
1991,1831,-59.89
2001,1841,-59.89
2011,1851,-59.89
2101,1941,-59.89
2111,1951,-59.89
2121,1961,-59.89
2131,1971,-59.89
2221,2061,-59.89
2231,2071,-59.89
2241,2081,-59.89
2251,2091,-59.89
2341,2181,-59.89
2351,2191,-59.89
2361,2201,-59.89
2371,2211,-59.89
2461,2301,-59.89
2471,2311,-59.89
2481,2321,-59.89
2491,2331,-59.89
2581,2421,-59.89
2591,2431,-59.89
2601,2441,-59.89
2611,2451,-59.89
2711,2551,-59.89
2721,2561,-59.89
2731,2571,-59.89
2741,2581,-59.89
2751,2591,-59.89
2761,2601,-59.89
2771,2611,-59.89
2871,2711,-59.89
2881,2721,-59.89
2891,2731,-59.89
2901,2741,-59.89
2991,2831,-59.89
3001,2841,-59.89
3011,2851,-59.89
3021,2861,-59.89
3111,2951,-59.89
3121,2961,-59.89
3131,2971,-59.89
3141,2981,-59.89
3231,3071,-59.89
3241,3081,-59.89
3251,3091,-59.89
3261,3101,-59.89
3351,3191,-59.89
3361,3201,-59.89
3371,3211,-59.89
3381,3221,-59.89
3471,3311,-59.89
3481,3321,-59.89
3491,3331,-59.89
3501,3341,-59.89
10921,10761,-59.89
10931,10771,-59.89
10941,10781,-59.89
10951,10791,-59.89
11041,10881,-59.89
11051,10891,-59.89
11061,10901,-59.89
11071,10911,-59.89
11161,11001,-59.89
11171,11011,-59.89
11181,11021,-59.89
11191,11031,-59.89
11281,11121,-59.89
11291,11131,-59.89
11301,11141,-59.89
11311,11151,-59.89
11401,11241,-59.89
11411,11251,-59.89
11421,11261,-59.89
11431,11271,-59.89
11521,11361,-59.89
11531,11371,-59.89
11541,11381,-59.89
11551,11391,-59.89
11651,11491,-59.89
11661,11501,-59.89
11671,11511,-59.89
11681,11521,-59.89
11691,11531,-59.89
11701,11541,-59.89
11711,11551,-59.89
11811,11651,-59.89
11821,11661,-59.89
11831,11671,-59.89
11841,11681,-59.89
11931,11771,-59.89
11941,11781,-59.89
11951,11791,-59.89
11961,11801,-59.89
12051,11891,-59.89
12061,11901,-59.89
12071,11911,-59.89
12081,11921,-59.89
12171,12011,-59.89
12181,12021,-59.89
12191,12031,-59.89
12201,12041,-59.89
12291,12131,-59.89
12301,12141,-59.89
12311,12151,-59.89
12321,12161,-59.89
12411,12251,-59.89
12421,12261,-59.89
12431,12271,-59.89
12441,12281,-59.89
19861,19701,-59.89
19871,19711,-59.89
19881,19721,-59.89
19891,19731,-59.89
19981,19821,-59.89
19991,19831,-59.89
20001,19841,-59.89
20011,19851,-59.89
20101,19941,-59.89
20111,19951,-59.89
20121,19961,-59.89
20131,19971,-59.89
20221,20061,-59.89
20231,20071,-59.89
20241,20081,-59.89
20251,20091,-59.89
20341,20181,-59.89
20351,20191,-59.89
20361,20201,-59.89
20371,20211,-59.89
20461,20301,-59.89
20471,20311,-59.89
20481,20321,-59.89
20491,20331,-59.89
20591,20431,-59.89
20601,20441,-59.89
20611,20451,-59.89
20621,20461,-59.89
20631,20471,-59.89
20641,20481,-59.89
20651,20491,-59.89
20751,20591,-59.89
20761,20601,-59.89
20771,20611,-59.89
20781,20621,-59.89
20871,20711,-59.89
20881,20721,-59.89
20891,20731,-59.89
20901,20741,-59.89
20991,20831,-59.89
21001,20841,-59.89
21011,20851,-59.89
21021,20861,-59.89
21111,20951,-59.89
21121,20961,-59.89
21131,20971,-59.89
21141,20981,-59.89
21231,21071,-59.89
21241,21081,-59.89
21251,21091,-59.89
21261,21101,-59.89
21351,21191,-59.89
21361,21201,-59.89
21371,21211,-59.89
21381,21221,-59.89
26861,26701,-59.89
26871,26711,-59.89
26881,26721,-59.89
26891,26731,-59.89
26981,26821,-59.89
26991,26831,-59.89
27001,26841,-59.89
27011,26851,-59.89
27101,26941,-59.89
27111,26951,-59.89
27121,26961,-59.89
27131,26971,-59.89
27221,27061,-59.89
27231,27071,-59.89
27241,27081,-59.89
27251,27091,-59.89
27341,27181,-59.89
27351,27191,-59.89
27361,27201,-59.89
27371,27211,-59.89
27461,27301,-59.89
27471,27311,-59.89
27481,27321,-59.89
27491,27331,-59.89
28801,28641,-59.89
28811,28651,-59.89
28821,28661,-59.89
28831,28671,-59.89
28921,28761,-59.89
28931,28771,-59.89
28941,28781,-59.89
28951,28791,-59.89
29041,28881,-59.89
29051,28891,-59.89
29061,28901,-59.89
29071,28911,-59.89
29161,29001,-59.89
29171,29011,-59.89
29181,29021,-59.89
29191,29031,-59.89
29281,29121,-59.89
29291,29131,-59.89
29301,29141,-59.89
29311,29151,-59.89
29401,29241,-59.89
29411,29251,-59.89
29421,29261,-59.89
29431,29271,-59.89
29531,29371,-59.89
29541,29381,-59.89
29551,29391,-59.89
29561,29401,-59.89
29571,29411,-59.89
29581,29421,-59.89
29591,29431,-59.89
29691,29531,-59.89
29701,29541,-59.89
29711,29551,-59.89
29721,29561,-59.89
29811,29651,-59.89
29821,29661,-59.89
29831,29671,-59.89
29841,29681,-59.89
29931,29771,-59.89
29941,29781,-59.89
29951,29791,-59.89
29961,29801,-59.89
30051,29891,-59.89
30061,29901,-59.89
30071,29911,-59.89
30081,29921,-59.89
30171,30011,-59.89
30181,30021,-59.89
30191,30031,-59.89
30201,30041,-59.89
30291,30131,-59.89
30301,30141,-59.89
30311,30151,-59.89
30321,30161,-59.89
1971,1821,-56.15
1981,1831,-56.15
1991,1841,-56.15
2001,1851,-56.15
2011,1861,-56.15
2091,1941,-56.15
2101,1951,-56.15
2111,1961,-56.15
2121,1971,-56.15
2131,1981,-56.15
2211,2061,-56.15
2221,2071,-56.15
2231,2081,-56.15
2241,2091,-56.15
