INJECTION SCHEME : 25ns_1033b_1021_878_885_144bpi10inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	381,		0,		1,		0,	1,	80
2,	1,	ring_2,	381,		0,		1,		0,	1,	80
3,	2,	ring_1,	781,		25,		12,		0,	1,	80
4,	2,	ring_2,	781,		25,		12,		0,	1,	80
5,	3,	ring_1,	1291,		25,		12,		0,	1,	80
6,	3,	ring_2,	1691,		25,		12,		0,	1,	80
7,	4,	ring_1,	2201,		25,		72,		2025,	2,	80
8,	4,	ring_2,	2201,		25,		72,		2025,	2,	80
9,	5,	ring_1,	9171,		25,		72,		2025,	2,	80
10,	5,	ring_2,	9171,		25,		72,		2025,	2,	80
11,	6,	ring_1,	11091,		25,		72,		2025,	2,	80
12,	6,	ring_2,	11091,		25,		72,		2025,	2,	80
13,	7,	ring_1,	18111,		25,		72,		2025,	2,	80
14,	7,	ring_2,	18111,		25,		72,		2025,	2,	80
15,	8,	ring_1,	20031,		25,		72,		2025,	2,	80
16,	8,	ring_2,	20031,		25,		72,		2025,	2,	80
17,	9,	ring_1,	27051,		25,		72,		2025,	2,	80
18,	9,	ring_2,	27051,		25,		72,		2025,	2,	80
19,	10,	ring_1,	28971,		25,		72,		2025,	2,	80
20,	10,	ring_2,	28971,		25,		72,		2025,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1033
Tot number of B2 bunches(probe/Nominal) : 0/1033

Tot number of B1 injections : 10
Tot number of B2 injections : 10

Collisions at IP1&5 : 1021
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 2519

Collisions at IP2 : 1021
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 2519

Collisions at IP8 : 885
B1-empty at IP8 : 148
B2-empty at IP8 : 148
Empty-empty at IP8 : 2655

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2561,2391,-63.64
2571,2401,-63.64
2581,2411,-63.64
2591,2421,-63.64
2601,2431,-63.64
2611,2441,-63.64
2621,2451,-63.64
2631,2461,-63.64
2641,2471,-63.64
2651,2481,-63.64
2661,2491,-63.64
2671,2501,-63.64
2681,2511,-63.64
2691,2521,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3281,3111,-63.64
3291,3121,-63.64
3301,3131,-63.64
3311,3141,-63.64
3321,3151,-63.64
3331,3161,-63.64
3341,3171,-63.64
3351,3181,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
