INJECTION SCHEME : 25ns_1176b_1104_948_1044_72bpi18inj_2us

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		25,		12,		0,	1,	150
2,	1,	ring_2,	1,		25,		12,		0,	1,	80
3,	2,	ring_1,	511,		25,		12,		0,	1,	80
4,	2,	ring_2,	511,		25,		12,		0,	1,	80
5,	3,	ring_1,	1021,		25,		72,		0,	1,	80
6,	3,	ring_2,	1021,		25,		72,		0,	1,	80
7,	4,	ring_1,	2531,		25,		72,		0,	1,	80
8,	4,	ring_2,	2531,		25,		72,		0,	1,	80
9,	5,	ring_1,	4041,		25,		72,		0,	1,	80
10,	5,	ring_2,	4041,		25,		72,		0,	1,	80
11,	6,	ring_1,	5551,		25,		72,		0,	1,	80
12,	6,	ring_2,	5551,		25,		72,		0,	1,	80
13,	7,	ring_2,	7061,		25,		72,		0,	1,	80
14,	7,	ring_1,	9961,		25,		72,		0,	1,	80
15,	8,	ring_2,	9961,		25,		72,		0,	1,	80
16,	8,	ring_1,	11471,		25,		72,		0,	1,	80
17,	9,	ring_2,	11471,		25,		72,		0,	1,	80
18,	9,	ring_1,	12981,		25,		72,		0,	1,	80
19,	10,	ring_2,	12981,		25,		72,		0,	1,	80
20,	10,	ring_1,	14491,		25,		72,		0,	1,	80
21,	11,	ring_2,	14491,		25,		72,		0,	1,	80
22,	11,	ring_1,	16001,		25,		72,		0,	1,	80
23,	12,	ring_1,	18901,		25,		72,		0,	1,	80
24,	12,	ring_2,	18901,		25,		72,		0,	1,	80
25,	13,	ring_1,	20411,		25,		72,		0,	1,	80
26,	13,	ring_2,	20411,		25,		72,		0,	1,	80
27,	14,	ring_1,	21921,		25,		72,		0,	1,	80
28,	14,	ring_2,	21921,		25,		72,		0,	1,	80
29,	15,	ring_1,	23431,		25,		72,		0,	1,	80
30,	15,	ring_2,	23431,		25,		72,		0,	1,	80
31,	16,	ring_1,	27841,		25,		72,		0,	1,	80
32,	16,	ring_2,	27841,		25,		72,		0,	1,	80
33,	17,	ring_1,	29351,		25,		72,		0,	1,	80
34,	17,	ring_2,	29351,		25,		72,		0,	1,	80
35,	18,	ring_1,	30861,		25,		72,		0,	1,	80
36,	18,	ring_2,	30861,		25,		72,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1176
Tot number of B2 bunches(probe/Nominal) : 0/1176

Tot number of B1 injections : 18
Tot number of B2 injections : 18

Collisions at IP1&5 : 1104
B1-empty at IP1&5 : 72
B2-empty at IP1&5 : 72
Empty-empty at IP1&5 : 2316

Collisions at IP2 : 1104
B1-empty at IP2 : 72
B2-empty at IP2 : 72
Empty-empty at IP2 : 2316

Collisions at IP8 : 1044
B1-empty at IP8 : 132
B2-empty at IP8 : 132
Empty-empty at IP8 : 2376

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1191,1021,-63.64
1201,1031,-63.64
1211,1041,-63.64
1221,1051,-63.64
1231,1061,-63.64
1241,1071,-63.64
1251,1081,-63.64
1261,1091,-63.64
1271,1101,-63.64
1281,1111,-63.64
1291,1121,-63.64
1301,1131,-63.64
1311,1141,-63.64
1321,1151,-63.64
1331,1161,-63.64
1341,1171,-63.64
1351,1181,-63.64
1361,1191,-63.64
1371,1201,-63.64
1381,1211,-63.64
1391,1221,-63.64
1401,1231,-63.64
1411,1241,-63.64
1421,1251,-63.64
1431,1261,-63.64
1441,1271,-63.64
1451,1281,-63.64
1461,1291,-63.64
1471,1301,-63.64
1481,1311,-63.64
1491,1321,-63.64
1501,1331,-63.64
1511,1341,-63.64
1521,1351,-63.64
1531,1361,-63.64
1541,1371,-63.64
1551,1381,-63.64
1561,1391,-63.64
1571,1401,-63.64
1581,1411,-63.64
1591,1421,-63.64
1601,1431,-63.64
1611,1441,-63.64
1621,1451,-63.64
1631,1461,-63.64
1641,1471,-63.64
1651,1481,-63.64
1661,1491,-63.64
1671,1501,-63.64
1681,1511,-63.64
1691,1521,-63.64
1701,1531,-63.64
1711,1541,-63.64
1721,1551,-63.64
1731,1561,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3131,2961,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3171,3001,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
4211,4041,-63.64
4221,4051,-63.64
4231,4061,-63.64
4241,4071,-63.64
4251,4081,-63.64
4261,4091,-63.64
4271,4101,-63.64
4281,4111,-63.64
4291,4121,-63.64
4301,4131,-63.64
4311,4141,-63.64
4321,4151,-63.64
4331,4161,-63.64
4341,4171,-63.64
4351,4181,-63.64
4361,4191,-63.64
4371,4201,-63.64
4381,4211,-63.64
4391,4221,-63.64
4401,4231,-63.64
4411,4241,-63.64
4421,4251,-63.64
4431,4261,-63.64
4441,4271,-63.64
4451,4281,-63.64
4461,4291,-63.64
4471,4301,-63.64
4481,4311,-63.64
4491,4321,-63.64
