INJECTION SCHEME : 25ns_1176b_1176_1096_1104_72bpi18inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		25,		12,		0,	1,	150
2,	1,	ring_2,	1,		25,		12,		0,	1,	80
3,	2,	ring_1,	511,		25,		12,		0,	1,	80
4,	2,	ring_2,	511,		25,		12,		0,	1,	80
5,	3,	ring_1,	1021,		25,		72,		0,	1,	80
6,	3,	ring_2,	1021,		25,		72,		0,	1,	80
7,	4,	ring_1,	2131,		25,		72,		0,	1,	80
8,	4,	ring_2,	2131,		25,		72,		0,	1,	80
9,	5,	ring_1,	3241,		25,		72,		0,	1,	80
10,	5,	ring_2,	3241,		25,		72,		0,	1,	80
11,	6,	ring_1,	4351,		25,		72,		0,	1,	80
12,	6,	ring_2,	4351,		25,		72,		0,	1,	80
13,	7,	ring_1,	9961,		25,		72,		0,	1,	80
14,	7,	ring_2,	9961,		25,		72,		0,	1,	80
15,	8,	ring_1,	11071,		25,		72,		0,	1,	80
16,	8,	ring_2,	11071,		25,		72,		0,	1,	80
17,	9,	ring_1,	12181,		25,		72,		0,	1,	80
18,	9,	ring_2,	12181,		25,		72,		0,	1,	80
19,	10,	ring_1,	13291,		25,		72,		0,	1,	80
20,	10,	ring_2,	13291,		25,		72,		0,	1,	80
21,	11,	ring_1,	18901,		25,		72,		0,	1,	80
22,	11,	ring_2,	18901,		25,		72,		0,	1,	80
23,	12,	ring_1,	20011,		25,		72,		0,	1,	80
24,	12,	ring_2,	20011,		25,		72,		0,	1,	80
25,	13,	ring_1,	21121,		25,		72,		0,	1,	80
26,	13,	ring_2,	21121,		25,		72,		0,	1,	80
27,	14,	ring_1,	22231,		25,		72,		0,	1,	80
28,	14,	ring_2,	22231,		25,		72,		0,	1,	80
29,	15,	ring_1,	27741,		25,		72,		0,	1,	80
30,	15,	ring_2,	27741,		25,		72,		0,	1,	80
31,	16,	ring_1,	28851,		25,		72,		0,	1,	80
32,	16,	ring_2,	28851,		25,		72,		0,	1,	80
33,	17,	ring_1,	29961,		25,		72,		0,	1,	80
34,	17,	ring_2,	29961,		25,		72,		0,	1,	80
35,	18,	ring_1,	31071,		25,		72,		0,	1,	80
36,	18,	ring_2,	31071,		25,		72,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1176
Tot number of B2 bunches(probe/Nominal) : 0/1176

Tot number of B1 injections : 18
Tot number of B2 injections : 18

Collisions at IP1&5 : 1176
B1-empty at IP1&5 : 0
B2-empty at IP1&5 : 0
Empty-empty at IP1&5 : 2388

Collisions at IP2 : 1176
B1-empty at IP2 : 0
B2-empty at IP2 : 0
Empty-empty at IP2 : 2388

Collisions at IP8 : 1104
B1-empty at IP8 : 72
B2-empty at IP8 : 72
Empty-empty at IP8 : 2460

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1191,1021,-63.64
1201,1031,-63.64
1211,1041,-63.64
1221,1051,-63.64
1231,1061,-63.64
1241,1071,-63.64
1251,1081,-63.64
1261,1091,-63.64
1271,1101,-63.64
1281,1111,-63.64
1291,1121,-63.64
1301,1131,-63.64
1311,1141,-63.64
1321,1151,-63.64
1331,1161,-63.64
1341,1171,-63.64
1351,1181,-63.64
1361,1191,-63.64
1371,1201,-63.64
1381,1211,-63.64
1391,1221,-63.64
1401,1231,-63.64
1411,1241,-63.64
1421,1251,-63.64
1431,1261,-63.64
1441,1271,-63.64
1451,1281,-63.64
1461,1291,-63.64
1471,1301,-63.64
1481,1311,-63.64
1491,1321,-63.64
1501,1331,-63.64
1511,1341,-63.64
1521,1351,-63.64
1531,1361,-63.64
1541,1371,-63.64
1551,1381,-63.64
1561,1391,-63.64
1571,1401,-63.64
1581,1411,-63.64
1591,1421,-63.64
1601,1431,-63.64
1611,1441,-63.64
1621,1451,-63.64
1631,1461,-63.64
1641,1471,-63.64
1651,1481,-63.64
1661,1491,-63.64
1671,1501,-63.64
1681,1511,-63.64
1691,1521,-63.64
1701,1531,-63.64
1711,1541,-63.64
1721,1551,-63.64
1731,1561,-63.64
2301,2131,-63.64
2311,2141,-63.64
2321,2151,-63.64
2331,2161,-63.64
2341,2171,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2561,2391,-63.64
2571,2401,-63.64
2581,2411,-63.64
2591,2421,-63.64
2601,2431,-63.64
2611,2441,-63.64
2621,2451,-63.64
2631,2461,-63.64
2641,2471,-63.64
2651,2481,-63.64
2661,2491,-63.64
2671,2501,-63.64
2681,2511,-63.64
2691,2521,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
3611,3441,-63.64
3621,3451,-63.64
3631,3461,-63.64
3641,3471,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
3691,3521,-63.64
