INJECTION SCHEME : 25ns_1321b_1309_1105_1134_144bpi12inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	381,		0,		1,		0,	1,	80
2,	1,	ring_2,	381,		0,		1,		0,	1,	80
3,	2,	ring_1,	781,		25,		12,		0,	1,	80
4,	2,	ring_2,	781,		25,		12,		0,	1,	80
5,	3,	ring_1,	1291,		25,		12,		0,	1,	80
6,	3,	ring_2,	1691,		25,		12,		0,	1,	80
7,	4,	ring_1,	2161,		25,		72,		2025,	2,	80
8,	4,	ring_2,	2161,		25,		72,		2025,	2,	80
9,	5,	ring_1,	4041,		25,		72,		2025,	2,	80
10,	5,	ring_2,	4041,		25,		72,		2025,	2,	80
11,	6,	ring_1,	11101,		25,		72,		2025,	2,	80
12,	6,	ring_2,	11101,		25,		72,		2025,	2,	80
13,	7,	ring_1,	12981,		25,		72,		2025,	2,	80
14,	7,	ring_2,	12981,		25,		72,		2025,	2,	80
15,	8,	ring_1,	20041,		25,		72,		2025,	2,	80
16,	8,	ring_2,	20041,		25,		72,		2025,	2,	80
17,	9,	ring_1,	21921,		25,		72,		2025,	2,	80
18,	9,	ring_2,	21921,		25,		72,		2025,	2,	80
19,	10,	ring_1,	27101,		25,		72,		2025,	2,	80
20,	10,	ring_2,	27101,		25,		72,		2025,	2,	80
21,	11,	ring_1,	28981,		25,		72,		2025,	2,	80
22,	11,	ring_2,	28981,		25,		72,		2025,	2,	80
23,	12,	ring_1,	30861,		25,		72,		2025,	2,	80
24,	12,	ring_2,	30861,		25,		72,		2025,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1321
Tot number of B2 bunches(probe/Nominal) : 0/1321

Tot number of B1 injections : 12
Tot number of B2 injections : 12

Collisions at IP1&5 : 1309
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 2231

Collisions at IP2 : 1309
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 2231

Collisions at IP8 : 1134
B1-empty at IP8 : 187
B2-empty at IP8 : 187
Empty-empty at IP8 : 2406

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
2331,2161,-63.64
2341,2171,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
2541,2371,-63.64
2551,2381,-63.64
2561,2391,-63.64
2571,2401,-63.64
2581,2411,-63.64
2591,2421,-63.64
2601,2431,-63.64
2611,2441,-63.64
2621,2451,-63.64
2631,2461,-63.64
2641,2471,-63.64
2651,2481,-63.64
2661,2491,-63.64
2671,2501,-63.64
2681,2511,-63.64
2691,2521,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3171,3001,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3281,3111,-63.64
3291,3121,-63.64
3301,3131,-63.64
3311,3141,-63.64
3321,3151,-63.64
3331,3161,-63.64
3341,3171,-63.64
3351,3181,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
3611,3441,-63.64
3621,3451,-63.64
3631,3461,-63.64
3641,3471,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
4211,4041,-63.64
4221,4051,-63.64
4231,4061,-63.64
4241,4071,-63.64
4251,4081,-63.64
4261,4091,-63.64
4271,4101,-63.64
4281,4111,-63.64
4291,4121,-63.64
4301,4131,-63.64
4311,4141,-63.64
4321,4151,-63.64
4331,4161,-63.64
4341,4171,-63.64
4351,4181,-63.64
4361,4191,-63.64
4371,4201,-63.64
4381,4211,-63.64
4391,4221,-63.64
4401,4231,-63.64
4411,4241,-63.64
4421,4251,-63.64
4431,4261,-63.64
4441,4271,-63.64
4451,4281,-63.64
4461,4291,-63.64
4471,4301,-63.64
4481,4311,-63.64
4491,4321,-63.64
4501,4331,-63.64
4511,4341,-63.64
4521,4351,-63.64
4531,4361,-63.64
4541,4371,-63.64
4551,4381,-63.64
4561,4391,-63.64
4571,4401,-63.64
4581,4411,-63.64
4591,4421,-63.64
4601,4431,-63.64
4611,4441,-63.64
4621,4451,-63.64
4631,4461,-63.64
4641,4471,-63.64
