INJECTION SCHEME : 25ns_1464b_1452_1218_1248_144bpi12inj_sp

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		25,		12,		0,	1,	150
2,	1,	ring_2,	1,		25,		12,		0,	1,	80
3,	2,	ring_1,	511,		25,		12,		0,	1,	80
4,	2,	ring_2,	911,		25,		12,		0,	1,	80
5,	3,	ring_1,	1421,		25,		72,		2775,	2,	80
6,	3,	ring_2,	1421,		25,		72,		2775,	2,	80
7,	4,	ring_1,	3641,		25,		72,		2775,	2,	80
8,	4,	ring_2,	3641,		25,		72,		2775,	2,	80
9,	5,	ring_1,	5861,		25,		72,		2775,	2,	80
10,	5,	ring_2,	5861,		25,		72,		2775,	2,	80
11,	6,	ring_1,	10361,		25,		72,		2775,	2,	80
12,	6,	ring_2,	10361,		25,		72,		2775,	2,	80
13,	7,	ring_1,	12581,		25,		72,		2775,	2,	80
14,	7,	ring_2,	12581,		25,		72,		2775,	2,	80
15,	8,	ring_1,	14801,		25,		72,		2775,	2,	80
16,	8,	ring_2,	14801,		25,		72,		2775,	2,	80
17,	9,	ring_1,	19301,		25,		72,		2775,	2,	80
18,	9,	ring_2,	19301,		25,		72,		2775,	2,	80
19,	10,	ring_1,	21521,		25,		72,		2775,	2,	80
20,	10,	ring_2,	21521,		25,		72,		2775,	2,	80
21,	11,	ring_1,	28241,		25,		72,		2775,	2,	80
22,	11,	ring_2,	28241,		25,		72,		2775,	2,	80
23,	12,	ring_1,	30461,		25,		72,		2775,	2,	80
24,	12,	ring_2,	30461,		25,		72,		2775,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1464
Tot number of B2 bunches(probe/Nominal) : 0/1464

Tot number of B1 injections : 12
Tot number of B2 injections : 12

Collisions at IP1&5 : 1452
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 2088

Collisions at IP2 : 1452
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 2088

Collisions at IP8 : 1248
B1-empty at IP8 : 216
B2-empty at IP8 : 216
Empty-empty at IP8 : 2292

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1591,1421,-63.64
1601,1431,-63.64
1611,1441,-63.64
1621,1451,-63.64
1631,1461,-63.64
1641,1471,-63.64
1651,1481,-63.64
1661,1491,-63.64
1671,1501,-63.64
1681,1511,-63.64
1691,1521,-63.64
1701,1531,-63.64
1711,1541,-63.64
1721,1551,-63.64
1731,1561,-63.64
1741,1571,-63.64
1751,1581,-63.64
1761,1591,-63.64
1771,1601,-63.64
1781,1611,-63.64
1791,1621,-63.64
1801,1631,-63.64
1811,1641,-63.64
1821,1651,-63.64
1831,1661,-63.64
1841,1671,-63.64
1851,1681,-63.64
1861,1691,-63.64
1871,1701,-63.64
1881,1711,-63.64
1891,1721,-63.64
1901,1731,-63.64
1911,1741,-63.64
1921,1751,-63.64
1931,1761,-63.64
1941,1771,-63.64
1951,1781,-63.64
1961,1791,-63.64
1971,1801,-63.64
1981,1811,-63.64
1991,1821,-63.64
2001,1831,-63.64
2011,1841,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2051,1881,-63.64
2061,1891,-63.64
2071,1901,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2701,2531,-63.64
2711,2541,-63.64
2721,2551,-63.64
2731,2561,-63.64
2741,2571,-63.64
2751,2581,-63.64
2761,2591,-63.64
2771,2601,-63.64
2781,2611,-63.64
2791,2621,-63.64
2801,2631,-63.64
2811,2641,-63.64
2821,2651,-63.64
2831,2661,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3131,2961,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3171,3001,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
