INJECTION SCHEME : 25ns_1465b_1453_1218_1248_144bpi13inj_sp

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	1,		0,		1,		0,	1,	100
2,	1,	ring_1,	1,		0,		1,		0,	1,	5
3,	2,	ring_1,	361,		25,		12,		0,	1,	150
4,	2,	ring_2,	361,		25,		12,		0,	1,	80
5,	3,	ring_1,	871,		25,		12,		0,	1,	80
6,	3,	ring_2,	1271,		25,		12,		0,	1,	80
7,	4,	ring_1,	1781,		25,		72,		2775,	2,	80
8,	4,	ring_2,	1781,		25,		72,		2775,	2,	80
9,	5,	ring_1,	4001,		25,		72,		2775,	2,	80
10,	5,	ring_2,	4001,		25,		72,		2775,	2,	80
11,	6,	ring_1,	6221,		25,		72,		2775,	2,	80
12,	6,	ring_2,	6221,		25,		72,		2775,	2,	80
13,	7,	ring_1,	10721,		25,		72,		2775,	2,	80
14,	7,	ring_2,	10721,		25,		72,		2775,	2,	80
15,	8,	ring_1,	12941,		25,		72,		2775,	2,	80
16,	8,	ring_2,	12941,		25,		72,		2775,	2,	80
17,	9,	ring_1,	15161,		25,		72,		2775,	2,	80
18,	9,	ring_2,	15161,		25,		72,		2775,	2,	80
19,	10,	ring_1,	19661,		25,		72,		2775,	2,	80
20,	10,	ring_2,	19661,		25,		72,		2775,	2,	80
21,	11,	ring_1,	21881,		25,		72,		2775,	2,	80
22,	11,	ring_2,	21881,		25,		72,		2775,	2,	80
23,	12,	ring_1,	28601,		25,		72,		2775,	2,	80
24,	12,	ring_2,	28601,		25,		72,		2775,	2,	80
25,	13,	ring_1,	30821,		25,		72,		2775,	2,	80
26,	13,	ring_2,	30821,		25,		72,		2775,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1465
Tot number of B2 bunches(probe/Nominal) : 0/1465

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5 : 1453
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 2087

Collisions at IP2 : 1453
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 2087

Collisions at IP8 : 1248
B1-empty at IP8 : 217
B2-empty at IP8 : 217
Empty-empty at IP8 : 2292

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1951,1781,-63.64
1961,1791,-63.64
1971,1801,-63.64
1981,1811,-63.64
1991,1821,-63.64
2001,1831,-63.64
2011,1841,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2051,1881,-63.64
2061,1891,-63.64
2071,1901,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2141,1971,-63.64
2151,1981,-63.64
2161,1991,-63.64
2171,2001,-63.64
2181,2011,-63.64
2191,2021,-63.64
2201,2031,-63.64
2211,2041,-63.64
2221,2051,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2301,2131,-63.64
2311,2141,-63.64
2321,2151,-63.64
2331,2161,-63.64
2341,2171,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3131,2961,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3171,3001,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3281,3111,-63.64
3291,3121,-63.64
3301,3131,-63.64
3311,3141,-63.64
3321,3151,-63.64
3331,3161,-63.64
3341,3171,-63.64
3351,3181,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
4171,4001,-63.64
4181,4011,-63.64
4191,4021,-63.64
4201,4031,-63.64
