INJECTION SCHEME : 25ns_1825b_1813_1495_1536_144bpi16inj_sp

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	81,		25,		12,		0,	1,	80
2,	1,	ring_1,	191,		0,		1,		0,	1,	80
3,	2,	ring_1,	551,		25,		12,		0,	1,	80
4,	3,	ring_1,	1051,		25,		12,		0,	1,	80
5,	2,	ring_2,	1051,		25,		12,		0,	1,	80
6,	4,	ring_1,	1561,		25,		72,		2775,	2,	80
7,	3,	ring_2,	1561,		25,		72,		2775,	2,	80
8,	5,	ring_1,	3781,		25,		72,		2775,	2,	80
9,	4,	ring_2,	3781,		25,		72,		2775,	2,	80
10,	6,	ring_1,	6001,		25,		72,		2775,	2,	80
11,	5,	ring_2,	6001,		25,		72,		2775,	2,	80
12,	7,	ring_1,	8221,		25,		72,		0,	1,	80
13,	6,	ring_2,	8221,		25,		72,		0,	1,	80
14,	8,	ring_1,	10501,		25,		72,		2775,	2,	80
15,	7,	ring_2,	10501,		25,		72,		2775,	2,	80
16,	9,	ring_1,	12721,		25,		72,		2775,	2,	80
17,	8,	ring_2,	12721,		25,		72,		2775,	2,	80
18,	10,	ring_1,	14941,		25,		72,		2775,	2,	80
19,	9,	ring_2,	14941,		25,		72,		2775,	2,	80
20,	11,	ring_1,	17161,		25,		72,		0,	1,	80
21,	10,	ring_2,	17161,		25,		72,		0,	1,	80
22,	12,	ring_1,	19441,		25,		72,		2775,	2,	80
23,	11,	ring_2,	19441,		25,		72,		2775,	2,	80
24,	13,	ring_1,	21661,		25,		72,		2775,	2,	80
25,	12,	ring_2,	21661,		25,		72,		2775,	2,	80
26,	14,	ring_1,	23881,		25,		72,		2775,	2,	80
27,	13,	ring_2,	23881,		25,		72,		2775,	2,	80
28,	15,	ring_1,	26101,		25,		72,		0,	1,	80
29,	14,	ring_2,	26101,		25,		72,		0,	1,	80
30,	16,	ring_1,	28381,		25,		72,		2775,	2,	80
31,	15,	ring_2,	28381,		25,		72,		2775,	2,	80
32,	17,	ring_1,	30601,		25,		72,		2775,	2,	80
33,	16,	ring_2,	30601,		25,		72,		2775,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1825
Tot number of B2 bunches(probe/Nominal) : 0/1825

Tot number of B1 injections : 17
Tot number of B2 injections : 16

Collisions at IP1&5 : 1813
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 11
Empty-empty at IP1&5 : 1728

Collisions at IP2 : 1813
B1-empty at IP2 : 12
B2-empty at IP2 : 11
Empty-empty at IP2 : 1728

Collisions at IP8 : 1536
B1-empty at IP8 : 289
B2-empty at IP8 : 288
Empty-empty at IP8 : 2005

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1731,1561,-63.64
1741,1571,-63.64
1751,1581,-63.64
1761,1591,-63.64
1771,1601,-63.64
1781,1611,-63.64
1791,1621,-63.64
1801,1631,-63.64
1811,1641,-63.64
1821,1651,-63.64
1831,1661,-63.64
1841,1671,-63.64
1851,1681,-63.64
1861,1691,-63.64
1871,1701,-63.64
1881,1711,-63.64
1891,1721,-63.64
1901,1731,-63.64
1911,1741,-63.64
1921,1751,-63.64
1931,1761,-63.64
1941,1771,-63.64
1951,1781,-63.64
1961,1791,-63.64
1971,1801,-63.64
1981,1811,-63.64
1991,1821,-63.64
2001,1831,-63.64
2011,1841,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2051,1881,-63.64
2061,1891,-63.64
2071,1901,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2141,1971,-63.64
2151,1981,-63.64
2161,1991,-63.64
2171,2001,-63.64
2181,2011,-63.64
2191,2021,-63.64
2201,2031,-63.64
2211,2041,-63.64
2221,2051,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2841,2671,-63.64
2851,2681,-63.64
2861,2691,-63.64
2871,2701,-63.64
2881,2711,-63.64
2891,2721,-63.64
2901,2731,-63.64
2911,2741,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3131,2961,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3171,3001,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3281,3111,-63.64
3291,3121,-63.64
3301,3131,-63.64
3311,3141,-63.64
3321,3151,-63.64
3331,3161,-63.64
3341,3171,-63.64
3351,3181,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3951,3781,-63.64
3961,3791,-63.64
3971,3801,-63.64
3981,3811,-63.64
3991,3821,-63.64
4001,3831,-63.64
4011,3841,-63.64
4021,3851,-63.64
4031,3861,-63.64
4041,3871,-63.64
4051,3881,-63.64
4061,3891,-63.64
4071,3901,-63.64
4081,3911,-63.64
4091,3921,-63.64
4101,3931,-63.64
4111,3941,-63.64
4121,3951,-63.64
4131,3961,-63.64
4141,3971,-63.64
4151,3981,-63.64
4161,3991,-63.64
4171,4001,-63.64
4181,4011,-63.64
4191,4021,-63.64
4201,4031,-63.64
4211,4041,-63.64
4221,4051,-63.64
4231,4061,-63.64
4241,4071,-63.64
4251,4081,-63.64
4261,4091,-63.64
4271,4101,-63.64
4281,4111,-63.64
4291,4121,-63.64
4301,4131,-63.64
4311,4141,-63.64
4321,4151,-63.64
4331,4161,-63.64
4341,4171,-63.64
4351,4181,-63.64
4361,4191,-63.64
4371,4201,-63.64
4381,4211,-63.64
4391,4221,-63.64
4401,4231,-63.64
4411,4241,-63.64
4421,4251,-63.64
4431,4261,-63.64
4441,4271,-63.64
4451,4281,-63.64
4461,4291,-63.64
4471,4301,-63.64
4481,4311,-63.64
4491,4321,-63.64
5061,4891,-63.64
5071,4901,-63.64
5081,4911,-63.64
5091,4921,-63.64
5101,4931,-63.64
5111,4941,-63.64
5121,4951,-63.64
5131,4961,-63.64
5141,4971,-63.64
5151,4981,-63.64
5161,4991,-63.64
5171,5001,-63.64
5181,5011,-63.64
5191,5021,-63.64
5201,5031,-63.64
5211,5041,-63.64
5221,5051,-63.64
5231,5061,-63.64
5241,5071,-63.64
5251,5081,-63.64
5261,5091,-63.64
5271,5101,-63.64
5281,5111,-63.64
5291,5121,-63.64
5301,5131,-63.64
5311,5141,-63.64
5321,5151,-63.64
5331,5161,-63.64
5341,5171,-63.64
5351,5181,-63.64
5361,5191,-63.64
5371,5201,-63.64
5381,5211,-63.64
5391,5221,-63.64
5401,5231,-63.64
5411,5241,-63.64
5421,5251,-63.64
5431,5261,-63.64
5441,5271,-63.64
5451,5281,-63.64
5461,5291,-63.64
5471,5301,-63.64
5481,5311,-63.64
5491,5321,-63.64
5501,5331,-63.64
5511,5341,-63.64
5521,5351,-63.64
5531,5361,-63.64
5541,5371,-63.64
5551,5381,-63.64
5561,5391,-63.64
5571,5401,-63.64
5581,5411,-63.64
5591,5421,-63.64
5601,5431,-63.64
6171,6001,-63.64
6181,6011,-63.64
6191,6021,-63.64
6201,6031,-63.64
6211,6041,-63.64
6221,6051,-63.64
6231,6061,-63.64
6241,6071,-63.64
6251,6081,-63.64
6261,6091,-63.64
6271,6101,-63.64
6281,6111,-63.64
6291,6121,-63.64
6301,6131,-63.64
6311,6141,-63.64
6321,6151,-63.64
6331,6161,-63.64
6341,6171,-63.64
6351,6181,-63.64
6361,6191,-63.64
6371,6201,-63.64
6381,6211,-63.64
6391,6221,-63.64
6401,6231,-63.64
6411,6241,-63.64
6421,6251,-63.64
6431,6261,-63.64
6441,6271,-63.64
6451,6281,-63.64
6461,6291,-63.64
6471,6301,-63.64
6481,6311,-63.64
6491,6321,-63.64
6501,6331,-63.64
6511,6341,-63.64
6521,6351,-63.64
6531,6361,-63.64
6541,6371,-63.64
6551,6381,-63.64
6561,6391,-63.64
6571,6401,-63.64
6581,6411,-63.64
6591,6421,-63.64
6601,6431,-63.64
6611,6441,-63.64
6621,6451,-63.64
6631,6461,-63.64
6641,6471,-63.64
6651,6481,-63.64
6661,6491,-63.64
6671,6501,-63.64
6681,6511,-63.64
6691,6521,-63.64
6701,6531,-63.64
6711,6541,-63.64
7281,7111,-63.64
7291,7121,-63.64
7301,7131,-63.64
7311,7141,-63.64
7321,7151,-63.64
7331,7161,-63.64
7341,7171,-63.64
7351,7181,-63.64
7361,7191,-63.64
7371,7201,-63.64
7381,7211,-63.64
7391,7221,-63.64
7401,7231,-63.64
7411,7241,-63.64
7421,7251,-63.64
7431,7261,-63.64
7441,7271,-63.64
7451,7281,-63.64
7461,7291,-63.64
7471,7301,-63.64
7481,7311,-63.64
7491,7321,-63.64
7501,7331,-63.64
7511,7341,-63.64
7521,7351,-63.64
7531,7361,-63.64
7541,7371,-63.64
7551,7381,-63.64
7561,7391,-63.64
7571,7401,-63.64
7581,7411,-63.64
7591,7421,-63.64
7601,7431,-63.64
7611,7441,-63.64
7621,7451,-63.64
7631,7461,-63.64
7641,7471,-63.64
7651,7481,-63.64
7661,7491,-63.64
7671,7501,-63.64
7681,7511,-63.64
7691,7521,-63.64
7701,7531,-63.64
7711,7541,-63.64
7721,7551,-63.64
7731,7561,-63.64
7741,7571,-63.64
7751,7581,-63.64
7761,7591,-63.64
7771,7601,-63.64
7781,7611,-63.64
7791,7621,-63.64
7801,7631,-63.64
7811,7641,-63.64
7821,7651,-63.64
8391,8221,-63.64
8401,8231,-63.64
8411,8241,-63.64
8421,8251,-63.64
8431,8261,-63.64
8441,8271,-63.64
8451,8281,-63.64
8461,8291,-63.64
8471,8301,-63.64
8481,8311,-63.64
8491,8321,-63.64
8501,8331,-63.64
8511,8341,-63.64
8521,8351,-63.64
8531,8361,-63.64
8541,8371,-63.64
8551,8381,-63.64
8561,8391,-63.64
8571,8401,-63.64
8581,8411,-63.64
8591,8421,-63.64
8601,8431,-63.64
8611,8441,-63.64
8621,8451,-63.64
8631,8461,-63.64
8641,8471,-63.64
8651,8481,-63.64
8661,8491,-63.64
8671,8501,-63.64
8681,8511,-63.64
8691,8521,-63.64
8701,8531,-63.64
8711,8541,-63.64
8721,8551,-63.64
8731,8561,-63.64
8741,8571,-63.64
8751,8581,-63.64
8761,8591,-63.64
8771,8601,-63.64
8781,8611,-63.64
8791,8621,-63.64
8801,8631,-63.64
8811,8641,-63.64
