INJECTION SCHEME : 25ns_2041b_2029_1561_1678_144bpi20inj_36

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	81,		25,		12,		0,	1,	80
2,	1,	ring_1,	191,		0,		1,		0,	1,	80
3,	2,	ring_1,	551,		25,		12,		0,	1,	80
4,	3,	ring_1,	1051,		25,		12,		0,	1,	80
5,	2,	ring_2,	1051,		25,		12,		0,	1,	80
6,	4,	ring_1,	2041,		25,		36,		0,	1,	80
7,	3,	ring_2,	2041,		25,		36,		0,	1,	80
8,	5,	ring_1,	2751,		25,		36,		1125,	3,	80
9,	4,	ring_2,	2751,		25,		36,		1125,	3,	80
10,	6,	ring_1,	4361,		25,		36,		1125,	4,	80
11,	5,	ring_2,	4361,		25,		36,		1125,	4,	80
12,	7,	ring_1,	6861,		25,		36,		1125,	3,	80
13,	6,	ring_2,	6861,		25,		36,		1125,	3,	80
14,	8,	ring_1,	8471,		25,		36,		1125,	3,	80
15,	7,	ring_2,	8471,		25,		36,		1125,	3,	80
16,	9,	ring_1,	10081,		25,		36,		1125,	3,	80
17,	8,	ring_2,	10081,		25,		36,		1125,	3,	80
18,	10,	ring_1,	11691,		25,		36,		1125,	3,	80
19,	9,	ring_2,	11691,		25,		36,		1125,	3,	80
20,	11,	ring_1,	13301,		25,		36,		1125,	4,	80
21,	10,	ring_2,	13301,		25,		36,		1125,	4,	80
22,	12,	ring_1,	15801,		25,		36,		1125,	3,	80
23,	11,	ring_2,	15801,		25,		36,		1125,	3,	80
24,	13,	ring_1,	17411,		25,		36,		1125,	3,	80
25,	12,	ring_2,	17411,		25,		36,		1125,	3,	80
26,	14,	ring_1,	19021,		25,		36,		1125,	3,	80
27,	13,	ring_2,	19021,		25,		36,		1125,	3,	80
28,	15,	ring_1,	20631,		25,		36,		1125,	3,	80
29,	14,	ring_2,	20631,		25,		36,		1125,	3,	80
30,	16,	ring_1,	22241,		25,		36,		1125,	4,	80
31,	15,	ring_2,	22241,		25,		36,		1125,	4,	80
32,	17,	ring_1,	24741,		25,		36,		1125,	3,	80
33,	16,	ring_2,	24741,		25,		36,		1125,	3,	80
34,	18,	ring_1,	26351,		25,		36,		1125,	3,	80
35,	17,	ring_2,	26351,		25,		36,		1125,	3,	80
36,	19,	ring_1,	27961,		25,		36,		1125,	3,	80
37,	18,	ring_2,	27961,		25,		36,		1125,	3,	80
38,	20,	ring_1,	29571,		25,		36,		1125,	3,	80
39,	19,	ring_2,	29571,		25,		36,		1125,	3,	80
40,	21,	ring_1,	31181,		25,		36,		1125,	4,	80
41,	20,	ring_2,	31181,		25,		36,		1125,	4,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/2041
Tot number of B2 bunches(probe/Nominal) : 0/2041

Tot number of B1 injections : 21
Tot number of B2 injections : 20

Collisions at IP1&5 : 2029
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 11
Empty-empty at IP1&5 : 1512

Collisions at IP2 : 2029
B1-empty at IP2 : 12
B2-empty at IP2 : 11
Empty-empty at IP2 : 1512

Collisions at IP8 : 1678
B1-empty at IP8 : 363
B2-empty at IP8 : 362
Empty-empty at IP8 : 1863

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
2211,2041,-63.64
2221,2051,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2301,2131,-63.64
2311,2141,-63.64
2321,2151,-63.64
2331,2161,-63.64
2341,2171,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2921,2751,-63.64
2931,2761,-63.64
2941,2771,-63.64
2951,2781,-63.64
2961,2791,-63.64
2971,2801,-63.64
2981,2811,-63.64
2991,2821,-63.64
3001,2831,-63.64
3011,2841,-63.64
3021,2851,-63.64
3031,2861,-63.64
3041,2871,-63.64
3051,2881,-63.64
3061,2891,-63.64
3071,2901,-63.64
3081,2911,-63.64
3091,2921,-63.64
3101,2931,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3371,3201,-63.64
3381,3211,-63.64
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
3691,3521,-63.64
3701,3531,-63.64
3711,3541,-63.64
3721,3551,-63.64
3821,3651,-63.64
3831,3661,-63.64
3841,3671,-63.64
3851,3681,-63.64
3861,3691,-63.64
3871,3701,-63.64
3881,3711,-63.64
3891,3721,-63.64
3901,3731,-63.64
3911,3741,-63.64
3921,3751,-63.64
3931,3761,-63.64
3941,3771,-63.64
3951,3781,-63.64
3961,3791,-63.64
3971,3801,-63.64
3981,3811,-63.64
3991,3821,-63.64
4001,3831,-63.64
4531,4361,-63.64
4541,4371,-63.64
4551,4381,-63.64
4561,4391,-63.64
4571,4401,-63.64
4581,4411,-63.64
4591,4421,-63.64
4601,4431,-63.64
4611,4441,-63.64
4621,4451,-63.64
4631,4461,-63.64
4641,4471,-63.64
4651,4481,-63.64
4661,4491,-63.64
4671,4501,-63.64
4681,4511,-63.64
4691,4521,-63.64
4701,4531,-63.64
4711,4541,-63.64
4811,4641,-63.64
4821,4651,-63.64
4831,4661,-63.64
4841,4671,-63.64
4851,4681,-63.64
4861,4691,-63.64
4871,4701,-63.64
4881,4711,-63.64
4981,4811,-63.64
4991,4821,-63.64
5001,4831,-63.64
5011,4841,-63.64
5021,4851,-63.64
5031,4861,-63.64
5041,4871,-63.64
5051,4881,-63.64
5061,4891,-63.64
5071,4901,-63.64
5081,4911,-63.64
5091,4921,-63.64
5101,4931,-63.64
5111,4941,-63.64
5121,4951,-63.64
5131,4961,-63.64
5141,4971,-63.64
5151,4981,-63.64
5161,4991,-63.64
5261,5091,-63.64
5271,5101,-63.64
5281,5111,-63.64
5291,5121,-63.64
5301,5131,-63.64
5311,5141,-63.64
5321,5151,-63.64
5331,5161,-63.64
5431,5261,-63.64
5441,5271,-63.64
5451,5281,-63.64
5461,5291,-63.64
5471,5301,-63.64
5481,5311,-63.64
5491,5321,-63.64
5501,5331,-63.64
5511,5341,-63.64
5521,5351,-63.64
