INJECTION SCHEME : 25ns_219b_207_174_180_48bpi8inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	1,		0,		1,		0,	1,	100
2,	1,	ring_1,	1,		0,		1,		0,	1,	5
3,	2,	ring_1,	1001,		0,		1,		0,	1,	100
4,	2,	ring_2,	1001,		0,		1,		0,	1,	100
5,	3,	ring_1,	1801,		0,		1,		0,	1,	5
6,	3,	ring_2,	1801,		0,		1,		0,	1,	80
7,	4,	ring_1,	2201,		25,		12,		0,	1,	150
8,	4,	ring_2,	2201,		25,		12,		0,	1,	80
9,	5,	ring_1,	2711,		25,		12,		0,	1,	80
10,	5,	ring_2,	3111,		25,		12,		0,	1,	80
11,	6,	ring_1,	3741,		25,		48,		0,	1,	80
12,	6,	ring_2,	3741,		25,		48,		0,	1,	80
13,	7,	ring_1,	12681,		25,		48,		0,	1,	80
14,	7,	ring_2,	12681,		25,		48,		0,	1,	80
15,	8,	ring_1,	21501,		25,		48,		0,	1,	80
16,	8,	ring_2,	21501,		25,		48,		0,	1,	80
17,	9,	ring_1,	30441,		25,		48,		0,	1,	80
18,	9,	ring_2,	30441,		25,		48,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/219
Tot number of B2 bunches(probe/Nominal) : 0/219

Tot number of B1 injections : 9
Tot number of B2 injections : 9

Collisions at IP1&5 : 207
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 3333

Collisions at IP2 : 207
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 3333

Collisions at IP8 : 180
B1-empty at IP8 : 39
B2-empty at IP8 : 39
Empty-empty at IP8 : 3360

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
3911,3741,-63.64
3921,3751,-63.64
3931,3761,-63.64
3941,3771,-63.64
3951,3781,-63.64
3961,3791,-63.64
3971,3801,-63.64
3981,3811,-63.64
3991,3821,-63.64
4001,3831,-63.64
4011,3841,-63.64
4021,3851,-63.64
4031,3861,-63.64
4041,3871,-63.64
4051,3881,-63.64
4061,3891,-63.64
4071,3901,-63.64
4081,3911,-63.64
4091,3921,-63.64
4101,3931,-63.64
4111,3941,-63.64
4121,3951,-63.64
4131,3961,-63.64
4141,3971,-63.64
4151,3981,-63.64
4161,3991,-63.64
4171,4001,-63.64
4181,4011,-63.64
4191,4021,-63.64
4201,4031,-63.64
4211,4041,-63.64
12851,12681,-63.64
12861,12691,-63.64
12871,12701,-63.64
12881,12711,-63.64
12891,12721,-63.64
12901,12731,-63.64
12911,12741,-63.64
12921,12751,-63.64
12931,12761,-63.64
12941,12771,-63.64
12951,12781,-63.64
12961,12791,-63.64
12971,12801,-63.64
12981,12811,-63.64
12991,12821,-63.64
13001,12831,-63.64
13011,12841,-63.64
13021,12851,-63.64
13031,12861,-63.64
13041,12871,-63.64
13051,12881,-63.64
13061,12891,-63.64
13071,12901,-63.64
13081,12911,-63.64
13091,12921,-63.64
13101,12931,-63.64
13111,12941,-63.64
13121,12951,-63.64
13131,12961,-63.64
13141,12971,-63.64
13151,12981,-63.64
21671,21501,-63.64
21681,21511,-63.64
21691,21521,-63.64
21701,21531,-63.64
21711,21541,-63.64
21721,21551,-63.64
21731,21561,-63.64
21741,21571,-63.64
21751,21581,-63.64
21761,21591,-63.64
21771,21601,-63.64
21781,21611,-63.64
21791,21621,-63.64
21801,21631,-63.64
21811,21641,-63.64
21821,21651,-63.64
21831,21661,-63.64
21841,21671,-63.64
21851,21681,-63.64
21861,21691,-63.64
21871,21701,-63.64
21881,21711,-63.64
21891,21721,-63.64
21901,21731,-63.64
21911,21741,-63.64
21921,21751,-63.64
21931,21761,-63.64
21941,21771,-63.64
21951,21781,-63.64
21961,21791,-63.64
21971,21801,-63.64
30611,30441,-63.64
30621,30451,-63.64
30631,30461,-63.64
30641,30471,-63.64
30651,30481,-63.64
30661,30491,-63.64
30671,30501,-63.64
30681,30511,-63.64
30691,30521,-63.64
30701,30531,-63.64
30711,30541,-63.64
30721,30551,-63.64
30731,30561,-63.64
30741,30571,-63.64
30751,30581,-63.64
30761,30591,-63.64
30771,30601,-63.64
30781,30611,-63.64
30791,30621,-63.64
30801,30631,-63.64
30811,30641,-63.64
30821,30651,-63.64
30831,30661,-63.64
30841,30671,-63.64
30851,30681,-63.64
30861,30691,-63.64
30871,30701,-63.64
30881,30711,-63.64
30891,30721,-63.64
30901,30731,-63.64
30911,30741,-63.64
3901,3741,-59.89
3911,3751,-59.89
3921,3761,-59.89
3931,3771,-59.89
3941,3781,-59.89
3951,3791,-59.89
3961,3801,-59.89
3971,3811,-59.89
3981,3821,-59.89
3991,3831,-59.89
4001,3841,-59.89
4011,3851,-59.89
4021,3861,-59.89
4031,3871,-59.89
4041,3881,-59.89
4051,3891,-59.89
4061,3901,-59.89
4071,3911,-59.89
4081,3921,-59.89
4091,3931,-59.89
4101,3941,-59.89
4111,3951,-59.89
4121,3961,-59.89
4131,3971,-59.89
4141,3981,-59.89
4151,3991,-59.89
4161,4001,-59.89
4171,4011,-59.89
4181,4021,-59.89
4191,4031,-59.89
4201,4041,-59.89
4211,4051,-59.89
12841,12681,-59.89
12851,12691,-59.89
12861,12701,-59.89
12871,12711,-59.89
12881,12721,-59.89
12891,12731,-59.89
12901,12741,-59.89
12911,12751,-59.89
12921,12761,-59.89
12931,12771,-59.89
12941,12781,-59.89
12951,12791,-59.89
12961,12801,-59.89
12971,12811,-59.89
12981,12821,-59.89
12991,12831,-59.89
13001,12841,-59.89
13011,12851,-59.89
13021,12861,-59.89
13031,12871,-59.89
13041,12881,-59.89
13051,12891,-59.89
13061,12901,-59.89
