INJECTION SCHEME : 25ns_26b_26_10_14_12bpi4inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		25,		12,		0,	1,	150
2,	1,	ring_2,	1,		25,		12,		0,	1,	80
3,	2,	ring_1,	8941,		25,		12,		0,	1,	80
4,	2,	ring_2,	8941,		25,		12,		0,	1,	80
5,	3,	ring_1,	17791,		0,		1,		0,	1,	10
6,	3,	ring_2,	17791,		0,		1,		0,	1,	100
7,	4,	ring_1,	26731,		0,		1,		0,	1,	100
8,	4,	ring_2,	26731,		0,		1,		0,	1,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/26
Tot number of B2 bunches(probe/Nominal) : 0/26

Tot number of B1 injections : 4
Tot number of B2 injections : 4

Collisions at IP1&5 : 26
B1-empty at IP1&5 : 0
B2-empty at IP1&5 : 0
Empty-empty at IP1&5 : 3538

Collisions at IP2 : 26
B1-empty at IP2 : 0
B2-empty at IP2 : 0
Empty-empty at IP2 : 3538

Collisions at IP8 : 14
B1-empty at IP8 : 12
B2-empty at IP8 : 12
Empty-empty at IP8 : 3550

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
111,1,-41.18
9051,8941,-41.18
101,1,-37.43
111,11,-37.43
9041,8941,-37.43
9051,8951,-37.43
91,1,-33.69
101,11,-33.69
111,21,-33.69
9031,8941,-33.69
9041,8951,-33.69
9051,8961,-33.69
81,1,-29.95
91,11,-29.95
101,21,-29.95
111,31,-29.95
9021,8941,-29.95
9031,8951,-29.95
9041,8961,-29.95
9051,8971,-29.95
71,1,-26.2
81,11,-26.2
91,21,-26.2
101,31,-26.2
111,41,-26.2
9011,8941,-26.2
9021,8951,-26.2
9031,8961,-26.2
9041,8971,-26.2
9051,8981,-26.2
61,1,-22.46
71,11,-22.46
81,21,-22.46
91,31,-22.46
101,41,-22.46
111,51,-22.46
9001,8941,-22.46
9011,8951,-22.46
9021,8961,-22.46
9031,8971,-22.46
9041,8981,-22.46
9051,8991,-22.46
51,1,-18.72
61,11,-18.72
71,21,-18.72
81,31,-18.72
91,41,-18.72
101,51,-18.72
111,61,-18.72
8991,8941,-18.72
9001,8951,-18.72
9011,8961,-18.72
9021,8971,-18.72
9031,8981,-18.72
9041,8991,-18.72
9051,9001,-18.72
41,1,-14.97
51,11,-14.97
61,21,-14.97
71,31,-14.97
81,41,-14.97
91,51,-14.97
101,61,-14.97
111,71,-14.97
8981,8941,-14.97
8991,8951,-14.97
9001,8961,-14.97
9011,8971,-14.97
9021,8981,-14.97
9031,8991,-14.97
9041,9001,-14.97
9051,9011,-14.97
31,1,-11.23
41,11,-11.23
51,21,-11.23
61,31,-11.23
71,41,-11.23
81,51,-11.23
91,61,-11.23
101,71,-11.23
111,81,-11.23
8971,8941,-11.23
8981,8951,-11.23
8991,8961,-11.23
9001,8971,-11.23
9011,8981,-11.23
9021,8991,-11.23
9031,9001,-11.23
9041,9011,-11.23
9051,9021,-11.23
21,1,-7.49
31,11,-7.49
41,21,-7.49
51,31,-7.49
61,41,-7.49
71,51,-7.49
81,61,-7.49
91,71,-7.49
101,81,-7.49
111,91,-7.49
8961,8941,-7.49
8971,8951,-7.49
8981,8961,-7.49
8991,8971,-7.49
9001,8981,-7.49
9011,8991,-7.49
9021,9001,-7.49
9031,9011,-7.49
9041,9021,-7.49
9051,9031,-7.49
11,1,-3.74
21,11,-3.74
31,21,-3.74
41,31,-3.74
51,41,-3.74
61,51,-3.74
71,61,-3.74
81,71,-3.74
91,81,-3.74
101,91,-3.74
111,101,-3.74
8951,8941,-3.74
8961,8951,-3.74
8971,8961,-3.74
8981,8971,-3.74
8991,8981,-3.74
9001,8991,-3.74
9011,9001,-3.74
9021,9011,-3.74
9031,9021,-3.74
9041,9031,-3.74
9051,9041,-3.74
1,1,0
11,11,0
21,21,0
31,31,0
41,41,0
51,51,0
61,61,0
71,71,0
81,81,0
91,91,0
101,101,0
111,111,0
8941,8941,0
8951,8951,0
8961,8961,0
8971,8971,0
8981,8981,0
8991,8991,0
9001,9001,0
9011,9011,0
9021,9021,0
9031,9031,0
9041,9041,0
9051,9051,0
17791,17791,0
26731,26731,0
1,11,3.74
11,21,3.74
21,31,3.74
31,41,3.74
41,51,3.74
51,61,3.74
61,71,3.74
71,81,3.74
81,91,3.74
91,101,3.74
101,111,3.74
8941,8951,3.74
8951,8961,3.74
8961,8971,3.74
8971,8981,3.74
8981,8991,3.74
8991,9001,3.74
9001,9011,3.74
9011,9021,3.74
9021,9031,3.74
9031,9041,3.74
9041,9051,3.74
1,21,7.49
11,31,7.49
21,41,7.49
31,51,7.49
41,61,7.49
51,71,7.49
61,81,7.49
71,91,7.49
81,101,7.49
91,111,7.49
8941,8961,7.49
8951,8971,7.49
8961,8981,7.49
8971,8991,7.49
8981,9001,7.49
8991,9011,7.49
9001,9021,7.49
9011,9031,7.49
9021,9041,7.49
9031,9051,7.49
1,31,11.23
11,41,11.23
21,51,11.23
31,61,11.23
41,71,11.23
51,81,11.23
61,91,11.23
71,101,11.23
81,111,11.23
8941,8971,11.23
8951,8981,11.23
8961,8991,11.23
8971,9001,11.23
8981,9011,11.23
8991,9021,11.23
9001,9031,11.23
9011,9041,11.23
9021,9051,11.23
1,41,14.97
11,51,14.97
21,61,14.97
31,71,14.97
41,81,14.97
51,91,14.97
61,101,14.97
71,111,14.97
8941,8981,14.97
8951,8991,14.97
8961,9001,14.97
