INJECTION SCHEME : 25ns_315b_303_270_276_72bpi9inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	1,		0,		1,		0,	1,	100
2,	1,	ring_1,	1,		0,		1,		0,	1,	5
3,	2,	ring_1,	601,		0,		1,		0,	1,	100
4,	2,	ring_2,	601,		0,		1,		0,	1,	5
5,	3,	ring_1,	1401,		0,		1,		0,	1,	100
6,	3,	ring_2,	1401,		0,		1,		0,	1,	100
7,	4,	ring_1,	1801,		25,		12,		0,	1,	150
8,	4,	ring_2,	1801,		25,		12,		0,	1,	80
9,	5,	ring_1,	2311,		25,		12,		0,	1,	80
10,	5,	ring_2,	2711,		25,		12,		0,	1,	80
11,	6,	ring_1,	3221,		25,		72,		0,	1,	80
12,	6,	ring_2,	3221,		25,		72,		0,	1,	80
13,	7,	ring_1,	12161,		25,		72,		0,	1,	80
14,	7,	ring_2,	12161,		25,		72,		0,	1,	80
15,	8,	ring_1,	21101,		25,		72,		0,	1,	80
16,	8,	ring_2,	21101,		25,		72,		0,	1,	80
17,	9,	ring_1,	30041,		25,		72,		0,	1,	80
18,	9,	ring_2,	30041,		25,		72,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/315
Tot number of B2 bunches(probe/Nominal) : 0/315

Tot number of B1 injections : 9
Tot number of B2 injections : 9

Collisions at IP1&5 : 303
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 3237

Collisions at IP2 : 303
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 3237

Collisions at IP8 : 276
B1-empty at IP8 : 39
B2-empty at IP8 : 39
Empty-empty at IP8 : 3264

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
3611,3441,-63.64
3621,3451,-63.64
3631,3461,-63.64
3641,3471,-63.64
3651,3481,-63.64
3661,3491,-63.64
3671,3501,-63.64
3681,3511,-63.64
3691,3521,-63.64
3701,3531,-63.64
3711,3541,-63.64
3721,3551,-63.64
3731,3561,-63.64
3741,3571,-63.64
3751,3581,-63.64
3761,3591,-63.64
3771,3601,-63.64
3781,3611,-63.64
3791,3621,-63.64
3801,3631,-63.64
3811,3641,-63.64
3821,3651,-63.64
3831,3661,-63.64
3841,3671,-63.64
3851,3681,-63.64
3861,3691,-63.64
3871,3701,-63.64
3881,3711,-63.64
3891,3721,-63.64
3901,3731,-63.64
3911,3741,-63.64
3921,3751,-63.64
3931,3761,-63.64
12331,12161,-63.64
12341,12171,-63.64
12351,12181,-63.64
12361,12191,-63.64
12371,12201,-63.64
12381,12211,-63.64
12391,12221,-63.64
12401,12231,-63.64
12411,12241,-63.64
12421,12251,-63.64
12431,12261,-63.64
12441,12271,-63.64
12451,12281,-63.64
12461,12291,-63.64
12471,12301,-63.64
12481,12311,-63.64
12491,12321,-63.64
12501,12331,-63.64
12511,12341,-63.64
12521,12351,-63.64
12531,12361,-63.64
12541,12371,-63.64
12551,12381,-63.64
12561,12391,-63.64
12571,12401,-63.64
12581,12411,-63.64
12591,12421,-63.64
12601,12431,-63.64
12611,12441,-63.64
12621,12451,-63.64
12631,12461,-63.64
12641,12471,-63.64
12651,12481,-63.64
12661,12491,-63.64
12671,12501,-63.64
12681,12511,-63.64
12691,12521,-63.64
12701,12531,-63.64
12711,12541,-63.64
12721,12551,-63.64
12731,12561,-63.64
12741,12571,-63.64
12751,12581,-63.64
12761,12591,-63.64
12771,12601,-63.64
12781,12611,-63.64
12791,12621,-63.64
12801,12631,-63.64
12811,12641,-63.64
12821,12651,-63.64
12831,12661,-63.64
12841,12671,-63.64
12851,12681,-63.64
12861,12691,-63.64
12871,12701,-63.64
21271,21101,-63.64
21281,21111,-63.64
21291,21121,-63.64
21301,21131,-63.64
21311,21141,-63.64
21321,21151,-63.64
21331,21161,-63.64
21341,21171,-63.64
21351,21181,-63.64
21361,21191,-63.64
21371,21201,-63.64
21381,21211,-63.64
21391,21221,-63.64
21401,21231,-63.64
21411,21241,-63.64
21421,21251,-63.64
21431,21261,-63.64
21441,21271,-63.64
21451,21281,-63.64
21461,21291,-63.64
21471,21301,-63.64
21481,21311,-63.64
21491,21321,-63.64
21501,21331,-63.64
21511,21341,-63.64
21521,21351,-63.64
21531,21361,-63.64
21541,21371,-63.64
21551,21381,-63.64
21561,21391,-63.64
21571,21401,-63.64
21581,21411,-63.64
21591,21421,-63.64
21601,21431,-63.64
