INJECTION SCHEME : 25ns_49b_49_36_36_12bpi5inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	381,		0,		1,		0,	1,	10
2,	1,	ring_2,	381,		0,		1,		0,	1,	80
3,	2,	ring_1,	741,		25,		12,		0,	1,	80
4,	2,	ring_2,	741,		25,		12,		0,	1,	80
5,	3,	ring_1,	9681,		25,		12,		0,	1,	80
6,	3,	ring_2,	9681,		25,		12,		0,	1,	80
7,	4,	ring_1,	18621,		25,		12,		0,	1,	80
8,	4,	ring_2,	18621,		25,		12,		0,	1,	80
9,	5,	ring_1,	27531,		25,		12,		0,	1,	80
10,	5,	ring_2,	27531,		25,		12,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/49
Tot number of B2 bunches(probe/Nominal) : 0/49

Tot number of B1 injections : 5
Tot number of B2 injections : 5

Collisions at IP1&5 : 49
B1-empty at IP1&5 : 0
B2-empty at IP1&5 : 0
Empty-empty at IP1&5 : 3515

Collisions at IP2 : 49
B1-empty at IP2 : 0
B2-empty at IP2 : 0
Empty-empty at IP2 : 3515

Collisions at IP8 : 36
B1-empty at IP8 : 13
B2-empty at IP8 : 13
Empty-empty at IP8 : 3528

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
851,741,-41.18
9791,9681,-41.18
18731,18621,-41.18
27641,27531,-41.18
841,741,-37.43
851,751,-37.43
9781,9681,-37.43
9791,9691,-37.43
18721,18621,-37.43
18731,18631,-37.43
27631,27531,-37.43
27641,27541,-37.43
831,741,-33.69
841,751,-33.69
851,761,-33.69
9771,9681,-33.69
9781,9691,-33.69
9791,9701,-33.69
18711,18621,-33.69
18721,18631,-33.69
18731,18641,-33.69
27621,27531,-33.69
27631,27541,-33.69
27641,27551,-33.69
821,741,-29.95
831,751,-29.95
841,761,-29.95
851,771,-29.95
9761,9681,-29.95
9771,9691,-29.95
9781,9701,-29.95
9791,9711,-29.95
18701,18621,-29.95
18711,18631,-29.95
18721,18641,-29.95
18731,18651,-29.95
27611,27531,-29.95
27621,27541,-29.95
27631,27551,-29.95
27641,27561,-29.95
811,741,-26.2
821,751,-26.2
831,761,-26.2
841,771,-26.2
851,781,-26.2
9751,9681,-26.2
9761,9691,-26.2
9771,9701,-26.2
9781,9711,-26.2
9791,9721,-26.2
18691,18621,-26.2
18701,18631,-26.2
18711,18641,-26.2
18721,18651,-26.2
18731,18661,-26.2
27601,27531,-26.2
27611,27541,-26.2
27621,27551,-26.2
27631,27561,-26.2
27641,27571,-26.2
801,741,-22.46
811,751,-22.46
821,761,-22.46
831,771,-22.46
841,781,-22.46
851,791,-22.46
9741,9681,-22.46
9751,9691,-22.46
9761,9701,-22.46
9771,9711,-22.46
9781,9721,-22.46
