INJECTION SCHEME : 25ns_601b_589_540_552_144bpi7inj_sp

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_2,	1,		0,		1,		0,	1,	100
2,	1,	ring_1,	1,		0,		1,		0,	1,	5
3,	2,	ring_1,	401,		25,		12,		0,	1,	80
4,	2,	ring_2,	401,		25,		12,		0,	1,	80
5,	3,	ring_1,	911,		25,		12,		0,	1,	80
6,	3,	ring_2,	1311,		25,		12,		0,	1,	80
7,	4,	ring_1,	1821,		25,		72,		2775,	2,	80
8,	4,	ring_2,	1821,		25,		72,		2775,	2,	80
9,	5,	ring_1,	10761,		25,		72,		2775,	2,	80
10,	5,	ring_2,	10761,		25,		72,		2775,	2,	80
11,	6,	ring_1,	19701,		25,		72,		2775,	2,	80
12,	6,	ring_2,	19701,		25,		72,		2775,	2,	80
13,	7,	ring_1,	28641,		25,		72,		2775,	2,	80
14,	7,	ring_2,	28641,		25,		72,		2775,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/601
Tot number of B2 bunches(probe/Nominal) : 0/601

Tot number of B1 injections : 7
Tot number of B2 injections : 7

Collisions at IP1&5 : 589
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 2951

Collisions at IP2 : 589
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 2951

Collisions at IP8 : 552
B1-empty at IP8 : 49
B2-empty at IP8 : 49
Empty-empty at IP8 : 2988

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1991,1821,-63.64
2001,1831,-63.64
2011,1841,-63.64
2021,1851,-63.64
2031,1861,-63.64
2041,1871,-63.64
2051,1881,-63.64
2061,1891,-63.64
2071,1901,-63.64
2081,1911,-63.64
2091,1921,-63.64
2101,1931,-63.64
2111,1941,-63.64
2121,1951,-63.64
2131,1961,-63.64
2141,1971,-63.64
2151,1981,-63.64
2161,1991,-63.64
2171,2001,-63.64
2181,2011,-63.64
2191,2021,-63.64
2201,2031,-63.64
2211,2041,-63.64
2221,2051,-63.64
2231,2061,-63.64
2241,2071,-63.64
2251,2081,-63.64
2261,2091,-63.64
2271,2101,-63.64
2281,2111,-63.64
2291,2121,-63.64
2301,2131,-63.64
2311,2141,-63.64
2321,2151,-63.64
2331,2161,-63.64
2341,2171,-63.64
2351,2181,-63.64
2361,2191,-63.64
2371,2201,-63.64
2381,2211,-63.64
2391,2221,-63.64
2401,2231,-63.64
2411,2241,-63.64
2421,2251,-63.64
2431,2261,-63.64
2441,2271,-63.64
2451,2281,-63.64
2461,2291,-63.64
2471,2301,-63.64
2481,2311,-63.64
2491,2321,-63.64
2501,2331,-63.64
2511,2341,-63.64
2521,2351,-63.64
2531,2361,-63.64
3101,2931,-63.64
3111,2941,-63.64
3121,2951,-63.64
3131,2961,-63.64
3141,2971,-63.64
3151,2981,-63.64
3161,2991,-63.64
3171,3001,-63.64
3181,3011,-63.64
3191,3021,-63.64
3201,3031,-63.64
3211,3041,-63.64
3221,3051,-63.64
3231,3061,-63.64
3241,3071,-63.64
3251,3081,-63.64
3261,3091,-63.64
3271,3101,-63.64
3281,3111,-63.64
3291,3121,-63.64
3301,3131,-63.64
3311,3141,-63.64
3321,3151,-63.64
3331,3161,-63.64
3341,3171,-63.64
3351,3181,-63.64
3361,3191,-63.64
3371,3201,-63.64
3381,3211,-63.64
3391,3221,-63.64
3401,3231,-63.64
3411,3241,-63.64
3421,3251,-63.64
3431,3261,-63.64
3441,3271,-63.64
3451,3281,-63.64
3461,3291,-63.64
3471,3301,-63.64
3481,3311,-63.64
3491,3321,-63.64
3501,3331,-63.64
3511,3341,-63.64
3521,3351,-63.64
3531,3361,-63.64
3541,3371,-63.64
3551,3381,-63.64
3561,3391,-63.64
3571,3401,-63.64
3581,3411,-63.64
3591,3421,-63.64
3601,3431,-63.64
3611,3441,-63.64
3621,3451,-63.64
3631,3461,-63.64
3641,3471,-63.64
10931,10761,-63.64
10941,10771,-63.64
10951,10781,-63.64
10961,10791,-63.64
10971,10801,-63.64
10981,10811,-63.64
10991,10821,-63.64
11001,10831,-63.64
11011,10841,-63.64
11021,10851,-63.64
11031,10861,-63.64
11041,10871,-63.64
11051,10881,-63.64
11061,10891,-63.64
11071,10901,-63.64
11081,10911,-63.64
11091,10921,-63.64
11101,10931,-63.64
11111,10941,-63.64
11121,10951,-63.64
11131,10961,-63.64
11141,10971,-63.64
11151,10981,-63.64
11161,10991,-63.64
11171,11001,-63.64
11181,11011,-63.64
11191,11021,-63.64
11201,11031,-63.64
11211,11041,-63.64
11221,11051,-63.64
11231,11061,-63.64
11241,11071,-63.64
11251,11081,-63.64
11261,11091,-63.64
11271,11101,-63.64
11281,11111,-63.64
11291,11121,-63.64
11301,11131,-63.64
11311,11141,-63.64
11321,11151,-63.64
11331,11161,-63.64
11341,11171,-63.64
11351,11181,-63.64
11361,11191,-63.64
11371,11201,-63.64
11381,11211,-63.64
11391,11221,-63.64
11401,11231,-63.64
11411,11241,-63.64
11421,11251,-63.64
11431,11261,-63.64
11441,11271,-63.64
11451,11281,-63.64
11461,11291,-63.64
11471,11301,-63.64
12041,11871,-63.64
12051,11881,-63.64
12061,11891,-63.64
12071,11901,-63.64
12081,11911,-63.64
12091,11921,-63.64
12101,11931,-63.64
12111,11941,-63.64
12121,11951,-63.64
12131,11961,-63.64
12141,11971,-63.64
12151,11981,-63.64
12161,11991,-63.64
12171,12001,-63.64
12181,12011,-63.64
12191,12021,-63.64
12201,12031,-63.64
12211,12041,-63.64
12221,12051,-63.64
12231,12061,-63.64
12241,12071,-63.64
12251,12081,-63.64
12261,12091,-63.64
12271,12101,-63.64
12281,12111,-63.64
12291,12121,-63.64
12301,12131,-63.64
12311,12141,-63.64
12321,12151,-63.64
12331,12161,-63.64
12341,12171,-63.64
12351,12181,-63.64
12361,12191,-63.64
12371,12201,-63.64
12381,12211,-63.64
12391,12221,-63.64
12401,12231,-63.64
12411,12241,-63.64
12421,12251,-63.64
12431,12261,-63.64
12441,12271,-63.64
12451,12281,-63.64
12461,12291,-63.64
12471,12301,-63.64
12481,12311,-63.64
12491,12321,-63.64
12501,12331,-63.64
12511,12341,-63.64
12521,12351,-63.64
12531,12361,-63.64
12541,12371,-63.64
12551,12381,-63.64
12561,12391,-63.64
12571,12401,-63.64
12581,12411,-63.64
19871,19701,-63.64
19881,19711,-63.64
19891,19721,-63.64
19901,19731,-63.64
19911,19741,-63.64
19921,19751,-63.64
19931,19761,-63.64
19941,19771,-63.64
19951,19781,-63.64
19961,19791,-63.64
19971,19801,-63.64
19981,19811,-63.64
19991,19821,-63.64
20001,19831,-63.64
20011,19841,-63.64
20021,19851,-63.64
20031,19861,-63.64
20041,19871,-63.64
20051,19881,-63.64
20061,19891,-63.64
20071,19901,-63.64
20081,19911,-63.64
20091,19921,-63.64
20101,19931,-63.64
20111,19941,-63.64
20121,19951,-63.64
20131,19961,-63.64
20141,19971,-63.64
20151,19981,-63.64
20161,19991,-63.64
20171,20001,-63.64
20181,20011,-63.64
20191,20021,-63.64
20201,20031,-63.64
20211,20041,-63.64
20221,20051,-63.64
20231,20061,-63.64
20241,20071,-63.64
20251,20081,-63.64
20261,20091,-63.64
20271,20101,-63.64
20281,20111,-63.64
20291,20121,-63.64
20301,20131,-63.64
20311,20141,-63.64
20321,20151,-63.64
20331,20161,-63.64
20341,20171,-63.64
20351,20181,-63.64
20361,20191,-63.64
20371,20201,-63.64
20381,20211,-63.64
20391,20221,-63.64
20401,20231,-63.64
20411,20241,-63.64
20981,20811,-63.64
20991,20821,-63.64
21001,20831,-63.64
21011,20841,-63.64
21021,20851,-63.64
21031,20861,-63.64
21041,20871,-63.64
21051,20881,-63.64
21061,20891,-63.64
21071,20901,-63.64
21081,20911,-63.64
21091,20921,-63.64
21101,20931,-63.64
21111,20941,-63.64
21121,20951,-63.64
21131,20961,-63.64
21141,20971,-63.64
21151,20981,-63.64
21161,20991,-63.64
21171,21001,-63.64
21181,21011,-63.64
21191,21021,-63.64
21201,21031,-63.64
21211,21041,-63.64
21221,21051,-63.64
21231,21061,-63.64
21241,21071,-63.64
21251,21081,-63.64
21261,21091,-63.64
21271,21101,-63.64
21281,21111,-63.64
21291,21121,-63.64
21301,21131,-63.64
21311,21141,-63.64
21321,21151,-63.64
21331,21161,-63.64
21341,21171,-63.64
21351,21181,-63.64
21361,21191,-63.64
21371,21201,-63.64
21381,21211,-63.64
21391,21221,-63.64
21401,21231,-63.64
21411,21241,-63.64
21421,21251,-63.64
21431,21261,-63.64
21441,21271,-63.64
21451,21281,-63.64
21461,21291,-63.64
21471,21301,-63.64
21481,21311,-63.64
21491,21321,-63.64
21501,21331,-63.64
21511,21341,-63.64
21521,21351,-63.64
28811,28641,-63.64
28821,28651,-63.64
28831,28661,-63.64
28841,28671,-63.64
28851,28681,-63.64
28861,28691,-63.64
28871,28701,-63.64
28881,28711,-63.64
28891,28721,-63.64
28901,28731,-63.64
28911,28741,-63.64
28921,28751,-63.64
28931,28761,-63.64
28941,28771,-63.64
28951,28781,-63.64
28961,28791,-63.64
28971,28801,-63.64
28981,28811,-63.64
28991,28821,-63.64
29001,28831,-63.64
29011,28841,-63.64
29021,28851,-63.64
29031,28861,-63.64
29041,28871,-63.64
29051,28881,-63.64
29061,28891,-63.64
29071,28901,-63.64
29081,28911,-63.64
29091,28921,-63.64
29101,28931,-63.64
29111,28941,-63.64
29121,28951,-63.64
29131,28961,-63.64
29141,28971,-63.64
29151,28981,-63.64
29161,28991,-63.64
29171,29001,-63.64
29181,29011,-63.64
29191,29021,-63.64
29201,29031,-63.64
29211,29041,-63.64
29221,29051,-63.64
29231,29061,-63.64
29241,29071,-63.64
29251,29081,-63.64
29261,29091,-63.64
29271,29101,-63.64
29281,29111,-63.64
29291,29121,-63.64
29301,29131,-63.64
29311,29141,-63.64
29321,29151,-63.64
29331,29161,-63.64
29341,29171,-63.64
29351,29181,-63.64
29921,29751,-63.64
29931,29761,-63.64
29941,29771,-63.64
29951,29781,-63.64
29961,29791,-63.64
29971,29801,-63.64
29981,29811,-63.64
29991,29821,-63.64
30001,29831,-63.64
30011,29841,-63.64
30021,29851,-63.64
30031,29861,-63.64
30041,29871,-63.64
30051,29881,-63.64
30061,29891,-63.64
30071,29901,-63.64
30081,29911,-63.64
30091,29921,-63.64
30101,29931,-63.64
30111,29941,-63.64
30121,29951,-63.64
30131,29961,-63.64
30141,29971,-63.64
30151,29981,-63.64
30161,29991,-63.64
30171,30001,-63.64
30181,30011,-63.64
30191,30021,-63.64
30201,30031,-63.64
30211,30041,-63.64
30221,30051,-63.64
30231,30061,-63.64
30241,30071,-63.64
30251,30081,-63.64
30261,30091,-63.64
30271,30101,-63.64
30281,30111,-63.64
30291,30121,-63.64
30301,30131,-63.64
30311,30141,-63.64
30321,30151,-63.64
30331,30161,-63.64
30341,30171,-63.64
30351,30181,-63.64
30361,30191,-63.64
30371,30201,-63.64
30381,30211,-63.64
30391,30221,-63.64
30401,30231,-63.64
30411,30241,-63.64
30421,30251,-63.64
30431,30261,-63.64
30441,30271,-63.64
30451,30281,-63.64
30461,30291,-63.64
1981,1821,-59.89
1991,1831,-59.89
2001,1841,-59.89
2011,1851,-59.89
2021,1861,-59.89
2031,1871,-59.89
2041,1881,-59.89
2051,1891,-59.89
2061,1901,-59.89
2071,1911,-59.89
2081,1921,-59.89
2091,1931,-59.89
2101,1941,-59.89
2111,1951,-59.89
2121,1961,-59.89
2131,1971,-59.89
2141,1981,-59.89
2151,1991,-59.89
2161,2001,-59.89
2171,2011,-59.89
2181,2021,-59.89
2191,2031,-59.89
2201,2041,-59.89
2211,2051,-59.89
2221,2061,-59.89
2231,2071,-59.89
2241,2081,-59.89
2251,2091,-59.89
2261,2101,-59.89
2271,2111,-59.89
2281,2121,-59.89
2291,2131,-59.89
2301,2141,-59.89
2311,2151,-59.89
2321,2161,-59.89
2331,2171,-59.89
2341,2181,-59.89
2351,2191,-59.89
2361,2201,-59.89
2371,2211,-59.89
2381,2221,-59.89
2391,2231,-59.89
2401,2241,-59.89
2411,2251,-59.89
2421,2261,-59.89
2431,2271,-59.89
2441,2281,-59.89
2451,2291,-59.89
2461,2301,-59.89
2471,2311,-59.89
2481,2321,-59.89
2491,2331,-59.89
2501,2341,-59.89
2511,2351,-59.89
2521,2361,-59.89
2531,2371,-59.89
3091,2931,-59.89
3101,2941,-59.89
3111,2951,-59.89
3121,2961,-59.89
3131,2971,-59.89
3141,2981,-59.89
3151,2991,-59.89
