INJECTION SCHEME : 25ns_86b_74_53_53_24bpi7inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	51,		25,		12,		0,	1,	150
2,	1,	ring_2,	51,		25,		12,		0,	1,	80
3,	2,	ring_1,	2001,		25,		12,		0,	1,	80
4,	2,	ring_2,	3001,		25,		12,		0,	1,	80
5,	3,	ring_1,	8991,		25,		12,		0,	1,	80
6,	3,	ring_2,	8991,		25,		12,		0,	1,	80
7,	4,	ring_1,	17881,		25,		24,		0,	1,	80
8,	4,	ring_2,	17881,		25,		24,		0,	1,	80
9,	5,	ring_1,	26751,		25,		24,		0,	1,	80
10,	5,	ring_2,	26751,		25,		24,		0,	1,	80
11,	6,	ring_1,	28981,		0,		1,		0,	1,	80
12,	6,	ring_2,	28981,		0,		1,		0,	1,	80
13,	7,	ring_1,	30981,		0,		1,		0,	1,	80
14,	7,	ring_2,	30981,		0,		1,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/86
Tot number of B2 bunches(probe/Nominal) : 0/86

Tot number of B1 injections : 7
Tot number of B2 injections : 7

Collisions at IP1&5 : 74
B1-empty at IP1&5 : 12
B2-empty at IP1&5 : 12
Empty-empty at IP1&5 : 3466

Collisions at IP2 : 74
B1-empty at IP2 : 12
B2-empty at IP2 : 12
Empty-empty at IP2 : 3466

Collisions at IP8 : 53
B1-empty at IP8 : 33
B2-empty at IP8 : 33
Empty-empty at IP8 : 3487

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
18051,17881,-63.64
18061,17891,-63.64
18071,17901,-63.64
18081,17911,-63.64
18091,17921,-63.64
18101,17931,-63.64
18111,17941,-63.64
26921,26751,-63.64
26931,26761,-63.64
26941,26771,-63.64
26951,26781,-63.64
26961,26791,-63.64
26971,26801,-63.64
26981,26811,-63.64
18041,17881,-59.89
18051,17891,-59.89
18061,17901,-59.89
18071,17911,-59.89
18081,17921,-59.89
18091,17931,-59.89
18101,17941,-59.89
18111,17951,-59.89
26911,26751,-59.89
26921,26761,-59.89
26931,26771,-59.89
26941,26781,-59.89
26951,26791,-59.89
26961,26801,-59.89
26971,26811,-59.89
26981,26821,-59.89
18031,17881,-56.15
18041,17891,-56.15
18051,17901,-56.15
18061,17911,-56.15
18071,17921,-56.15
18081,17931,-56.15
18091,17941,-56.15
18101,17951,-56.15
18111,17961,-56.15
26901,26751,-56.15
26911,26761,-56.15
26921,26771,-56.15
26931,26781,-56.15
26941,26791,-56.15
26951,26801,-56.15
26961,26811,-56.15
26971,26821,-56.15
26981,26831,-56.15
18021,17881,-52.41
18031,17891,-52.41
18041,17901,-52.41
18051,17911,-52.41
18061,17921,-52.41
18071,17931,-52.41
18081,17941,-52.41
18091,17951,-52.41
18101,17961,-52.41
18111,17971,-52.41
26891,26751,-52.41
26901,26761,-52.41
26911,26771,-52.41
26921,26781,-52.41
26931,26791,-52.41
26941,26801,-52.41
26951,26811,-52.41
26961,26821,-52.41
26971,26831,-52.41
26981,26841,-52.41
18011,17881,-48.66
18021,17891,-48.66
18031,17901,-48.66
18041,17911,-48.66
18051,17921,-48.66
18061,17931,-48.66
18071,17941,-48.66
18081,17951,-48.66
18091,17961,-48.66
18101,17971,-48.66
18111,17981,-48.66
