INJECTION SCHEME : 50ns_1230b_1188_51_1083_108bpi13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	100
2,	1,	ring_2,	121,		50,		6,		0,	1,	100
3,	2,	ring_1,	591,		50,		36,		0,	1,	150
4,	2,	ring_2,	601,		50,		36,		0,	1,	150
5,	3,	ring_1,	1681,		50,		36,		1975,	3,	150
6,	3,	ring_2,	1681,		50,		36,		1975,	3,	150
7,	4,	ring_1,	4321,		50,		36,		1975,	3,	150
8,	4,	ring_2,	4321,		50,		36,		1975,	3,	150
9,	5,	ring_1,	7981,		50,		36,		1975,	3,	150
10,	5,	ring_2,	7981,		50,		36,		1975,	3,	150
11,	6,	ring_1,	10621,		50,		36,		1975,	3,	150
12,	6,	ring_2,	10621,		50,		36,		1975,	3,	150
13,	7,	ring_1,	13261,		50,		36,		1975,	3,	150
14,	7,	ring_2,	13261,		50,		36,		1975,	3,	150
15,	8,	ring_1,	16921,		50,		36,		1975,	3,	150
16,	8,	ring_2,	16921,		50,		36,		1975,	3,	150
17,	9,	ring_1,	19561,		50,		36,		1975,	3,	150
18,	9,	ring_2,	19561,		50,		36,		1975,	3,	150
19,	10,	ring_1,	22201,		50,		36,		1975,	3,	150
20,	10,	ring_2,	22201,		50,		36,		1975,	3,	100
21,	11,	ring_1,	25861,		50,		36,		1975,	3,	150
22,	11,	ring_2,	25861,		50,		36,		1975,	3,	150
23,	12,	ring_1,	28501,		50,		36,		1975,	3,	150
24,	12,	ring_2,	28501,		50,		36,		1975,	3,	150
25,	13,	ring_1,	31141,		50,		36,		1975,	3,	100
26,	13,	ring_2,	31141,		50,		36,		1975,	3,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1230
Tot number of B2 bunches(probe/Nominal) : 0/1230

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5 : 1188
B1-empty at IP1&5 : 42
B2-empty at IP1&5 : 42
Empty-empty at IP1&5 : 2292

Collisions at IP2 : 1188
B1-empty at IP2 : 42
B2-empty at IP2 : 42
Empty-empty at IP2 : 2292

Collisions at IP8 : 1083
B1-empty at IP8 : 147
B2-empty at IP8 : 147
Empty-empty at IP8 : 2397

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
771,601,-63.64
791,621,-63.64
811,641,-63.64
831,661,-63.64
851,681,-63.64
871,701,-63.64
891,721,-63.64
911,741,-63.64
931,761,-63.64
951,781,-63.64
971,801,-63.64
991,821,-63.64
1011,841,-63.64
1031,861,-63.64
1051,881,-63.64
1071,901,-63.64
1091,921,-63.64
1111,941,-63.64
1131,961,-63.64
1151,981,-63.64
1171,1001,-63.64
1191,1021,-63.64
1211,1041,-63.64
1231,1061,-63.64
1251,1081,-63.64
1271,1101,-63.64
1291,1121,-63.64
2471,2301,-63.64
2491,2321,-63.64
2511,2341,-63.64
2531,2361,-63.64
2551,2381,-63.64
3261,3091,-63.64
3281,3111,-63.64
3301,3131,-63.64
3321,3151,-63.64
3341,3171,-63.64
5111,4941,-63.64
5131,4961,-63.64
5151,4981,-63.64
5171,5001,-63.64
5191,5021,-63.64
5901,5731,-63.64
5921,5751,-63.64
5941,5771,-63.64
5961,5791,-63.64
5981,5811,-63.64
8771,8601,-63.64
8791,8621,-63.64
8811,8641,-63.64
8831,8661,-63.64
8851,8681,-63.64
9561,9391,-63.64
9581,9411,-63.64
9601,9431,-63.64
9621,9451,-63.64
9641,9471,-63.64
11411,11241,-63.64
11431,11261,-63.64
11451,11281,-63.64
11471,11301,-63.64
11491,11321,-63.64
12201,12031,-63.64
12221,12051,-63.64
12241,12071,-63.64
12261,12091,-63.64
12281,12111,-63.64
14051,13881,-63.64
14071,13901,-63.64
14091,13921,-63.64
14111,13941,-63.64
14131,13961,-63.64
14841,14671,-63.64
14861,14691,-63.64
14881,14711,-63.64
14901,14731,-63.64
14921,14751,-63.64
17711,17541,-63.64
17731,17561,-63.64
17751,17581,-63.64
17771,17601,-63.64
17791,17621,-63.64
18501,18331,-63.64
18521,18351,-63.64
18541,18371,-63.64
18561,18391,-63.64
18581,18411,-63.64
20351,20181,-63.64
20371,20201,-63.64
20391,20221,-63.64
20411,20241,-63.64
20431,20261,-63.64
21141,20971,-63.64
21161,20991,-63.64
21181,21011,-63.64
21201,21031,-63.64
21221,21051,-63.64
22991,22821,-63.64
23011,22841,-63.64
23031,22861,-63.64
23051,22881,-63.64
23071,22901,-63.64
23781,23611,-63.64
23801,23631,-63.64
23821,23651,-63.64
23841,23671,-63.64
23861,23691,-63.64
26651,26481,-63.64
26671,26501,-63.64
26691,26521,-63.64
26711,26541,-63.64
26731,26561,-63.64
27441,27271,-63.64
27461,27291,-63.64
27481,27311,-63.64
27501,27331,-63.64
27521,27351,-63.64
