INJECTION SCHEME : 50ns_12b_6_6_6_6bpi2inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	1,		50,		6,		0,	1,	150
3,	2,	ring_1,	8941,		50,		6,		0,	1,	150
4,	2,	ring_2,	17851,		50,		6,		0,	1,	150
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/11
Tot number of B2 bunches(probe/Nominal) : 1/11

Tot number of B1 injections : 2
Tot number of B2 injections : 2

Collisions at IP1&5 : 6
B1-empty at IP1&5 : 6
B2-empty at IP1&5 : 6
Empty-empty at IP1&5 : 3546

Collisions at IP2 : 6
B1-empty at IP2 : 6
B2-empty at IP2 : 6
Empty-empty at IP2 : 3546

Collisions at IP8 : 6
B1-empty at IP8 : 6
B2-empty at IP8 : 6
Empty-empty at IP8 : 3546

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
101,1,-37.43
81,1,-29.95
101,21,-29.95
61,1,-22.46
81,21,-22.46
101,41,-22.46
41,1,-14.97
61,21,-14.97
81,41,-14.97
101,61,-14.97
21,1,-7.49
41,21,-7.49
61,41,-7.49
81,61,-7.49
101,81,-7.49
1,1,0
21,21,0
41,41,0
61,61,0
81,81,0
101,101,0
1,21,7.49
21,41,7.49
41,61,7.49
61,81,7.49
81,101,7.49
1,41,14.97
21,61,14.97
41,81,14.97
61,101,14.97
1,61,22.46
21,81,22.46
41,101,22.46
1,81,29.95
21,101,29.95
1,101,37.43

IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
9041,17851,-37.43
9021,17851,-29.95
9041,17871,-29.95
9001,17851,-22.46
9021,17871,-22.46
9041,17891,-22.46
8981,17851,-14.97
9001,17871,-14.97
9021,17891,-14.97
9041,17911,-14.97
8961,17851,-7.49
8981,17871,-7.49
9001,17891,-7.49
9021,17911,-7.49
9041,17931,-7.49
8941,17851,0
8961,17871,0
8981,17891,0
9001,17911,0
9021,17931,0
9041,17951,0
8941,17871,7.49
8961,17891,7.49
8981,17911,7.49
9001,17931,7.49
9021,17951,7.49
8941,17891,14.97
8961,17911,14.97
8981,17931,14.97
9001,17951,14.97
8941,17911,22.46
8961,17931,22.46
8981,17951,22.46
8941,17931,29.95
8961,17951,29.95
8941,17951,37.43

IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
101,1,-37.43
81,1,-29.95
101,21,-29.95
61,1,-22.46
81,21,-22.46
101,41,-22.46
41,1,-14.97
61,21,-14.97
81,41,-14.97
101,61,-14.97
21,1,-7.49
