INJECTION SCHEME : 50ns_1380b_1331_0_1320_144bpi12inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		12,		0,	1,	100
2,	1,	ring_2,	61,		50,		12,		0,	1,	100
3,	2,	ring_1,	651,		50,		36,		2000,	4,	100
4,	2,	ring_2,	651,		50,		36,		2000,	4,	100
5,	3,	ring_1,	4121,		50,		36,		2000,	4,	100
6,	3,	ring_2,	4121,		50,		36,		2000,	4,	100
7,	4,	ring_1,	7721,		50,		36,		2000,	2,	100
8,	4,	ring_2,	7721,		50,		36,		2000,	2,	100
9,	5,	ring_1,	9591,		50,		36,		2000,	4,	100
10,	5,	ring_2,	9591,		50,		36,		2000,	4,	100
11,	6,	ring_1,	13061,		50,		36,		2000,	4,	100
12,	6,	ring_2,	13061,		50,		36,		2000,	4,	100
13,	7,	ring_2,	16541,		50,		36,		2000,	2,	100
14,	7,	ring_1,	16661,		50,		36,		2000,	2,	100
15,	8,	ring_2,	18411,		50,		36,		2000,	4,	100
16,	8,	ring_1,	18531,		50,		36,		2000,	4,	100
17,	9,	ring_2,	21881,		50,		36,		2000,	4,	100
18,	9,	ring_1,	22001,		50,		36,		2000,	4,	100
19,	10,	ring_1,	25481,		50,		36,		2000,	2,	100
20,	10,	ring_2,	25481,		50,		36,		2000,	2,	100
21,	11,	ring_1,	27351,		50,		36,		2000,	4,	100
22,	11,	ring_2,	27351,		50,		36,		2000,	4,	100
23,	12,	ring_1,	30821,		50,		36,		2000,	4,	100
24,	12,	ring_2,	30821,		50,		36,		2000,	4,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/1380
Tot number of B2 bunches(probe/Nominal) : 0/1380

Tot number of B1 injections : 12
Tot number of B2 injections : 12

Collisions at IP1&5 : 1331
B1-empty at IP1&5 : 49
B2-empty at IP1&5 : 49
Empty-empty at IP1&5 : 2135

Collisions at IP2 : 1331
B1-empty at IP2 : 49
B2-empty at IP2 : 49
Empty-empty at IP2 : 2135

Collisions at IP8 : 1320
B1-empty at IP8 : 60
B2-empty at IP8 : 60
Empty-empty at IP8 : 2146

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
221,61,-59.89
811,651,-59.89
831,671,-59.89
851,691,-59.89
871,711,-59.89
891,731,-59.89
911,751,-59.89
931,771,-59.89
951,791,-59.89
971,811,-59.89
991,831,-59.89
1011,851,-59.89
1031,871,-59.89
1051,891,-59.89
1071,911,-59.89
1091,931,-59.89
1111,951,-59.89
1131,971,-59.89
1151,991,-59.89
1171,1011,-59.89
1191,1031,-59.89
1211,1051,-59.89
1231,1071,-59.89
1251,1091,-59.89
1271,1111,-59.89
1291,1131,-59.89
1311,1151,-59.89
1331,1171,-59.89
1351,1191,-59.89
1451,1291,-59.89
1471,1311,-59.89
1491,1331,-59.89
1511,1351,-59.89
1611,1451,-59.89
1631,1471,-59.89
1651,1491,-59.89
1671,1511,-59.89
1691,1531,-59.89
1711,1551,-59.89
1731,1571,-59.89
1751,1591,-59.89
1771,1611,-59.89
1791,1631,-59.89
1811,1651,-59.89
1831,1671,-59.89
1851,1691,-59.89
1871,1711,-59.89
1891,1731,-59.89
1911,1751,-59.89
1931,1771,-59.89
1951,1791,-59.89
1971,1811,-59.89
1991,1831,-59.89
2011,1851,-59.89
2031,1871,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2131,1971,-59.89
2151,1991,-59.89
2251,2091,-59.89
2271,2111,-59.89
2291,2131,-59.89
2311,2151,-59.89
2411,2251,-59.89
2431,2271,-59.89
2451,2291,-59.89
2471,2311,-59.89
2491,2331,-59.89
2511,2351,-59.89
2531,2371,-59.89
2551,2391,-59.89
2571,2411,-59.89
2591,2431,-59.89
2611,2451,-59.89
2631,2471,-59.89
2651,2491,-59.89
2671,2511,-59.89
2691,2531,-59.89
2711,2551,-59.89
2731,2571,-59.89
2751,2591,-59.89
2771,2611,-59.89
2791,2631,-59.89
2811,2651,-59.89
2831,2671,-59.89
2851,2691,-59.89
2871,2711,-59.89
2891,2731,-59.89
2911,2751,-59.89
2931,2771,-59.89
2951,2791,-59.89
3051,2891,-59.89
3071,2911,-59.89
3091,2931,-59.89
3111,2951,-59.89
3211,3051,-59.89
3231,3071,-59.89
3251,3091,-59.89
3271,3111,-59.89
3291,3131,-59.89
3311,3151,-59.89
3331,3171,-59.89
3351,3191,-59.89
3371,3211,-59.89
3391,3231,-59.89
3411,3251,-59.89
3431,3271,-59.89
3451,3291,-59.89
3471,3311,-59.89
