INJECTION SCHEME : 50ns_152b_110_36_108_36bpi7inj_wp

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	121,		50,		6,		0,	1,	150
3,	2,	ring_1,	581,		50,		36,		0,	1,	80
4,	2,	ring_2,	581,		50,		36,		0,	1,	80
5,	3,	ring_1,	4651,		0,		1,		0,	1,	150
6,	3,	ring_2,	4751,		0,		1,		0,	1,	150
7,	4,	ring_1,	9521,		50,		36,		0,	1,	100
8,	4,	ring_2,	9521,		50,		36,		0,	1,	100
9,	5,	ring_1,	10621,		0,		1,		0,	1,	80
10,	5,	ring_2,	10621,		0,		1,		0,	1,	80
11,	6,	ring_1,	18461,		50,		36,		0,	1,	100
12,	6,	ring_2,	18461,		50,		36,		0,	1,	80
13,	7,	ring_1,	26971,		0,		1,		0,	1,	80
14,	7,	ring_2,	26971,		0,		1,		0,	1,	80
15,	8,	ring_2,	27371,		50,		36,		0,	1,	80
16,	8,	ring_1,	27401,		50,		36,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/152
Tot number of B2 bunches(probe/Nominal) : 1/152

Tot number of B1 injections : 8
Tot number of B2 injections : 8

Collisions at IP1&5 : 110
B1-empty at IP1&5 : 43
B2-empty at IP1&5 : 43
Empty-empty at IP1&5 : 3368

Collisions at IP2 : 110
B1-empty at IP2 : 43
B2-empty at IP2 : 43
Empty-empty at IP2 : 3368

Collisions at IP8 : 108
B1-empty at IP8 : 45
B2-empty at IP8 : 45
Empty-empty at IP8 : 3370

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
27541,27371,-63.64
27561,27391,-63.64
27581,27411,-63.64
27601,27431,-63.64
27621,27451,-63.64
27641,27471,-63.64
27661,27491,-63.64
27681,27511,-63.64
27701,27531,-63.64
27721,27551,-63.64
27741,27571,-63.64
27761,27591,-63.64
27781,27611,-63.64
27801,27631,-63.64
27821,27651,-63.64
27841,27671,-63.64
27861,27691,-63.64
27881,27711,-63.64
27901,27731,-63.64
27921,27751,-63.64
27941,27771,-63.64
27961,27791,-63.64
27981,27811,-63.64
28001,27831,-63.64
28021,27851,-63.64
28041,27871,-63.64
28061,27891,-63.64
28081,27911,-63.64
28101,27931,-63.64
741,581,-59.89
761,601,-59.89
781,621,-59.89
801,641,-59.89
821,661,-59.89
841,681,-59.89
861,701,-59.89
881,721,-59.89
901,741,-59.89
921,761,-59.89
941,781,-59.89
961,801,-59.89
981,821,-59.89
1001,841,-59.89
1021,861,-59.89
1041,881,-59.89
1061,901,-59.89
1081,921,-59.89
1101,941,-59.89
1121,961,-59.89
1141,981,-59.89
1161,1001,-59.89
1181,1021,-59.89
1201,1041,-59.89
1221,1061,-59.89
1241,1081,-59.89
1261,1101,-59.89
1281,1121,-59.89
9681,9521,-59.89
9701,9541,-59.89
9721,9561,-59.89
9741,9581,-59.89
9761,9601,-59.89
9781,9621,-59.89
9801,9641,-59.89
9821,9661,-59.89
9841,9681,-59.89
9861,9701,-59.89
9881,9721,-59.89
9901,9741,-59.89
9921,9761,-59.89
9941,9781,-59.89
9961,9801,-59.89
9981,9821,-59.89
10001,9841,-59.89
10021,9861,-59.89
10041,9881,-59.89
10061,9901,-59.89
10081,9921,-59.89
10101,9941,-59.89
10121,9961,-59.89
10141,9981,-59.89
10161,10001,-59.89
10181,10021,-59.89
10201,10041,-59.89
10221,10061,-59.89
18621,18461,-59.89
18641,18481,-59.89
