INJECTION SCHEME : 50ns_264b_249_0_240_36bpi8inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		12,		0,	1,	100
2,	1,	ring_2,	61,		50,		12,		0,	1,	100
3,	2,	ring_1,	1451,		50,		36,		0,	1,	100
4,	2,	ring_2,	1451,		50,		36,		0,	1,	100
5,	3,	ring_1,	8521,		50,		36,		0,	1,	100
6,	3,	ring_2,	8521,		50,		36,		0,	1,	100
7,	4,	ring_1,	10391,		50,		36,		0,	1,	100
8,	4,	ring_2,	10391,		50,		36,		0,	1,	100
9,	5,	ring_2,	17341,		50,		36,		0,	1,	100
10,	5,	ring_1,	17461,		50,		36,		0,	1,	100
11,	6,	ring_2,	19211,		50,		36,		0,	1,	100
12,	6,	ring_1,	19331,		50,		36,		0,	1,	100
13,	7,	ring_1,	26281,		50,		36,		0,	1,	100
14,	7,	ring_2,	26281,		50,		36,		0,	1,	100
15,	8,	ring_1,	28151,		50,		36,		0,	1,	100
16,	8,	ring_2,	28151,		50,		36,		0,	1,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/264
Tot number of B2 bunches(probe/Nominal) : 0/264

Tot number of B1 injections : 8
Tot number of B2 injections : 8

Collisions at IP1&5 : 249
B1-empty at IP1&5 : 15
B2-empty at IP1&5 : 15
Empty-empty at IP1&5 : 3285

Collisions at IP2 : 249
B1-empty at IP2 : 15
B2-empty at IP2 : 15
Empty-empty at IP2 : 3285

Collisions at IP8 : 240
B1-empty at IP8 : 24
B2-empty at IP8 : 24
Empty-empty at IP8 : 3294

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
221,61,-59.89
1611,1451,-59.89
1631,1471,-59.89
1651,1491,-59.89
1671,1511,-59.89
1691,1531,-59.89
1711,1551,-59.89
1731,1571,-59.89
1751,1591,-59.89
1771,1611,-59.89
1791,1631,-59.89
1811,1651,-59.89
1831,1671,-59.89
1851,1691,-59.89
1871,1711,-59.89
1891,1731,-59.89
1911,1751,-59.89
1931,1771,-59.89
1951,1791,-59.89
1971,1811,-59.89
1991,1831,-59.89
2011,1851,-59.89
2031,1871,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2131,1971,-59.89
2151,1991,-59.89
8681,8521,-59.89
8701,8541,-59.89
8721,8561,-59.89
8741,8581,-59.89
8761,8601,-59.89
8781,8621,-59.89
8801,8641,-59.89
8821,8661,-59.89
8841,8681,-59.89
8861,8701,-59.89
8881,8721,-59.89
8901,8741,-59.89
8921,8761,-59.89
8941,8781,-59.89
8961,8801,-59.89
8981,8821,-59.89
9001,8841,-59.89
9021,8861,-59.89
9041,8881,-59.89
9061,8901,-59.89
9081,8921,-59.89
9101,8941,-59.89
9121,8961,-59.89
9141,8981,-59.89
9161,9001,-59.89
9181,9021,-59.89
9201,9041,-59.89
9221,9061,-59.89
10551,10391,-59.89
10571,10411,-59.89
10591,10431,-59.89
10611,10451,-59.89
10631,10471,-59.89
10651,10491,-59.89
10671,10511,-59.89
10691,10531,-59.89
10711,10551,-59.89
10731,10571,-59.89
10751,10591,-59.89
10771,10611,-59.89
10791,10631,-59.89
10811,10651,-59.89
10831,10671,-59.89
10851,10691,-59.89
10871,10711,-59.89
10891,10731,-59.89
10911,10751,-59.89
10931,10771,-59.89
10951,10791,-59.89
10971,10811,-59.89
10991,10831,-59.89
11011,10851,-59.89
11031,10871,-59.89
11051,10891,-59.89
11071,10911,-59.89
11091,10931,-59.89
17501,17341,-59.89
17521,17361,-59.89
17541,17381,-59.89
17561,17401,-59.89
17581,17421,-59.89
17601,17441,-59.89
17621,17461,-59.89
17641,17481,-59.89
17661,17501,-59.89
17681,17521,-59.89
17701,17541,-59.89
17721,17561,-59.89
17741,17581,-59.89
17761,17601,-59.89
17781,17621,-59.89
17801,17641,-59.89
17821,17661,-59.89
17841,17681,-59.89
17861,17701,-59.89
17881,17721,-59.89
17901,17741,-59.89
17921,17761,-59.89
17941,17781,-59.89
17961,17801,-59.89
17981,17821,-59.89
18001,17841,-59.89
18021,17861,-59.89
18041,17881,-59.89
18061,17901,-59.89
18081,17921,-59.89
18101,17941,-59.89
18121,17961,-59.89
18141,17981,-59.89
18161,18001,-59.89
19371,19211,-59.89
19391,19231,-59.89
19411,19251,-59.89
19431,19271,-59.89
19451,19291,-59.89
19471,19311,-59.89
19491,19331,-59.89
19511,19351,-59.89
19531,19371,-59.89
19551,19391,-59.89
19571,19411,-59.89
19591,19431,-59.89
19611,19451,-59.89
19631,19471,-59.89
19651,19491,-59.89
19671,19511,-59.89
19691,19531,-59.89
19711,19551,-59.89
19731,19571,-59.89
19751,19591,-59.89
19771,19611,-59.89
19791,19631,-59.89
19811,19651,-59.89
19831,19671,-59.89
19851,19691,-59.89
19871,19711,-59.89
19891,19731,-59.89
19911,19751,-59.89
19931,19771,-59.89
19951,19791,-59.89
19971,19811,-59.89
19991,19831,-59.89
20011,19851,-59.89
20031,19871,-59.89
26441,26281,-59.89
26461,26301,-59.89
26481,26321,-59.89
26501,26341,-59.89
26521,26361,-59.89
26541,26381,-59.89
26561,26401,-59.89
26581,26421,-59.89
26601,26441,-59.89
26621,26461,-59.89
26641,26481,-59.89
26661,26501,-59.89
26681,26521,-59.89
26701,26541,-59.89
26721,26561,-59.89
26741,26581,-59.89
26761,26601,-59.89
26781,26621,-59.89
26801,26641,-59.89
26821,26661,-59.89
26841,26681,-59.89
26861,26701,-59.89
26881,26721,-59.89
26901,26741,-59.89
26921,26761,-59.89
26941,26781,-59.89
26961,26801,-59.89
26981,26821,-59.89
28311,28151,-59.89
28331,28171,-59.89
28351,28191,-59.89
28371,28211,-59.89
28391,28231,-59.89
28411,28251,-59.89
28431,28271,-59.89
28451,28291,-59.89
28471,28311,-59.89
28491,28331,-59.89
28511,28351,-59.89
28531,28371,-59.89
28551,28391,-59.89
28571,28411,-59.89
28591,28431,-59.89
28611,28451,-59.89
28631,28471,-59.89
28651,28491,-59.89
28671,28511,-59.89
28691,28531,-59.89
28711,28551,-59.89
28731,28571,-59.89
28751,28591,-59.89
28771,28611,-59.89
28791,28631,-59.89
28811,28651,-59.89
28831,28671,-59.89
28851,28691,-59.89
201,61,-52.41
221,81,-52.41
1591,1451,-52.41
1611,1471,-52.41
1631,1491,-52.41
1651,1511,-52.41
1671,1531,-52.41
1691,1551,-52.41
1711,1571,-52.41
1731,1591,-52.41
1751,1611,-52.41
1771,1631,-52.41
1791,1651,-52.41
1811,1671,-52.41
1831,1691,-52.41
1851,1711,-52.41
1871,1731,-52.41
1891,1751,-52.41
1911,1771,-52.41
1931,1791,-52.41
1951,1811,-52.41
1971,1831,-52.41
1991,1851,-52.41
2011,1871,-52.41
2031,1891,-52.41
2051,1911,-52.41
2071,1931,-52.41
2091,1951,-52.41
2111,1971,-52.41
2131,1991,-52.41
2151,2011,-52.41
8661,8521,-52.41
8681,8541,-52.41
8701,8561,-52.41
8721,8581,-52.41
8741,8601,-52.41
8761,8621,-52.41
8781,8641,-52.41
8801,8661,-52.41
8821,8681,-52.41
8841,8701,-52.41
8861,8721,-52.41
8881,8741,-52.41
8901,8761,-52.41
8921,8781,-52.41
8941,8801,-52.41
8961,8821,-52.41
8981,8841,-52.41
9001,8861,-52.41
9021,8881,-52.41
9041,8901,-52.41
9061,8921,-52.41
9081,8941,-52.41
9101,8961,-52.41
9121,8981,-52.41
9141,9001,-52.41
9161,9021,-52.41
9181,9041,-52.41
9201,9061,-52.41
9221,9081,-52.41
10531,10391,-52.41
10551,10411,-52.41
10571,10431,-52.41
10591,10451,-52.41
10611,10471,-52.41
10631,10491,-52.41
10651,10511,-52.41
10671,10531,-52.41
10691,10551,-52.41
10711,10571,-52.41
10731,10591,-52.41
10751,10611,-52.41
10771,10631,-52.41
10791,10651,-52.41
10811,10671,-52.41
10831,10691,-52.41
10851,10711,-52.41
10871,10731,-52.41
10891,10751,-52.41
10911,10771,-52.41
10931,10791,-52.41
10951,10811,-52.41
10971,10831,-52.41
10991,10851,-52.41
11011,10871,-52.41
11031,10891,-52.41
11051,10911,-52.41
11071,10931,-52.41
11091,10951,-52.41
17481,17341,-52.41
17501,17361,-52.41
17521,17381,-52.41
17541,17401,-52.41
17561,17421,-52.41
17581,17441,-52.41
17601,17461,-52.41
17621,17481,-52.41
17641,17501,-52.41
17661,17521,-52.41
17681,17541,-52.41
17701,17561,-52.41
17721,17581,-52.41
17741,17601,-52.41
17761,17621,-52.41
17781,17641,-52.41
17801,17661,-52.41
17821,17681,-52.41
17841,17701,-52.41
17861,17721,-52.41
17881,17741,-52.41
17901,17761,-52.41
17921,17781,-52.41
17941,17801,-52.41
17961,17821,-52.41
17981,17841,-52.41
18001,17861,-52.41
18021,17881,-52.41
18041,17901,-52.41
18061,17921,-52.41
18081,17941,-52.41
18101,17961,-52.41
18121,17981,-52.41
18141,18001,-52.41
18161,18021,-52.41
19351,19211,-52.41
19371,19231,-52.41
19391,19251,-52.41
19411,19271,-52.41
19431,19291,-52.41
19451,19311,-52.41
19471,19331,-52.41
19491,19351,-52.41
19511,19371,-52.41
19531,19391,-52.41
19551,19411,-52.41
19571,19431,-52.41
19591,19451,-52.41
19611,19471,-52.41
19631,19491,-52.41
19651,19511,-52.41
19671,19531,-52.41
19691,19551,-52.41
19711,19571,-52.41
19731,19591,-52.41
19751,19611,-52.41
19771,19631,-52.41
19791,19651,-52.41
19811,19671,-52.41
19831,19691,-52.41
19851,19711,-52.41
19871,19731,-52.41
19891,19751,-52.41
19911,19771,-52.41
19931,19791,-52.41
19951,19811,-52.41
19971,19831,-52.41
19991,19851,-52.41
20011,19871,-52.41
20031,19891,-52.41
26421,26281,-52.41
26441,26301,-52.41
26461,26321,-52.41
26481,26341,-52.41
26501,26361,-52.41
26521,26381,-52.41
26541,26401,-52.41
26561,26421,-52.41
26581,26441,-52.41
26601,26461,-52.41
26621,26481,-52.41
26641,26501,-52.41
26661,26521,-52.41
26681,26541,-52.41
26701,26561,-52.41
26721,26581,-52.41
26741,26601,-52.41
26761,26621,-52.41
26781,26641,-52.41
26801,26661,-52.41
26821,26681,-52.41
26841,26701,-52.41
26861,26721,-52.41
26881,26741,-52.41
26901,26761,-52.41
26921,26781,-52.41
26941,26801,-52.41
26961,26821,-52.41
26981,26841,-52.41
28291,28151,-52.41
28311,28171,-52.41
28331,28191,-52.41
28351,28211,-52.41
28371,28231,-52.41
28391,28251,-52.41
28411,28271,-52.41
28431,28291,-52.41
28451,28311,-52.41
28471,28331,-52.41
28491,28351,-52.41
28511,28371,-52.41
28531,28391,-52.41
28551,28411,-52.41
28571,28431,-52.41
28591,28451,-52.41
28611,28471,-52.41
28631,28491,-52.41
28651,28511,-52.41
28671,28531,-52.41
28691,28551,-52.41
28711,28571,-52.41
28731,28591,-52.41
28751,28611,-52.41
28771,28631,-52.41
28791,28651,-52.41
28811,28671,-52.41
28831,28691,-52.41
28851,28711,-52.41
181,61,-44.92
201,81,-44.92
221,101,-44.92
1571,1451,-44.92
1591,1471,-44.92
1611,1491,-44.92
1631,1511,-44.92
1651,1531,-44.92
1671,1551,-44.92
1691,1571,-44.92
1711,1591,-44.92
1731,1611,-44.92
1751,1631,-44.92
1771,1651,-44.92
1791,1671,-44.92
1811,1691,-44.92
1831,1711,-44.92
1851,1731,-44.92
1871,1751,-44.92
1891,1771,-44.92
1911,1791,-44.92
1931,1811,-44.92
1951,1831,-44.92
1971,1851,-44.92
1991,1871,-44.92
2011,1891,-44.92
2031,1911,-44.92
2051,1931,-44.92
2071,1951,-44.92
2091,1971,-44.92
2111,1991,-44.92
2131,2011,-44.92
2151,2031,-44.92
8641,8521,-44.92
8661,8541,-44.92
8681,8561,-44.92
8701,8581,-44.92
8721,8601,-44.92
8741,8621,-44.92
8761,8641,-44.92
8781,8661,-44.92
8801,8681,-44.92
8821,8701,-44.92
8841,8721,-44.92
8861,8741,-44.92
8881,8761,-44.92
8901,8781,-44.92
8921,8801,-44.92
8941,8821,-44.92
8961,8841,-44.92
8981,8861,-44.92
9001,8881,-44.92
9021,8901,-44.92
9041,8921,-44.92
9061,8941,-44.92
9081,8961,-44.92
9101,8981,-44.92
9121,9001,-44.92
9141,9021,-44.92
9161,9041,-44.92
9181,9061,-44.92
9201,9081,-44.92
9221,9101,-44.92
10511,10391,-44.92
10531,10411,-44.92
10551,10431,-44.92
10571,10451,-44.92
10591,10471,-44.92
10611,10491,-44.92
10631,10511,-44.92
10651,10531,-44.92
10671,10551,-44.92
10691,10571,-44.92
10711,10591,-44.92
10731,10611,-44.92
10751,10631,-44.92
10771,10651,-44.92
10791,10671,-44.92
10811,10691,-44.92
10831,10711,-44.92
10851,10731,-44.92
10871,10751,-44.92
10891,10771,-44.92
10911,10791,-44.92
10931,10811,-44.92
10951,10831,-44.92
10971,10851,-44.92
10991,10871,-44.92
11011,10891,-44.92
11031,10911,-44.92
11051,10931,-44.92
11071,10951,-44.92
11091,10971,-44.92
17461,17341,-44.92
17481,17361,-44.92
17501,17381,-44.92
17521,17401,-44.92
17541,17421,-44.92
17561,17441,-44.92
17581,17461,-44.92
17601,17481,-44.92
17621,17501,-44.92
17641,17521,-44.92
17661,17541,-44.92
17681,17561,-44.92
17701,17581,-44.92
17721,17601,-44.92
17741,17621,-44.92
17761,17641,-44.92
17781,17661,-44.92
17801,17681,-44.92
17821,17701,-44.92
17841,17721,-44.92
17861,17741,-44.92
17881,17761,-44.92
17901,17781,-44.92
17921,17801,-44.92
17941,17821,-44.92
17961,17841,-44.92
17981,17861,-44.92
18001,17881,-44.92
18021,17901,-44.92
18041,17921,-44.92
18061,17941,-44.92
18081,17961,-44.92
18101,17981,-44.92
18121,18001,-44.92
18141,18021,-44.92
18161,18041,-44.92
19331,19211,-44.92
19351,19231,-44.92
19371,19251,-44.92
19391,19271,-44.92
19411,19291,-44.92
19431,19311,-44.92
19451,19331,-44.92
19471,19351,-44.92
19491,19371,-44.92
19511,19391,-44.92
19531,19411,-44.92
19551,19431,-44.92
19571,19451,-44.92
19591,19471,-44.92
19611,19491,-44.92
19631,19511,-44.92
19651,19531,-44.92
19671,19551,-44.92
19691,19571,-44.92
19711,19591,-44.92
19731,19611,-44.92
19751,19631,-44.92
19771,19651,-44.92
19791,19671,-44.92
19811,19691,-44.92
19831,19711,-44.92
19851,19731,-44.92
19871,19751,-44.92
19891,19771,-44.92
19911,19791,-44.92
19931,19811,-44.92
19951,19831,-44.92
19971,19851,-44.92
19991,19871,-44.92
20011,19891,-44.92
20031,19911,-44.92
26401,26281,-44.92
26421,26301,-44.92
26441,26321,-44.92
26461,26341,-44.92
26481,26361,-44.92
26501,26381,-44.92
26521,26401,-44.92
26541,26421,-44.92
26561,26441,-44.92
26581,26461,-44.92
26601,26481,-44.92
26621,26501,-44.92
26641,26521,-44.92
26661,26541,-44.92
26681,26561,-44.92
26701,26581,-44.92
26721,26601,-44.92
26741,26621,-44.92
26761,26641,-44.92
26781,26661,-44.92
26801,26681,-44.92
26821,26701,-44.92
26841,26721,-44.92
26861,26741,-44.92
26881,26761,-44.92
26901,26781,-44.92
26921,26801,-44.92
26941,26821,-44.92
26961,26841,-44.92
26981,26861,-44.92
28271,28151,-44.92
