INJECTION SCHEME : 50ns_297b_255_36_246_36bpi12inj_alt

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	201,		0,		1,		0,	1,	80
2,	1,	ring_2,	201,		0,		1,		0,	1,	80
3,	2,	ring_1,	601,		0,		1,		0,	1,	100
4,	2,	ring_2,	601,		0,		1,		0,	1,	5
5,	3,	ring_1,	1401,		0,		1,		0,	1,	100
6,	3,	ring_2,	1401,		0,		1,		0,	1,	100
7,	4,	ring_1,	1801,		50,		6,		0,	1,	150
8,	4,	ring_2,	2091,		50,		6,		0,	1,	80
9,	5,	ring_1,	2591,		50,		36,		0,	1,	80
10,	5,	ring_2,	2591,		50,		36,		0,	1,	80
11,	6,	ring_1,	3691,		50,		36,		0,	1,	80
12,	6,	ring_2,	3691,		50,		36,		0,	1,	80
13,	7,	ring_1,	11531,		50,		36,		0,	1,	80
14,	7,	ring_2,	11531,		50,		36,		0,	1,	80
15,	8,	ring_1,	12631,		50,		36,		0,	1,	80
16,	8,	ring_2,	12631,		50,		36,		0,	1,	80
17,	9,	ring_1,	20471,		50,		36,		0,	1,	80
18,	9,	ring_2,	20471,		50,		36,		0,	1,	80
19,	10,	ring_1,	21571,		50,		36,		0,	1,	80
20,	10,	ring_2,	21571,		50,		36,		0,	1,	80
21,	11,	ring_2,	29381,		50,		36,		0,	1,	80
22,	11,	ring_1,	29411,		50,		36,		0,	1,	80
23,	12,	ring_1,	30511,		50,		36,		0,	1,	80
24,	12,	ring_2,	30511,		50,		36,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/297
Tot number of B2 bunches(probe/Nominal) : 0/297

Tot number of B1 injections : 12
Tot number of B2 injections : 12

Collisions at IP1&5 : 255
B1-empty at IP1&5 : 42
B2-empty at IP1&5 : 42
Empty-empty at IP1&5 : 3225

Collisions at IP2 : 255
B1-empty at IP2 : 42
B2-empty at IP2 : 42
Empty-empty at IP2 : 3225

Collisions at IP8 : 246
B1-empty at IP8 : 51
B2-empty at IP8 : 51
Empty-empty at IP8 : 3234

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
29551,29381,-63.64
29571,29401,-63.64
29591,29421,-63.64
29611,29441,-63.64
29631,29461,-63.64
29651,29481,-63.64
29671,29501,-63.64
29691,29521,-63.64
29711,29541,-63.64
29731,29561,-63.64
29751,29581,-63.64
29771,29601,-63.64
29791,29621,-63.64
29811,29641,-63.64
29831,29661,-63.64
29851,29681,-63.64
29871,29701,-63.64
29891,29721,-63.64
29911,29741,-63.64
29931,29761,-63.64
29951,29781,-63.64
29971,29801,-63.64
29991,29821,-63.64
30011,29841,-63.64
30031,29861,-63.64
30051,29881,-63.64
30071,29901,-63.64
30091,29921,-63.64
30111,29941,-63.64
2751,2591,-59.89
2771,2611,-59.89
2791,2631,-59.89
2811,2651,-59.89
2831,2671,-59.89
2851,2691,-59.89
2871,2711,-59.89
2891,2731,-59.89
2911,2751,-59.89
2931,2771,-59.89
2951,2791,-59.89
2971,2811,-59.89
2991,2831,-59.89
3011,2851,-59.89
3031,2871,-59.89
3051,2891,-59.89
3071,2911,-59.89
3091,2931,-59.89
3111,2951,-59.89
3131,2971,-59.89
3151,2991,-59.89
3171,3011,-59.89
3191,3031,-59.89
3211,3051,-59.89
3231,3071,-59.89
3251,3091,-59.89
3271,3111,-59.89
3291,3131,-59.89
3851,3691,-59.89
3871,3711,-59.89
3891,3731,-59.89
3911,3751,-59.89
3931,3771,-59.89
3951,3791,-59.89
3971,3811,-59.89
3991,3831,-59.89
4011,3851,-59.89
4031,3871,-59.89
4051,3891,-59.89
4071,3911,-59.89
4091,3931,-59.89
4111,3951,-59.89
4131,3971,-59.89
4151,3991,-59.89
4171,4011,-59.89
4191,4031,-59.89
4211,4051,-59.89
4231,4071,-59.89
4251,4091,-59.89
4271,4111,-59.89
4291,4131,-59.89
4311,4151,-59.89
4331,4171,-59.89
4351,4191,-59.89
4371,4211,-59.89
4391,4231,-59.89
11691,11531,-59.89
11711,11551,-59.89
11731,11571,-59.89
11751,11591,-59.89
11771,11611,-59.89
11791,11631,-59.89
11811,11651,-59.89
11831,11671,-59.89
11851,11691,-59.89
11871,11711,-59.89
11891,11731,-59.89
11911,11751,-59.89
11931,11771,-59.89
11951,11791,-59.89
11971,11811,-59.89
11991,11831,-59.89
12011,11851,-59.89
12031,11871,-59.89
12051,11891,-59.89
12071,11911,-59.89
12091,11931,-59.89
