INJECTION SCHEME : 50ns_298b_256_38_246_36bpi13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	291,		50,		6,		0,	1,	80
3,	2,	ring_1,	791,		50,		36,		0,	1,	80
4,	2,	ring_2,	791,		50,		36,		0,	1,	80
5,	3,	ring_1,	1891,		50,		36,		0,	1,	80
6,	3,	ring_2,	1891,		50,		36,		0,	1,	80
7,	4,	ring_1,	9361,		0,		1,		0,	1,	5
8,	4,	ring_2,	9361,		0,		1,		0,	1,	80
9,	5,	ring_1,	9731,		50,		36,		0,	1,	80
10,	5,	ring_2,	9731,		50,		36,		0,	1,	80
11,	6,	ring_1,	10831,		50,		36,		0,	1,	80
12,	6,	ring_2,	10831,		50,		36,		0,	1,	80
13,	7,	ring_1,	11931,		0,		1,		0,	1,	80
14,	7,	ring_2,	11931,		0,		1,		0,	1,	80
15,	8,	ring_1,	18271,		0,		1,		0,	1,	80
16,	8,	ring_2,	18271,		0,		1,		0,	1,	80
17,	9,	ring_1,	18671,		50,		36,		0,	1,	80
18,	9,	ring_2,	18671,		50,		36,		0,	1,	80
19,	10,	ring_1,	19771,		50,		36,		0,	1,	80
20,	10,	ring_2,	19771,		50,		36,		0,	1,	80
21,	11,	ring_1,	20841,		0,		1,		0,	1,	80
22,	11,	ring_2,	20841,		0,		1,		0,	1,	80
23,	12,	ring_2,	27581,		50,		36,		0,	1,	80
24,	12,	ring_1,	27611,		50,		36,		0,	1,	80
25,	13,	ring_1,	28711,		50,		36,		0,	1,	80
26,	13,	ring_2,	28711,		50,		36,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/298
Tot number of B2 bunches(probe/Nominal) : 0/298

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5 : 254
B1-empty at IP1&5 : 44
B2-empty at IP1&5 : 44
Empty-empty at IP1&5 : 3222

Collisions at IP2 : 254
B1-empty at IP2 : 44
B2-empty at IP2 : 44
Empty-empty at IP2 : 3222

Collisions at IP8 : 246
B1-empty at IP8 : 52
B2-empty at IP8 : 52
Empty-empty at IP8 : 3230

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
27751,27581,-63.64
27771,27601,-63.64
27791,27621,-63.64
27811,27641,-63.64
27831,27661,-63.64
27851,27681,-63.64
27871,27701,-63.64
27891,27721,-63.64
27911,27741,-63.64
27931,27761,-63.64
27951,27781,-63.64
27971,27801,-63.64
27991,27821,-63.64
28011,27841,-63.64
28031,27861,-63.64
28051,27881,-63.64
28071,27901,-63.64
28091,27921,-63.64
28111,27941,-63.64
28131,27961,-63.64
28151,27981,-63.64
28171,28001,-63.64
28191,28021,-63.64
28211,28041,-63.64
28231,28061,-63.64
28251,28081,-63.64
28271,28101,-63.64
28291,28121,-63.64
28311,28141,-63.64
951,791,-59.89
971,811,-59.89
991,831,-59.89
1011,851,-59.89
1031,871,-59.89
1051,891,-59.89
1071,911,-59.89
1091,931,-59.89
1111,951,-59.89
1131,971,-59.89
1151,991,-59.89
1171,1011,-59.89
1191,1031,-59.89
1211,1051,-59.89
1231,1071,-59.89
1251,1091,-59.89
1271,1111,-59.89
1291,1131,-59.89
1311,1151,-59.89
1331,1171,-59.89
1351,1191,-59.89
1371,1211,-59.89
1391,1231,-59.89
1411,1251,-59.89
1431,1271,-59.89
1451,1291,-59.89
1471,1311,-59.89
1491,1331,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2131,1971,-59.89
2151,1991,-59.89
2171,2011,-59.89
2191,2031,-59.89
2211,2051,-59.89
2231,2071,-59.89
2251,2091,-59.89
2271,2111,-59.89
2291,2131,-59.89
2311,2151,-59.89
2331,2171,-59.89
2351,2191,-59.89
2371,2211,-59.89
2391,2231,-59.89
2411,2251,-59.89
2431,2271,-59.89
2451,2291,-59.89
2471,2311,-59.89
2491,2331,-59.89
2511,2351,-59.89
2531,2371,-59.89
2551,2391,-59.89
2571,2411,-59.89
2591,2431,-59.89
9891,9731,-59.89
9911,9751,-59.89
9931,9771,-59.89
9951,9791,-59.89
9971,9811,-59.89
9991,9831,-59.89
10011,9851,-59.89
10031,9871,-59.89
10051,9891,-59.89
10071,9911,-59.89
10091,9931,-59.89
10111,9951,-59.89
10131,9971,-59.89
10151,9991,-59.89
10171,10011,-59.89
10191,10031,-59.89
10211,10051,-59.89
10231,10071,-59.89
10251,10091,-59.89
10271,10111,-59.89
10291,10131,-59.89
10311,10151,-59.89
10331,10171,-59.89
10351,10191,-59.89
10371,10211,-59.89
10391,10231,-59.89
10411,10251,-59.89
10431,10271,-59.89
10991,10831,-59.89
11011,10851,-59.89
11031,10871,-59.89
11051,10891,-59.89
11071,10911,-59.89
11091,10931,-59.89
11111,10951,-59.89
11131,10971,-59.89
11151,10991,-59.89
11171,11011,-59.89
11191,11031,-59.89
11211,11051,-59.89
11231,11071,-59.89
11251,11091,-59.89
11271,11111,-59.89
11291,11131,-59.89
11311,11151,-59.89
11331,11171,-59.89
11351,11191,-59.89
11371,11211,-59.89
11391,11231,-59.89
11411,11251,-59.89
11431,11271,-59.89
11451,11291,-59.89
11471,11311,-59.89
11491,11331,-59.89
11511,11351,-59.89
11531,11371,-59.89
18831,18671,-59.89
18851,18691,-59.89
18871,18711,-59.89
18891,18731,-59.89
18911,18751,-59.89
18931,18771,-59.89
18951,18791,-59.89
18971,18811,-59.89
18991,18831,-59.89
19011,18851,-59.89
19031,18871,-59.89
19051,18891,-59.89
19071,18911,-59.89
19091,18931,-59.89
19111,18951,-59.89
19131,18971,-59.89
19151,18991,-59.89
19171,19011,-59.89
19191,19031,-59.89
19211,19051,-59.89
19231,19071,-59.89
19251,19091,-59.89
19271,19111,-59.89
19291,19131,-59.89
19311,19151,-59.89
19331,19171,-59.89
19351,19191,-59.89
19371,19211,-59.89
19931,19771,-59.89
19951,19791,-59.89
19971,19811,-59.89
19991,19831,-59.89
20011,19851,-59.89
20031,19871,-59.89
20051,19891,-59.89
20071,19911,-59.89
20091,19931,-59.89
20111,19951,-59.89
20131,19971,-59.89
20151,19991,-59.89
20171,20011,-59.89
20191,20031,-59.89
20211,20051,-59.89
20231,20071,-59.89
20251,20091,-59.89
20271,20111,-59.89
20291,20131,-59.89
20311,20151,-59.89
20331,20171,-59.89
20351,20191,-59.89
20371,20211,-59.89
20391,20231,-59.89
20411,20251,-59.89
20431,20271,-59.89
20451,20291,-59.89
20471,20311,-59.89
28871,28711,-59.89
28891,28731,-59.89
28911,28751,-59.89
28931,28771,-59.89
28951,28791,-59.89
28971,28811,-59.89
28991,28831,-59.89
29011,28851,-59.89
29031,28871,-59.89
29051,28891,-59.89
29071,28911,-59.89
29091,28931,-59.89
29111,28951,-59.89
29131,28971,-59.89
29151,28991,-59.89
29171,29011,-59.89
29191,29031,-59.89
29211,29051,-59.89
29231,29071,-59.89
29251,29091,-59.89
29271,29111,-59.89
29291,29131,-59.89
29311,29151,-59.89
29331,29171,-59.89
29351,29191,-59.89
29371,29211,-59.89
29391,29231,-59.89
29411,29251,-59.89
27731,27581,-56.15
27751,27601,-56.15
27771,27621,-56.15
27791,27641,-56.15
27811,27661,-56.15
27831,27681,-56.15
27851,27701,-56.15
27871,27721,-56.15
27891,27741,-56.15
27911,27761,-56.15
27931,27781,-56.15
27951,27801,-56.15
27971,27821,-56.15
27991,27841,-56.15
28011,27861,-56.15
28031,27881,-56.15
28051,27901,-56.15
28071,27921,-56.15
28091,27941,-56.15
28111,27961,-56.15
28131,27981,-56.15
28151,28001,-56.15
28171,28021,-56.15
28191,28041,-56.15
28211,28061,-56.15
28231,28081,-56.15
28251,28101,-56.15
28271,28121,-56.15
28291,28141,-56.15
28311,28161,-56.15
931,791,-52.41
951,811,-52.41
971,831,-52.41
991,851,-52.41
1011,871,-52.41
1031,891,-52.41
1051,911,-52.41
1071,931,-52.41
1091,951,-52.41
1111,971,-52.41
1131,991,-52.41
1151,1011,-52.41
1171,1031,-52.41
1191,1051,-52.41
1211,1071,-52.41
1231,1091,-52.41
1251,1111,-52.41
1271,1131,-52.41
1291,1151,-52.41
1311,1171,-52.41
1331,1191,-52.41
1351,1211,-52.41
1371,1231,-52.41
1391,1251,-52.41
1411,1271,-52.41
1431,1291,-52.41
1451,1311,-52.41
1471,1331,-52.41
1491,1351,-52.41
2031,1891,-52.41
2051,1911,-52.41
2071,1931,-52.41
2091,1951,-52.41
2111,1971,-52.41
2131,1991,-52.41
2151,2011,-52.41
2171,2031,-52.41
2191,2051,-52.41
2211,2071,-52.41
2231,2091,-52.41
2251,2111,-52.41
2271,2131,-52.41
2291,2151,-52.41
2311,2171,-52.41
2331,2191,-52.41
2351,2211,-52.41
2371,2231,-52.41
2391,2251,-52.41
2411,2271,-52.41
2431,2291,-52.41
2451,2311,-52.41
2471,2331,-52.41
2491,2351,-52.41
2511,2371,-52.41
2531,2391,-52.41
