INJECTION SCHEME : 50ns_46b+1p+28_0_36_12bpi_14inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		0,		1,		0,	1,	5
2,	1,	ring_2,	1,		0,		1,		0,	1,	5
3,	2,	ring_1,	401,		0,		1,		0,	1,	100
4,	2,	ring_2,	401,		0,		1,		0,	1,	100
5,	3,	ring_1,	801,		0,		1,		0,	1,	100
6,	3,	ring_2,	801,		0,		1,		0,	1,	100
7,	4,	ring_1,	1201,		0,		1,		0,	1,	100
8,	4,	ring_2,	1201,		0,		1,		0,	1,	100
9,	5,	ring_1,	1601,		0,		1,		0,	1,	100
10,	5,	ring_2,	1601,		0,		1,		0,	1,	100
11,	6,	ring_1,	2001,		0,		1,		0,	1,	100
12,	6,	ring_2,	2001,		0,		1,		0,	1,	100
13,	7,	ring_1,	2401,		0,		1,		0,	1,	100
14,	7,	ring_2,	2401,		0,		1,		0,	1,	100
15,	8,	ring_1,	2801,		0,		1,		0,	1,	100
16,	8,	ring_2,	2801,		0,		1,		0,	1,	100
17,	9,	ring_1,	3201,		0,		1,		0,	1,	100
18,	9,	ring_2,	3201,		0,		1,		0,	1,	100
19,	10,	ring_1,	3601,		0,		1,		0,	1,	100
20,	10,	ring_2,	3601,		0,		1,		0,	1,	100
21,	11,	ring_2,	4001,		0,		1,		0,	1,	80
22,	11,	ring_1,	4401,		0,		1,		0,	1,	100
23,	12,	ring_2,	4801,		50,		12,		0,	1,	100
24,	12,	ring_1,	13741,		50,		12,		0,	1,	100
25,	13,	ring_2,	13741,		50,		12,		0,	1,	100
26,	14,	ring_2,	22561,		50,		12,		0,	1,	100
27,	13,	ring_1,	22681,		50,		12,		0,	1,	100
28,	14,	ring_1,	31501,		50,		12,		0,	1,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/46
Tot number of B2 bunches(probe/Nominal) : 1/46

Tot number of B1 injections : 14
Tot number of B2 injections : 14

Collisions at IP1&5 : 28
B1-empty at IP1&5 : 19
B2-empty at IP1&5 : 19
Empty-empty at IP1&5 : 3498

Collisions at IP2 : 28
B1-empty at IP2 : 19
B2-empty at IP2 : 19
Empty-empty at IP2 : 3498

Collisions at IP8 : 36
B1-empty at IP8 : 11
B2-empty at IP8 : 11
Empty-empty at IP8 : 3490

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
13901,13741,-59.89
13921,13761,-59.89
13941,13781,-59.89
13961,13801,-59.89
22721,22561,-59.89
22741,22581,-59.89
22761,22601,-59.89
22781,22621,-59.89
22801,22641,-59.89
22821,22661,-59.89
22841,22681,-59.89
22861,22701,-59.89
22881,22721,-59.89
22901,22741,-59.89
13881,13741,-52.41
13901,13761,-52.41
13921,13781,-52.41
13941,13801,-52.41
13961,13821,-52.41
22701,22561,-52.41
22721,22581,-52.41
22741,22601,-52.41
22761,22621,-52.41
22781,22641,-52.41
22801,22661,-52.41
22821,22681,-52.41
22841,22701,-52.41
22861,22721,-52.41
22881,22741,-52.41
22901,22761,-52.41
13861,13741,-44.92
13881,13761,-44.92
13901,13781,-44.92
13921,13801,-44.92
13941,13821,-44.92
13961,13841,-44.92
22681,22561,-44.92
22701,22581,-44.92
22721,22601,-44.92
22741,22621,-44.92
22761,22641,-44.92
22781,22661,-44.92
22801,22681,-44.92
22821,22701,-44.92
22841,22721,-44.92
22861,22741,-44.92
22881,22761,-44.92
22901,22781,-44.92
13841,13741,-37.43
13861,13761,-37.43
13881,13781,-37.43
13901,13801,-37.43
13921,13821,-37.43
13941,13841,-37.43
13961,13861,-37.43
22681,22581,-37.43
22701,22601,-37.43
22721,22621,-37.43
22741,22641,-37.43
22761,22661,-37.43
22781,22681,-37.43
22801,22701,-37.43
22821,22721,-37.43
22841,22741,-37.43
22861,22761,-37.43
22881,22781,-37.43
13821,13741,-29.95
13841,13761,-29.95
13861,13781,-29.95
13881,13801,-29.95
13901,13821,-29.95
13921,13841,-29.95
13941,13861,-29.95
13961,13881,-29.95
22681,22601,-29.95
22701,22621,-29.95
22721,22641,-29.95
22741,22661,-29.95
22761,22681,-29.95
22781,22701,-29.95
22801,22721,-29.95
22821,22741,-29.95
22841,22761,-29.95
22861,22781,-29.95
13801,13741,-22.46
13821,13761,-22.46
13841,13781,-22.46
13861,13801,-22.46
13881,13821,-22.46
13901,13841,-22.46
13921,13861,-22.46
13941,13881,-22.46
13961,13901,-22.46
22681,22621,-22.46
22701,22641,-22.46
22721,22661,-22.46
22741,22681,-22.46
22761,22701,-22.46
22781,22721,-22.46
22801,22741,-22.46
22821,22761,-22.46
22841,22781,-22.46
13781,13741,-14.97
13801,13761,-14.97
13821,13781,-14.97
13841,13801,-14.97
13861,13821,-14.97
13881,13841,-14.97
13901,13861,-14.97
13921,13881,-14.97
13941,13901,-14.97
13961,13921,-14.97
22681,22641,-14.97
22701,22661,-14.97
22721,22681,-14.97
22741,22701,-14.97
22761,22721,-14.97
