INJECTION SCHEME : 50ns_476b_426_32_392_36bpi16inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	291,		50,		6,		0,	1,	80
3,	2,	ring_1,	791,		50,		36,		0,	1,	80
4,	2,	ring_2,	791,		50,		36,		0,	1,	80
5,	3,	ring_1,	1891,		50,		36,		0,	1,	80
6,	3,	ring_2,	1891,		50,		36,		0,	1,	80
7,	4,	ring_1,	2991,		50,		36,		0,	1,	80
8,	4,	ring_2,	2991,		50,		36,		0,	1,	80
9,	5,	ring_1,	9731,		50,		36,		0,	1,	80
10,	5,	ring_2,	9731,		50,		36,		0,	1,	80
11,	6,	ring_1,	10831,		50,		36,		0,	1,	80
12,	6,	ring_2,	10831,		50,		36,		0,	1,	80
13,	7,	ring_1,	11931,		50,		36,		0,	1,	80
14,	7,	ring_2,	11931,		50,		36,		0,	1,	80
15,	8,	ring_1,	13031,		50,		36,		0,	1,	80
16,	8,	ring_2,	13031,		50,		36,		0,	1,	80
17,	9,	ring_1,	14131,		0,		1,		0,	1,	80
18,	9,	ring_2,	14131,		0,		1,		0,	1,	80
19,	10,	ring_1,	18271,		0,		1,		0,	1,	80
20,	10,	ring_2,	18271,		0,		1,		0,	1,	80
21,	11,	ring_1,	18671,		50,		36,		0,	1,	80
22,	11,	ring_2,	18671,		50,		36,		0,	1,	80
23,	12,	ring_1,	19771,		50,		36,		0,	1,	80
24,	12,	ring_2,	19771,		50,		36,		0,	1,	80
25,	13,	ring_1,	20871,		50,		36,		0,	1,	80
26,	13,	ring_2,	20871,		50,		36,		0,	1,	80
27,	14,	ring_2,	27501,		50,		36,		0,	1,	80
28,	14,	ring_1,	27611,		50,		36,		0,	1,	80
29,	15,	ring_2,	28631,		50,		36,		0,	1,	80
30,	15,	ring_1,	28711,		50,		36,		0,	1,	80
31,	16,	ring_2,	29731,		50,		36,		0,	1,	80
32,	16,	ring_1,	29811,		50,		36,		0,	1,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/476
Tot number of B2 bunches(probe/Nominal) : 0/476

Tot number of B1 injections : 16
Tot number of B2 injections : 16

Collisions at IP1&5 : 426
B1-empty at IP1&5 : 50
B2-empty at IP1&5 : 50
Empty-empty at IP1&5 : 3038

Collisions at IP2 : 426
B1-empty at IP2 : 50
B2-empty at IP2 : 50
Empty-empty at IP2 : 3038

Collisions at IP8 : 392
B1-empty at IP8 : 84
B2-empty at IP8 : 84
Empty-empty at IP8 : 3072

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
27671,27501,-63.64
27691,27521,-63.64
27711,27541,-63.64
27731,27561,-63.64
27751,27581,-63.64
27771,27601,-63.64
27791,27621,-63.64
27811,27641,-63.64
27831,27661,-63.64
27851,27681,-63.64
27871,27701,-63.64
27891,27721,-63.64
27911,27741,-63.64
27931,27761,-63.64
27951,27781,-63.64
27971,27801,-63.64
27991,27821,-63.64
28011,27841,-63.64
28031,27861,-63.64
28051,27881,-63.64
28071,27901,-63.64
28091,27921,-63.64
28111,27941,-63.64
28131,27961,-63.64
28151,27981,-63.64
28171,28001,-63.64
28191,28021,-63.64
28211,28041,-63.64
28231,28061,-63.64
28251,28081,-63.64
28271,28101,-63.64
28291,28121,-63.64
28311,28141,-63.64
951,791,-59.89
971,811,-59.89
991,831,-59.89
1011,851,-59.89
1031,871,-59.89
1051,891,-59.89
1071,911,-59.89
1091,931,-59.89
1111,951,-59.89
1131,971,-59.89
1151,991,-59.89
1171,1011,-59.89
1191,1031,-59.89
1211,1051,-59.89
1231,1071,-59.89
1251,1091,-59.89
1271,1111,-59.89
1291,1131,-59.89
1311,1151,-59.89
1331,1171,-59.89
1351,1191,-59.89
1371,1211,-59.89
1391,1231,-59.89
1411,1251,-59.89
1431,1271,-59.89
1451,1291,-59.89
1471,1311,-59.89
1491,1331,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2131,1971,-59.89
2151,1991,-59.89
2171,2011,-59.89
2191,2031,-59.89
2211,2051,-59.89
2231,2071,-59.89
2251,2091,-59.89
2271,2111,-59.89
2291,2131,-59.89
2311,2151,-59.89
2331,2171,-59.89
2351,2191,-59.89
2371,2211,-59.89
2391,2231,-59.89
2411,2251,-59.89
2431,2271,-59.89
2451,2291,-59.89
2471,2311,-59.89
2491,2331,-59.89
2511,2351,-59.89
2531,2371,-59.89
2551,2391,-59.89
2571,2411,-59.89
2591,2431,-59.89
3151,2991,-59.89
3171,3011,-59.89
3191,3031,-59.89
3211,3051,-59.89
3231,3071,-59.89
3251,3091,-59.89
3271,3111,-59.89
3291,3131,-59.89
3311,3151,-59.89
3331,3171,-59.89
3351,3191,-59.89
3371,3211,-59.89
3391,3231,-59.89
3411,3251,-59.89
3431,3271,-59.89
3451,3291,-59.89
3471,3311,-59.89
3491,3331,-59.89
3511,3351,-59.89
3531,3371,-59.89
3551,3391,-59.89
3571,3411,-59.89
3591,3431,-59.89
3611,3451,-59.89
3631,3471,-59.89
3651,3491,-59.89
3671,3511,-59.89
3691,3531,-59.89
9891,9731,-59.89
9911,9751,-59.89
9931,9771,-59.89
9951,9791,-59.89
9971,9811,-59.89
9991,9831,-59.89
10011,9851,-59.89
10031,9871,-59.89
10051,9891,-59.89
10071,9911,-59.89
10091,9931,-59.89
10111,9951,-59.89
10131,9971,-59.89
10151,9991,-59.89
10171,10011,-59.89
10191,10031,-59.89
10211,10051,-59.89
10231,10071,-59.89
10251,10091,-59.89
10271,10111,-59.89
10291,10131,-59.89
10311,10151,-59.89
10331,10171,-59.89
10351,10191,-59.89
10371,10211,-59.89
10391,10231,-59.89
10411,10251,-59.89
10431,10271,-59.89
10991,10831,-59.89
11011,10851,-59.89
11031,10871,-59.89
11051,10891,-59.89
11071,10911,-59.89
11091,10931,-59.89
11111,10951,-59.89
11131,10971,-59.89
11151,10991,-59.89
11171,11011,-59.89
11191,11031,-59.89
11211,11051,-59.89
11231,11071,-59.89
11251,11091,-59.89
11271,11111,-59.89
11291,11131,-59.89
11311,11151,-59.89
11331,11171,-59.89
11351,11191,-59.89
11371,11211,-59.89
11391,11231,-59.89
11411,11251,-59.89
11431,11271,-59.89
11451,11291,-59.89
11471,11311,-59.89
11491,11331,-59.89
11511,11351,-59.89
11531,11371,-59.89
12091,11931,-59.89
12111,11951,-59.89
12131,11971,-59.89
12151,11991,-59.89
12171,12011,-59.89
12191,12031,-59.89
12211,12051,-59.89
12231,12071,-59.89
12251,12091,-59.89
12271,12111,-59.89
12291,12131,-59.89
12311,12151,-59.89
12331,12171,-59.89
12351,12191,-59.89
12371,12211,-59.89
12391,12231,-59.89
12411,12251,-59.89
12431,12271,-59.89
12451,12291,-59.89
12471,12311,-59.89
12491,12331,-59.89
12511,12351,-59.89
12531,12371,-59.89
12551,12391,-59.89
12571,12411,-59.89
12591,12431,-59.89
12611,12451,-59.89
12631,12471,-59.89
13191,13031,-59.89
13211,13051,-59.89
13231,13071,-59.89
13251,13091,-59.89
13271,13111,-59.89
13291,13131,-59.89
13311,13151,-59.89
13331,13171,-59.89
13351,13191,-59.89
13371,13211,-59.89
