INJECTION SCHEME : 50ns_476b_434_36_377_72bpi10inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	191,		50,		6,		0,	1,	80
3,	2,	ring_1,	791,		50,		36,		2000,	2,	80
4,	2,	ring_2,	791,		50,		36,		2000,	2,	80
5,	3,	ring_1,	2651,		50,		36,		2000,	2,	80
6,	3,	ring_2,	2651,		50,		36,		2000,	2,	80
7,	4,	ring_1,	9731,		50,		36,		2000,	2,	80
8,	4,	ring_2,	9731,		50,		36,		2000,	2,	80
9,	5,	ring_1,	12691,		0,		1,		0,	1,	80
10,	5,	ring_2,	12691,		0,		1,		0,	1,	80
11,	6,	ring_1,	18271,		0,		1,		0,	1,	80
12,	6,	ring_2,	18271,		0,		1,		0,	1,	80
13,	7,	ring_1,	18671,		50,		36,		2000,	2,	80
14,	7,	ring_2,	18671,		50,		36,		2000,	2,	80
15,	8,	ring_2,	20531,		50,		36,		0,	1,	80
16,	8,	ring_1,	20561,		50,		36,		0,	1,	80
17,	9,	ring_1,	27611,		50,		36,		2000,	2,	80
18,	9,	ring_2,	27611,		50,		36,		2000,	2,	80
19,	10,	ring_1,	29471,		50,		36,		2000,	2,	80
20,	10,	ring_2,	29471,		50,		36,		2000,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/475
Tot number of B2 bunches(probe/Nominal) : 1/475

Tot number of B1 injections : 10
Tot number of B2 injections : 10

Collisions at IP1&5 : 434
B1-empty at IP1&5 : 42
B2-empty at IP1&5 : 42
Empty-empty at IP1&5 : 3046

Collisions at IP2 : 434
B1-empty at IP2 : 42
B2-empty at IP2 : 42
Empty-empty at IP2 : 3046

Collisions at IP8 : 377
B1-empty at IP8 : 99
B2-empty at IP8 : 99
Empty-empty at IP8 : 3103

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
20701,20531,-63.64
20721,20551,-63.64
20741,20571,-63.64
20761,20591,-63.64
20781,20611,-63.64
20801,20631,-63.64
20821,20651,-63.64
20841,20671,-63.64
20861,20691,-63.64
20881,20711,-63.64
20901,20731,-63.64
20921,20751,-63.64
20941,20771,-63.64
20961,20791,-63.64
20981,20811,-63.64
21001,20831,-63.64
21021,20851,-63.64
21041,20871,-63.64
21061,20891,-63.64
21081,20911,-63.64
21101,20931,-63.64
21121,20951,-63.64
21141,20971,-63.64
21161,20991,-63.64
21181,21011,-63.64
21201,21031,-63.64
21221,21051,-63.64
21241,21071,-63.64
21261,21091,-63.64
951,791,-59.89
971,811,-59.89
991,831,-59.89
1011,851,-59.89
1031,871,-59.89
1051,891,-59.89
1071,911,-59.89
1091,931,-59.89
1111,951,-59.89
1131,971,-59.89
1151,991,-59.89
1171,1011,-59.89
1191,1031,-59.89
1211,1051,-59.89
1231,1071,-59.89
1251,1091,-59.89
1271,1111,-59.89
1291,1131,-59.89
1311,1151,-59.89
1331,1171,-59.89
1351,1191,-59.89
1371,1211,-59.89
1391,1231,-59.89
1411,1251,-59.89
1431,1271,-59.89
1451,1291,-59.89
1471,1311,-59.89
1491,1331,-59.89
1591,1431,-59.89
1611,1451,-59.89
1631,1471,-59.89
1651,1491,-59.89
1751,1591,-59.89
1771,1611,-59.89
1791,1631,-59.89
1811,1651,-59.89
1831,1671,-59.89
1851,1691,-59.89
1871,1711,-59.89
1891,1731,-59.89
1911,1751,-59.89
1931,1771,-59.89
1951,1791,-59.89
1971,1811,-59.89
1991,1831,-59.89
2011,1851,-59.89
2031,1871,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2131,1971,-59.89
2151,1991,-59.89
2171,2011,-59.89
2191,2031,-59.89
2211,2051,-59.89
2231,2071,-59.89
2251,2091,-59.89
2271,2111,-59.89
2291,2131,-59.89
2811,2651,-59.89
2831,2671,-59.89
2851,2691,-59.89
2871,2711,-59.89
2891,2731,-59.89
2911,2751,-59.89
2931,2771,-59.89
2951,2791,-59.89
