INJECTION SCHEME : 50ns_482b_420_32_397_72bpi11inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	191,		50,		6,		0,	1,	80
3,	2,	ring_1,	691,		50,		6,		0,	1,	80
4,	2,	ring_2,	691,		50,		6,		0,	1,	80
5,	3,	ring_1,	1411,		50,		36,		2000,	2,	80
6,	3,	ring_2,	1411,		50,		36,		2000,	2,	80
7,	4,	ring_1,	3311,		50,		36,		2000,	2,	80
8,	4,	ring_2,	3311,		50,		36,		2000,	2,	80
9,	5,	ring_1,	10351,		50,		36,		2000,	2,	80
10,	5,	ring_2,	10351,		50,		36,		2000,	2,	80
11,	6,	ring_1,	13311,		0,		1,		0,	1,	80
12,	6,	ring_2,	13311,		0,		1,		0,	1,	80
13,	7,	ring_1,	18891,		0,		1,		0,	1,	5
14,	7,	ring_2,	18891,		0,		1,		0,	1,	80
15,	8,	ring_1,	19291,		50,		36,		2000,	2,	80
16,	8,	ring_2,	19291,		50,		36,		2000,	2,	80
17,	9,	ring_2,	21191,		50,		36,		0,	1,	80
18,	9,	ring_1,	21221,		50,		36,		0,	1,	80
19,	10,	ring_2,	28111,		50,		36,		2000,	2,	80
20,	10,	ring_1,	28231,		50,		36,		2000,	2,	80
21,	11,	ring_2,	30011,		50,		36,		2000,	2,	80
22,	11,	ring_1,	30131,		50,		36,		2000,	2,	80
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/482
Tot number of B2 bunches(probe/Nominal) : 0/482

Tot number of B1 injections : 11
Tot number of B2 injections : 11

Collisions at IP1&5 : 420
B1-empty at IP1&5 : 62
B2-empty at IP1&5 : 62
Empty-empty at IP1&5 : 3020

Collisions at IP2 : 420
B1-empty at IP2 : 62
B2-empty at IP2 : 62
Empty-empty at IP2 : 3020

Collisions at IP8 : 397
B1-empty at IP8 : 85
B2-empty at IP8 : 85
Empty-empty at IP8 : 3043

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
21361,21191,-63.64
21381,21211,-63.64
21401,21231,-63.64
21421,21251,-63.64
21441,21271,-63.64
21461,21291,-63.64
21481,21311,-63.64
21501,21331,-63.64
21521,21351,-63.64
21541,21371,-63.64
21561,21391,-63.64
21581,21411,-63.64
21601,21431,-63.64
21621,21451,-63.64
21641,21471,-63.64
21661,21491,-63.64
21681,21511,-63.64
21701,21531,-63.64
21721,21551,-63.64
21741,21571,-63.64
21761,21591,-63.64
21781,21611,-63.64
21801,21631,-63.64
21821,21651,-63.64
21841,21671,-63.64
21861,21691,-63.64
21881,21711,-63.64
21901,21731,-63.64
21921,21751,-63.64
1571,1411,-59.89
1591,1431,-59.89
1611,1451,-59.89
1631,1471,-59.89
1651,1491,-59.89
1671,1511,-59.89
1691,1531,-59.89
1711,1551,-59.89
1731,1571,-59.89
1751,1591,-59.89
1771,1611,-59.89
1791,1631,-59.89
1811,1651,-59.89
1831,1671,-59.89
1851,1691,-59.89
1871,1711,-59.89
1891,1731,-59.89
1911,1751,-59.89
1931,1771,-59.89
1951,1791,-59.89
1971,1811,-59.89
1991,1831,-59.89
2011,1851,-59.89
2031,1871,-59.89
2051,1891,-59.89
2071,1911,-59.89
2091,1931,-59.89
2111,1951,-59.89
2211,2051,-59.89
2231,2071,-59.89
2251,2091,-59.89
2271,2111,-59.89
2371,2211,-59.89
2391,2231,-59.89
2411,2251,-59.89
2431,2271,-59.89
2451,2291,-59.89
2471,2311,-59.89
2491,2331,-59.89
2511,2351,-59.89
2531,2371,-59.89
2551,2391,-59.89
2571,2411,-59.89
2591,2431,-59.89
2611,2451,-59.89
2631,2471,-59.89
2651,2491,-59.89
2671,2511,-59.89
2691,2531,-59.89
2711,2551,-59.89
2731,2571,-59.89
2751,2591,-59.89
2771,2611,-59.89
2791,2631,-59.89
2811,2651,-59.89
2831,2671,-59.89
2851,2691,-59.89
2871,2711,-59.89
2891,2731,-59.89
2911,2751,-59.89
3471,3311,-59.89
3491,3331,-59.89
3511,3351,-59.89
3531,3371,-59.89
3551,3391,-59.89
3571,3411,-59.89
3591,3431,-59.89
3611,3451,-59.89
3631,3471,-59.89
3651,3491,-59.89
3671,3511,-59.89
3691,3531,-59.89
3711,3551,-59.89
3731,3571,-59.89
3751,3591,-59.89
3771,3611,-59.89
3791,3631,-59.89
3811,3651,-59.89
3831,3671,-59.89
3851,3691,-59.89
3871,3711,-59.89
3891,3731,-59.89
3911,3751,-59.89
3931,3771,-59.89
3951,3791,-59.89
3971,3811,-59.89
3991,3831,-59.89
4011,3851,-59.89
4111,3951,-59.89
4131,3971,-59.89
4151,3991,-59.89
4171,4011,-59.89
4271,4111,-59.89
4291,4131,-59.89
4311,4151,-59.89
4331,4171,-59.89
4351,4191,-59.89
4371,4211,-59.89
4391,4231,-59.89
4411,4251,-59.89
4431,4271,-59.89
4451,4291,-59.89
4471,4311,-59.89
4491,4331,-59.89
4511,4351,-59.89
4531,4371,-59.89
4551,4391,-59.89
4571,4411,-59.89
4591,4431,-59.89
4611,4451,-59.89
4631,4471,-59.89
4651,4491,-59.89
4671,4511,-59.89
4691,4531,-59.89
4711,4551,-59.89
4731,4571,-59.89
4751,4591,-59.89
4771,4611,-59.89
4791,4631,-59.89
4811,4651,-59.89
10511,10351,-59.89
10531,10371,-59.89
10551,10391,-59.89
10571,10411,-59.89
10591,10431,-59.89
10611,10451,-59.89
10631,10471,-59.89
10651,10491,-59.89
10671,10511,-59.89
10691,10531,-59.89
10711,10551,-59.89
10731,10571,-59.89
10751,10591,-59.89
10771,10611,-59.89
10791,10631,-59.89
10811,10651,-59.89
10831,10671,-59.89
10851,10691,-59.89
10871,10711,-59.89
10891,10731,-59.89
10911,10751,-59.89
10931,10771,-59.89
10951,10791,-59.89
10971,10811,-59.89
10991,10831,-59.89
11011,10851,-59.89
11031,10871,-59.89
11051,10891,-59.89
11151,10991,-59.89
11171,11011,-59.89
11191,11031,-59.89
11211,11051,-59.89
11311,11151,-59.89
11331,11171,-59.89
11351,11191,-59.89
11371,11211,-59.89
11391,11231,-59.89
11411,11251,-59.89
11431,11271,-59.89
11451,11291,-59.89
11471,11311,-59.89
11491,11331,-59.89
11511,11351,-59.89
11531,11371,-59.89
11551,11391,-59.89
11571,11411,-59.89
11591,11431,-59.89
11611,11451,-59.89
11631,11471,-59.89
11651,11491,-59.89
11671,11511,-59.89
11691,11531,-59.89
11711,11551,-59.89
11731,11571,-59.89
11751,11591,-59.89
11771,11611,-59.89
11791,11631,-59.89
11811,11651,-59.89
11831,11671,-59.89
11851,11691,-59.89
19451,19291,-59.89
19471,19311,-59.89
19491,19331,-59.89
19511,19351,-59.89
19531,19371,-59.89
19551,19391,-59.89
19571,19411,-59.89
19591,19431,-59.89
19611,19451,-59.89
