INJECTION SCHEME : 50ns_50b_38_31_36_6bpi10inj_wp

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		6,		0,	1,	150
2,	1,	ring_2,	1,		50,		6,		0,	1,	150
3,	2,	ring_1,	2101,		50,		6,		0,	1,	150
4,	2,	ring_2,	2101,		50,		6,		0,	1,	150
5,	3,	ring_1,	4651,		0,		1,		0,	1,	150
6,	3,	ring_2,	4751,		0,		1,		0,	1,	150
7,	4,	ring_2,	8911,		50,		6,		0,	1,	150
8,	4,	ring_1,	8941,		50,		6,		0,	1,	150
9,	5,	ring_2,	11011,		50,		6,		0,	1,	150
10,	5,	ring_1,	11041,		50,		6,		0,	1,	150
11,	6,	ring_1,	13361,		0,		1,		0,	1,	150
12,	6,	ring_2,	13361,		0,		1,		0,	1,	150
13,	7,	ring_1,	17851,		50,		6,		0,	1,	150
14,	7,	ring_2,	17851,		50,		6,		0,	1,	150
15,	8,	ring_1,	19951,		50,		6,		0,	1,	150
16,	8,	ring_2,	19951,		50,		6,		0,	1,	150
17,	9,	ring_1,	22271,		0,		1,		0,	1,	150
18,	9,	ring_2,	22271,		0,		1,		0,	1,	150
19,	10,	ring_1,	26791,		50,		6,		0,	1,	150
20,	10,	ring_2,	26791,		50,		6,		0,	1,	150
21,	11,	ring_1,	28891,		50,		6,		0,	1,	150
22,	11,	ring_2,	28891,		50,		6,		0,	1,	150
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/50
Tot number of B2 bunches(probe/Nominal) : 1/50

Tot number of B1 injections : 11
Tot number of B2 injections : 11

Collisions at IP1&5 : 38
B1-empty at IP1&5 : 13
B2-empty at IP1&5 : 13
Empty-empty at IP1&5 : 3500

Collisions at IP2 : 38
B1-empty at IP2 : 13
B2-empty at IP2 : 13
Empty-empty at IP2 : 3500

Collisions at IP8 : 36
B1-empty at IP8 : 15
B2-empty at IP8 : 15
Empty-empty at IP8 : 3502

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
9041,8911,-48.66
11141,11011,-48.66
9021,8911,-41.18
9041,8931,-41.18
11121,11011,-41.18
11141,11031,-41.18
101,1,-37.43
2201,2101,-37.43
17951,17851,-37.43
20051,19951,-37.43
26891,26791,-37.43
28991,28891,-37.43
9001,8911,-33.69
9021,8931,-33.69
9041,8951,-33.69
11101,11011,-33.69
11121,11031,-33.69
11141,11051,-33.69
81,1,-29.95
101,21,-29.95
2181,2101,-29.95
2201,2121,-29.95
17931,17851,-29.95
17951,17871,-29.95
20031,19951,-29.95
20051,19971,-29.95
26871,26791,-29.95
26891,26811,-29.95
28971,28891,-29.95
28991,28911,-29.95
8981,8911,-26.2
9001,8931,-26.2
9021,8951,-26.2
9041,8971,-26.2
11081,11011,-26.2
11101,11031,-26.2
11121,11051,-26.2
11141,11071,-26.2
61,1,-22.46
81,21,-22.46
101,41,-22.46
2161,2101,-22.46
2181,2121,-22.46
2201,2141,-22.46
17911,17851,-22.46
17931,17871,-22.46
17951,17891,-22.46
20011,19951,-22.46
20031,19971,-22.46
20051,19991,-22.46
26851,26791,-22.46
26871,26811,-22.46
26891,26831,-22.46
28951,28891,-22.46
28971,28911,-22.46
28991,28931,-22.46
8961,8911,-18.72
8981,8931,-18.72
9001,8951,-18.72
9021,8971,-18.72
9041,8991,-18.72
11061,11011,-18.72
11081,11031,-18.72
11101,11051,-18.72
11121,11071,-18.72
11141,11091,-18.72
41,1,-14.97
61,21,-14.97
81,41,-14.97
101,61,-14.97
2141,2101,-14.97
2161,2121,-14.97
2181,2141,-14.97
2201,2161,-14.97
17891,17851,-14.97
17911,17871,-14.97
17931,17891,-14.97
17951,17911,-14.97
19991,19951,-14.97
20011,19971,-14.97
20031,19991,-14.97
20051,20011,-14.97
26831,26791,-14.97
26851,26811,-14.97
26871,26831,-14.97
26891,26851,-14.97
28931,28891,-14.97
28951,28911,-14.97
28971,28931,-14.97
28991,28951,-14.97
8941,8911,-11.23
8961,8931,-11.23
8981,8951,-11.23
9001,8971,-11.23
9021,8991,-11.23
9041,9011,-11.23
11041,11011,-11.23
11061,11031,-11.23
11081,11051,-11.23
11101,11071,-11.23
11121,11091,-11.23
11141,11111,-11.23
21,1,-7.49
