INJECTION SCHEME : 50ns_50b_38_34_36_12bpi6inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		50,		12,		0,	1,	150
2,	1,	ring_2,	1,		50,		12,		0,	1,	150
3,	2,	ring_2,	8911,		50,		12,		0,	1,	100
4,	2,	ring_1,	8941,		50,		12,		0,	1,	100
5,	3,	ring_1,	13361,		0,		1,		0,	1,	150
6,	3,	ring_2,	13361,		0,		1,		0,	1,	150
7,	4,	ring_1,	17851,		50,		12,		0,	1,	150
8,	4,	ring_2,	17851,		50,		12,		0,	1,	150
9,	5,	ring_1,	22271,		0,		1,		0,	1,	150
10,	5,	ring_2,	22271,		0,		1,		0,	1,	150
11,	6,	ring_1,	26791,		50,		12,		0,	1,	150
12,	6,	ring_2,	26791,		50,		12,		0,	1,	150
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/50
Tot number of B2 bunches(probe/Nominal) : 0/50

Tot number of B1 injections : 6
Tot number of B2 injections : 6

Collisions at IP1&5 : 36
B1-empty at IP1&5 : 14
B2-empty at IP1&5 : 14
Empty-empty at IP1&5 : 3500

Collisions at IP2 : 36
B1-empty at IP2 : 14
B2-empty at IP2 : 14
Empty-empty at IP2 : 3500

Collisions at IP8 : 36
B1-empty at IP8 : 14
B2-empty at IP8 : 14
Empty-empty at IP8 : 3500

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
9081,8911,-63.64
9101,8931,-63.64
9121,8951,-63.64
9141,8971,-63.64
9161,8991,-63.64
161,1,-59.89
181,21,-59.89
201,41,-59.89
221,61,-59.89
18011,17851,-59.89
18031,17871,-59.89
18051,17891,-59.89
18071,17911,-59.89
26951,26791,-59.89
26971,26811,-59.89
26991,26831,-59.89
27011,26851,-59.89
9061,8911,-56.15
9081,8931,-56.15
9101,8951,-56.15
9121,8971,-56.15
9141,8991,-56.15
9161,9011,-56.15
141,1,-52.41
161,21,-52.41
181,41,-52.41
201,61,-52.41
221,81,-52.41
17991,17851,-52.41
18011,17871,-52.41
18031,17891,-52.41
18051,17911,-52.41
18071,17931,-52.41
26931,26791,-52.41
26951,26811,-52.41
26971,26831,-52.41
26991,26851,-52.41
27011,26871,-52.41
9041,8911,-48.66
9061,8931,-48.66
9081,8951,-48.66
9101,8971,-48.66
9121,8991,-48.66
9141,9011,-48.66
9161,9031,-48.66
121,1,-44.92
141,21,-44.92
161,41,-44.92
181,61,-44.92
201,81,-44.92
221,101,-44.92
17971,17851,-44.92
17991,17871,-44.92
18011,17891,-44.92
18031,17911,-44.92
18051,17931,-44.92
18071,17951,-44.92
26911,26791,-44.92
26931,26811,-44.92
26951,26831,-44.92
26971,26851,-44.92
26991,26871,-44.92
27011,26891,-44.92
9021,8911,-41.18
9041,8931,-41.18
9061,8951,-41.18
9081,8971,-41.18
9101,8991,-41.18
9121,9011,-41.18
9141,9031,-41.18
9161,9051,-41.18
101,1,-37.43
121,21,-37.43
141,41,-37.43
161,61,-37.43
181,81,-37.43
201,101,-37.43
221,121,-37.43
17951,17851,-37.43
17971,17871,-37.43
17991,17891,-37.43
18011,17911,-37.43
18031,17931,-37.43
18051,17951,-37.43
18071,17971,-37.43
26891,26791,-37.43
26911,26811,-37.43
26931,26831,-37.43
26951,26851,-37.43
26971,26871,-37.43
26991,26891,-37.43
27011,26911,-37.43
9001,8911,-33.69
9021,8931,-33.69
9041,8951,-33.69
9061,8971,-33.69
9081,8991,-33.69
9101,9011,-33.69
9121,9031,-33.69
9141,9051,-33.69
9161,9071,-33.69
81,1,-29.95
101,21,-29.95
121,41,-29.95
141,61,-29.95
161,81,-29.95
181,101,-29.95
201,121,-29.95
221,141,-29.95
17931,17851,-29.95
17951,17871,-29.95
17971,17891,-29.95
17991,17911,-29.95
18011,17931,-29.95
18031,17951,-29.95
18051,17971,-29.95
18071,17991,-29.95
26871,26791,-29.95
26891,26811,-29.95
26911,26831,-29.95
26931,26851,-29.95
26951,26871,-29.95
26971,26891,-29.95
26991,26911,-29.95
27011,26931,-29.95
8981,8911,-26.2
9001,8931,-26.2
9021,8951,-26.2
9041,8971,-26.2
9061,8991,-26.2
9081,9011,-26.2
9101,9031,-26.2
9121,9051,-26.2
9141,9071,-26.2
9161,9091,-26.2
61,1,-22.46
81,21,-22.46
101,41,-22.46
121,61,-22.46
141,81,-22.46
161,101,-22.46
181,121,-22.46
201,141,-22.46
221,161,-22.46
17911,17851,-22.46
17931,17871,-22.46
17951,17891,-22.46
17971,17911,-22.46
17991,17931,-22.46
18011,17951,-22.46
18031,17971,-22.46
18051,17991,-22.46
18071,18011,-22.46
26851,26791,-22.46
26871,26811,-22.46
26891,26831,-22.46
26911,26851,-22.46
26931,26871,-22.46
26951,26891,-22.46
26971,26911,-22.46
26991,26931,-22.46
27011,26951,-22.46
8961,8911,-18.72
8981,8931,-18.72
9001,8951,-18.72
9021,8971,-18.72
9041,8991,-18.72
9061,9011,-18.72
9081,9031,-18.72
9101,9051,-18.72
9121,9071,-18.72
9141,9091,-18.72
9161,9111,-18.72
41,1,-14.97
61,21,-14.97
81,41,-14.97
101,61,-14.97
121,81,-14.97
141,101,-14.97
161,121,-14.97
181,141,-14.97
201,161,-14.97
221,181,-14.97
17891,17851,-14.97
17911,17871,-14.97
17931,17891,-14.97
17951,17911,-14.97
17971,17931,-14.97
17991,17951,-14.97
18011,17971,-14.97
18031,17991,-14.97
18051,18011,-14.97
18071,18031,-14.97
26831,26791,-14.97
26851,26811,-14.97
26871,26831,-14.97
26891,26851,-14.97
26911,26871,-14.97
26931,26891,-14.97
26951,26911,-14.97
26971,26931,-14.97
26991,26951,-14.97
27011,26971,-14.97
8941,8911,-11.23
8961,8931,-11.23
8981,8951,-11.23
9001,8971,-11.23
9021,8991,-11.23
9041,9011,-11.23
9061,9031,-11.23
9081,9051,-11.23
9101,9071,-11.23
9121,9091,-11.23
9141,9111,-11.23
9161,9131,-11.23
21,1,-7.49
41,21,-7.49
61,41,-7.49
81,61,-7.49
101,81,-7.49
121,101,-7.49
141,121,-7.49
161,141,-7.49
181,161,-7.49
201,181,-7.49
221,201,-7.49
17871,17851,-7.49
17891,17871,-7.49
17911,17891,-7.49
17931,17911,-7.49
17951,17931,-7.49
17971,17951,-7.49
17991,17971,-7.49
18011,17991,-7.49
18031,18011,-7.49
18051,18031,-7.49
18071,18051,-7.49
26811,26791,-7.49
26831,26811,-7.49
26851,26831,-7.49
26871,26851,-7.49
26891,26871,-7.49
26911,26891,-7.49
26931,26911,-7.49
26951,26931,-7.49
26971,26951,-7.49
26991,26971,-7.49
27011,26991,-7.49
8941,8931,-3.74
8961,8951,-3.74
8981,8971,-3.74
9001,8991,-3.74
