INJECTION SCHEME : Multi_39b_29_2_6_4bpi13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		0,		1,		1000,	4,	100
2,	1,	ring_2,	1,		0,		1,		1000,	4,	100
3,	2,	ring_1,	1601,		0,		1,		1000,	3,	100
4,	2,	ring_2,	1601,		0,		1,		1000,	3,	100
5,	3,	ring_1,	3001,		0,		1,		1000,	2,	100
6,	3,	ring_2,	4401,		0,		1,		1000,	3,	100
7,	4,	ring_1,	5401,		0,		1,		1000,	2,	100
8,	4,	ring_2,	5601,		0,		1,		1000,	3,	100
9,	5,	ring_1,	7201,		0,		1,		1000,	4,	100
10,	5,	ring_2,	7201,		0,		1,		1000,	4,	100
11,	6,	ring_1,	8801,		0,		1,		1000,	3,	100
12,	6,	ring_2,	8801,		0,		1,		1000,	3,	100
13,	7,	ring_2,	11911,		0,		1,		1000,	2,	100
14,	7,	ring_1,	13341,		0,		1,		1000,	3,	100
15,	8,	ring_1,	14541,		0,		1,		1000,	3,	100
16,	9,	ring_1,	15801,		0,		1,		1000,	4,	100
17,	8,	ring_2,	15801,		0,		1,		1000,	4,	100
18,	10,	ring_1,	17401,		0,		1,		1000,	3,	100
19,	9,	ring_2,	17401,		0,		1,		1000,	3,	100
20,	10,	ring_2,	20001,		0,		1,		1000,	2,	100
21,	11,	ring_1,	21601,		0,		1,		1000,	4,	100
22,	11,	ring_2,	21601,		0,		1,		1000,	4,	100
23,	12,	ring_1,	23201,		0,		1,		1000,	3,	100
24,	12,	ring_2,	23201,		0,		1,		1000,	3,	100
25,	13,	ring_1,	28801,		0,		1,		0,	1,	100
26,	13,	ring_2,	28801,		0,		1,		0,	1,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 1/38
Tot number of B2 bunches(probe/Nominal) : 1/38

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5 : 29
B1-empty at IP1&5 : 10
B2-empty at IP1&5 : 10
Empty-empty at IP1&5 : 3515

Collisions at IP2 : 29
B1-empty at IP2 : 10
B2-empty at IP2 : 10
Empty-empty at IP2 : 3515

Collisions at IP8 : 6
B1-empty at IP8 : 33
B2-empty at IP8 : 33
Empty-empty at IP8 : 3538

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
1201,1201,0
1601,1601,0
2001,2001,0
2401,2401,0
7201,7201,0
7601,7601,0
8001,8001,0
8401,8401,0
8801,8801,0
9201,9201,0
9601,9601,0
15801,15801,0
16201,16201,0
16601,16601,0
17001,17001,0
17401,17401,0
17801,17801,0
18201,18201,0
21601,21601,0
22001,22001,0
22401,22401,0
22801,22801,0
23201,23201,0
23601,23601,0
24001,24001,0
28801,28801,0

IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,8801,-41.18
401,9201,-41.18
801,9601,-41.18
28801,2001,-26.2
3001,11911,0
3401,12311,0
7201,16201,33.69
7601,16601,33.69
8001,17001,33.69
8401,17401,33.69
8801,17801,33.69
9201,18201,33.69
13341,22401,56.15
13741,22801,56.15
14141,23201,56.15
14541,23601,56.15
14941,24001,56.15

IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
1201,1201,0
1601,1601,0
2001,2001,0
2401,2401,0
7201,7201,0
7601,7601,0
8001,8001,0
8401,8401,0
8801,8801,0
9201,9201,0
9601,9601,0
15801,15801,0
16201,16201,0
16601,16601,0
17001,17001,0
17401,17401,0
17801,17801,0
18201,18201,0
21601,21601,0
22001,22001,0
22401,22401,0
22801,22801,0
23201,23201,0
23601,23601,0
24001,24001,0
28801,28801,0

IR8
RFbucketbeam1,RFbucketbeam2,z-pos/m
16201,7201,-22.46
16601,7601,-22.46
17001,8001,-22.46
17401,8401,-22.46
17801,8801,-22.46
18201,9201,-22.46
13341,4401,0
13741,4801,0
14141,5201,0
14541,5601,0
14941,6001,0
15341,6401,0
2001,28801,37.43
8801,1,52.41
9201,401,52.41
9601,801,52.41
28801,20001,52.41

BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
1,0,1,0,1,0,2,0,1,0,0,1
401,40,1,0,1,0,2,0,1,0,0,1
801,80,1,0,1,0,2,0,1,0,0,1
1201,120,1,0,1,0,2,0,0,0,0,0
1601,160,1,0,1,0,2,0,0,0,0,0
2001,200,1,0,1,0,2,0,0,0,1,1
2401,240,1,0,1,0,2,0,0,0,0,0
3001,300,0,1,0,0,1,0,0,0,0,0
3401,340,0,1,0,0,1,0,0,0,0,0
5401,540,0,0,0,0,0,0,0,0,0,0
5801,580,0,0,0,0,0,0,0,0,0,0
7201,720,1,0,1,0,2,0,1,0,0,1
7601,760,1,0,1,0,2,0,1,0,0,1
8001,800,1,0,1,0,2,0,1,0,0,1
8401,840,1,0,1,0,2,0,1,0,0,1
8801,880,1,0,1,0,2,0,1,0,1,2
9201,920,1,0,1,0,2,0,1,0,1,2
9601,960,1,0,1,0,2,0,0,0,1,1
13341,1334,0,0,0,1,1,0,1,0,0,1
