INJECTION SCHEME : Multi_39b_37_15_15_4bpi11inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		0,		1,		2000,	4,	150
2,	1,	ring_2,	1,		0,		1,		2000,	4,	150
3,	2,	ring_1,	3201,		0,		1,		2000,	4,	150
4,	2,	ring_2,	3201,		0,		1,		2000,	4,	150
5,	3,	ring_1,	6401,		0,		1,		2000,	3,	150
6,	3,	ring_2,	6401,		0,		1,		2000,	3,	150
7,	4,	ring_1,	8941,		0,		1,		2000,	2,	150
8,	4,	ring_2,	10511,		0,		1,		2000,	2,	150
9,	5,	ring_1,	12141,		0,		1,		2000,	4,	150
10,	5,	ring_2,	12141,		0,		1,		2000,	4,	150
11,	6,	ring_1,	15341,		0,		1,		2000,	3,	150
12,	6,	ring_2,	15341,		0,		1,		2000,	3,	150
13,	7,	ring_1,	17851,		0,		1,		2000,	4,	150
14,	7,	ring_2,	17851,		0,		1,		2000,	4,	150
15,	8,	ring_1,	21051,		0,		1,		2000,	4,	150
16,	8,	ring_2,	21051,		0,		1,		2000,	4,	150
17,	9,	ring_1,	24251,		0,		1,		2000,	3,	150
18,	9,	ring_2,	24251,		0,		1,		2000,	3,	150
19,	10,	ring_1,	26761,		0,		1,		2000,	4,	150
20,	10,	ring_2,	26761,		0,		1,		2000,	4,	150
21,	11,	ring_1,	29991,		0,		1,		2000,	4,	150
22,	11,	ring_2,	29991,		0,		1,		2000,	4,	150
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/39
Tot number of B2 bunches(probe/Nominal) : 0/39

Tot number of B1 injections : 11
Tot number of B2 injections : 11

Collisions at IP1&5 : 37
B1-empty at IP1&5 : 2
B2-empty at IP1&5 : 2
Empty-empty at IP1&5 : 3523

Collisions at IP2 : 37
B1-empty at IP2 : 2
B2-empty at IP2 : 2
Empty-empty at IP2 : 3523

Collisions at IP8 : 15
B1-empty at IP8 : 24
B2-empty at IP8 : 24
Empty-empty at IP8 : 3545

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
801,801,0
1601,1601,0
2401,2401,0
3201,3201,0
4001,4001,0
4801,4801,0
5601,5601,0
6401,6401,0
7201,7201,0
8001,8001,0
12141,12141,0
12941,12941,0
13741,13741,0
14541,14541,0
15341,15341,0
16141,16141,0
16941,16941,0
17851,17851,0
18651,18651,0
19451,19451,0
20251,20251,0
21051,21051,0
21851,21851,0
22651,22651,0
23451,23451,0
24251,24251,0
25051,25051,0
25851,25851,0
26761,26761,0
27561,27561,0
28361,28361,0
29161,29161,0
29991,29991,0
30791,30791,0
31591,31591,0
32391,32391,0

IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
29991,3201,-22.46
30791,4001,-22.46
31591,4801,-22.46
32391,5601,-22.46
26761,1,-11.23
27561,801,-11.23
28361,1601,-11.23
29161,2401,-11.23
1601,10511,0
2401,11311,0
8941,17851,0
9741,18651,0
12141,21051,0
12941,21851,0
13741,22651,0
14541,23451,0
15341,24251,0
16141,25051,0
16941,25851,0
17851,26761,0
18651,27561,0
19451,28361,0
20251,29161,0
3201,12141,11.23
4001,12941,11.23
4801,13741,11.23
5601,14541,11.23
6401,15341,11.23
7201,16141,11.23
8001,16941,11.23
21051,29991,11.23
21851,30791,11.23
22651,31591,11.23
23451,32391,11.23

IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
801,801,0
1601,1601,0
2401,2401,0
3201,3201,0
4001,4001,0
4801,4801,0
5601,5601,0
6401,6401,0
7201,7201,0
8001,8001,0
12141,12141,0
12941,12941,0
13741,13741,0
14541,14541,0
15341,15341,0
16141,16141,0
16941,16941,0
17851,17851,0
18651,18651,0
19451,19451,0
20251,20251,0
21051,21051,0
21851,21851,0
22651,22651,0
23451,23451,0
24251,24251,0
25051,25051,0
25851,25851,0
26761,26761,0
27561,27561,0
28361,28361,0
29161,29161,0
29991,29991,0
30791,30791,0
31591,31591,0
32391,32391,0

IR8
RFbucketbeam1,RFbucketbeam2,z-pos/m
8941,1,0
9741,801,0
12141,3201,0
12941,4001,0
13741,4801,0
14541,5601,0
15341,6401,0
16141,7201,0
16941,8001,0
19451,10511,0
20251,11311,0
29991,21051,0
30791,21851,0
31591,22651,0
32391,23451,0
21051,12141,11.23
