INJECTION SCHEME : Multi_44b_22_22_22_4bpi12inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		0,		1,		1000,	4,	150
2,	1,	ring_2,	1,		0,		1,		1000,	4,	150
3,	2,	ring_2,	1601,		0,		1,		1000,	4,	150
4,	2,	ring_1,	4831,		0,		1,		1000,	4,	80
5,	3,	ring_1,	6431,		0,		1,		1000,	4,	80
6,	3,	ring_2,	6431,		0,		1,		1000,	4,	80
7,	4,	ring_1,	8031,		0,		1,		1000,	2,	80
8,	4,	ring_2,	8911,		0,		1,		1000,	4,	150
9,	5,	ring_1,	10541,		0,		1,		1000,	4,	150
10,	6,	ring_1,	12141,		0,		1,		1000,	4,	150
11,	5,	ring_2,	12141,		0,		1,		1000,	4,	80
12,	6,	ring_2,	13741,		0,		1,		1000,	4,	80
13,	7,	ring_2,	15341,		0,		1,		1000,	4,	80
14,	8,	ring_2,	16941,		0,		1,		1000,	2,	80
15,	7,	ring_1,	17851,		0,		1,		1000,	4,	100
16,	9,	ring_2,	21051,		0,		1,		1000,	4,	150
17,	8,	ring_1,	22681,		0,		1,		1000,	4,	80
18,	10,	ring_2,	22681,		0,		1,		1000,	4,	80
19,	9,	ring_1,	24281,		0,		1,		1000,	4,	80
20,	10,	ring_1,	25881,		0,		1,		1000,	2,	80
21,	11,	ring_2,	25881,		0,		1,		1000,	2,	80
22,	11,	ring_1,	28331,		0,		1,		1000,	4,	80
23,	12,	ring_2,	28331,		0,		1,		1000,	4,	80
24,	12,	ring_1,	29991,		0,		1,		1000,	4,	150
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/44
Tot number of B2 bunches(probe/Nominal) : 0/44

Tot number of B1 injections : 12
Tot number of B2 injections : 12

Collisions at IP1&5 : 22
B1-empty at IP1&5 : 22
B2-empty at IP1&5 : 22
Empty-empty at IP1&5 : 3498

Collisions at IP2 : 22
B1-empty at IP2 : 22
B2-empty at IP2 : 22
Empty-empty at IP2 : 3498

Collisions at IP8 : 22
B1-empty at IP8 : 22
B2-empty at IP8 : 22
Empty-empty at IP8 : 3498

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
1201,1201,0
6431,6431,0
6831,6831,0
7231,7231,0
7631,7631,0
12141,12141,0
12541,12541,0
12941,12941,0
13341,13341,0
22681,22681,0
23081,23081,0
23481,23481,0
23881,23881,0
25881,25881,0
26281,26281,0
28331,28331,0
28731,28731,0
29131,29131,0
29531,29531,0

IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,8911,0
401,9311,0
801,9711,0
1201,10111,0
4831,13741,0
5231,14141,0
5631,14541,0
6031,14941,0
6431,15341,0
6831,15741,0
7231,16141,0
7631,16541,0
8031,16941,0
8431,17341,0
12141,21051,0
12541,21451,0
12941,21851,0
13341,22251,0
28331,1601,0
28731,2001,0
29131,2401,0
29531,2801,0

IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
401,401,0
801,801,0
1201,1201,0
6431,6431,0
6831,6831,0
7231,7231,0
7631,7631,0
12141,12141,0
12541,12541,0
12941,12941,0
13341,13341,0
22681,22681,0
23081,23081,0
23481,23481,0
23881,23881,0
25881,25881,0
26281,26281,0
28331,28331,0
28731,28731,0
29131,29131,0
29531,29531,0

IR8
RFbucketbeam1,RFbucketbeam2,z-pos/m
10541,1601,0
10941,2001,0
11341,2401,0
11741,2801,0
17851,8911,0
18251,9311,0
18651,9711,0
19051,10111,0
22681,13741,0
23081,14141,0
23481,14541,0
23881,14941,0
24281,15341,0
24681,15741,0
25081,16141,0
25481,16541,0
25881,16941,0
26281,17341,0
29991,21051,0
30391,21451,0
30791,21851,0
31191,22251,0

BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
1,0,1,1,1,0,3,0,0,0,0,0
401,40,1,1,1,0,3,0,0,0,0,0
801,80,1,1,1,0,3,0,0,0,0,0
1201,120,1,1,1,0,3,0,0,0,0,0
4831,483,0,1,0,0,1,0,0,0,0,0
5231,523,0,1,0,0,1,0,0,0,0,0
5631,563,0,1,0,0,1,0,0,0,0,0
6031,603,0,1,0,0,1,0,0,0,0,0
6431,643,1,1,1,0,3,0,0,0,0,0
6831,683,1,1,1,0,3,0,0,0,0,0
7231,723,1,1,1,0,3,0,0,0,0,0
7631,763,1,1,1,0,3,0,0,0,0,0
8031,803,0,1,0,0,1,0,0,0,0,0
8431,843,0,1,0,0,1,0,0,0,0,0
10541,1054,0,0,0,1,1,0,0,0,0,0
10941,1094,0,0,0,1,1,0,0,0,0,0
11341,1134,0,0,0,1,1,0,0,0,0,0
11741,1174,0,0,0,1,1,0,0,0,0,0
12141,1214,1,1,1,0,3,0,0,0,0,0
12541,1254,1,1,1,0,3,0,0,0,0,0
12941,1294,1,1,1,0,3,0,0,0,0,0
13341,1334,1,1,1,0,3,0,0,0,0,0
17851,1785,0,0,0,1,1,0,0,0,0,0
18251,1825,0,0,0,1,1,0,0,0,0,0
