INJECTION SCHEME : Multi_44b_30_7_6_4bpi15nj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		0,		1,		0,	1,	150
2,	1,	ring_2,	1,		0,		1,		0,	1,	150
3,	2,	ring_1,	501,		0,		1,		1000,	4,	100
4,	2,	ring_2,	501,		0,		1,		1000,	4,	100
5,	3,	ring_1,	2101,		0,		1,		1000,	3,	100
6,	3,	ring_2,	2101,		0,		1,		1000,	3,	100
7,	4,	ring_1,	3501,		0,		1,		1000,	2,	100
8,	4,	ring_2,	4901,		0,		1,		1000,	3,	100
9,	5,	ring_1,	5901,		0,		1,		1000,	2,	100
10,	5,	ring_2,	6101,		0,		1,		1000,	3,	100
11,	6,	ring_1,	7701,		0,		1,		1000,	4,	100
12,	6,	ring_2,	7701,		0,		1,		1000,	4,	100
13,	7,	ring_1,	9301,		0,		1,		1000,	3,	100
14,	7,	ring_2,	9301,		0,		1,		1000,	3,	100
15,	8,	ring_2,	12411,		0,		1,		1000,	2,	100
16,	8,	ring_1,	13841,		0,		1,		1000,	3,	100
17,	9,	ring_1,	15041,		0,		1,		1000,	3,	100
18,	10,	ring_1,	16301,		0,		1,		1000,	4,	100
19,	9,	ring_2,	16301,		0,		1,		1000,	4,	100
20,	11,	ring_1,	17901,		0,		1,		1000,	3,	100
21,	10,	ring_2,	17901,		0,		1,		1000,	3,	100
22,	12,	ring_1,	19201,		0,		1,		1000,	4,	80
23,	13,	ring_1,	22101,		0,		1,		1000,	4,	100
24,	11,	ring_2,	22101,		0,		1,		1000,	4,	100
25,	14,	ring_1,	23701,		0,		1,		1000,	3,	100
26,	12,	ring_2,	23701,		0,		1,		1000,	3,	100
27,	15,	ring_1,	26731,		0,		1,		0,	1,	100
28,	13,	ring_2,	26731,		0,		1,		0,	1,	100
29,	14,	ring_2,	28111,		0,		1,		1000,	4,	80
30,	15,	ring_2,	30501,		0,		1,		1000,	2,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/44
Tot number of B2 bunches(probe/Nominal) : 0/44

Tot number of B1 injections : 15
Tot number of B2 injections : 15

Collisions at IP1&5 : 30
B1-empty at IP1&5 : 14
B2-empty at IP1&5 : 14
Empty-empty at IP1&5 : 3506

Collisions at IP2 : 30
B1-empty at IP2 : 14
B2-empty at IP2 : 14
Empty-empty at IP2 : 3506

Collisions at IP8 : 6
B1-empty at IP8 : 38
B2-empty at IP8 : 38
Empty-empty at IP8 : 3530

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
501,501,0
901,901,0
1301,1301,0
1701,1701,0
2101,2101,0
2501,2501,0
2901,2901,0
7701,7701,0
8101,8101,0
8501,8501,0
8901,8901,0
9301,9301,0
9701,9701,0
10101,10101,0
16301,16301,0
16701,16701,0
17101,17101,0
17501,17501,0
17901,17901,0
18301,18301,0
18701,18701,0
22101,22101,0
22501,22501,0
22901,22901,0
23301,23301,0
23701,23701,0
24101,24101,0
24501,24501,0
26731,26731,0

IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
501,9301,-41.18
901,9701,-41.18
1301,10101,-41.18
22101,30901,-41.18
17901,26731,-29.95
1,8901,-3.74
3501,12411,0
3901,12811,0
19201,28111,0
19601,28511,0
20001,28911,0
20401,29311,0
26731,1,0
7701,16701,33.69
8101,17101,33.69
8501,17501,33.69
8901,17901,33.69
9301,18301,33.69
9701,18701,33.69
13841,22901,56.15
14241,23301,56.15
14641,23701,56.15
15041,24101,56.15
15441,24501,56.15

IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
501,501,0
901,901,0
1301,1301,0
1701,1701,0
2101,2101,0
2501,2501,0
2901,2901,0
7701,7701,0
8101,8101,0
8501,8501,0
8901,8901,0
9301,9301,0
9701,9701,0
10101,10101,0
16301,16301,0
16701,16701,0
17101,17101,0
17501,17501,0
17901,17901,0
18301,18301,0
18701,18701,0
22101,22101,0
22501,22501,0
22901,22901,0
23301,23301,0
23701,23701,0
24101,24101,0
24501,24501,0
26731,26731,0

IR8
RFbucketbeam1,RFbucketbeam2,z-pos/m
19201,10101,-59.89
3901,30501,-37.43
16701,7701,-22.46
17101,8101,-22.46
17501,8501,-22.46
17901,8901,-22.46
18301,9301,-22.46
18701,9701,-22.46
13841,4901,0
14241,5301,0
14641,5701,0
15041,6101,0
15441,6501,0
15841,6901,0
1,26731,11.23
8901,1,14.97
1301,28111,41.18
1701,28511,41.18
2101,28911,41.18
2501,29311,41.18
26731,17901,41.18
9301,501,52.41
9701,901,52.41
10101,1301,52.41

BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
1,0,1,0,1,0,2,0,1,0,1,2
501,50,1,0,1,0,2,0,1,0,0,1
901,90,1,0,1,0,2,0,1,0,0,1
1301,130,1,0,1,0,2,0,1,0,1,2
1701,170,1,0,1,0,2,0,0,0,1,1
2101,210,1,0,1,0,2,0,0,0,1,1
2501,250,1,0,1,0,2,0,0,0,1,1
2901,290,1,0,1,0,2,0,0,0,0,0
3501,350,0,1,0,0,1,0,0,0,0,0
3901,390,0,1,0,0,1,0,0,0,1,1
5901,590,0,0,0,0,0,0,0,0,0,0
6301,630,0,0,0,0,0,0,0,0,0,0
7701,770,1,0,1,0,2,0,1,0,0,1
