INJECTION SCHEME : Multi_51b_8_27_16_4bpi14inj_alt

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr,bu Int[1e9p]
1,	1,	ring_1,	1,		0,		1,		0,	1,	150
2,	1,	ring_2,	1,		0,		1,		0,	1,	150
3,	2,	ring_2,	501,		0,		1,		1000,	3,	100
4,	3,	ring_2,	1701,		0,		1,		1000,	4,	100
5,	4,	ring_2,	3301,		0,		1,		1000,	4,	100
6,	2,	ring_1,	4901,		0,		1,		1000,	3,	100
7,	5,	ring_2,	4901,		0,		1,		1000,	3,	100
8,	3,	ring_1,	11211,		0,		1,		1000,	4,	100
9,	6,	ring_2,	11391,		0,		1,		1000,	4,	100
10,	4,	ring_1,	12811,		0,		1,		1000,	4,	100
11,	7,	ring_2,	12991,		0,		1,		1000,	4,	100
12,	5,	ring_1,	14411,		0,		1,		1000,	4,	100
13,	8,	ring_2,	14591,		0,		1,		1000,	4,	100
14,	6,	ring_1,	16011,		0,		1,		1000,	4,	100
15,	9,	ring_2,	16191,		0,		1,		1000,	4,	100
16,	7,	ring_1,	17821,		0,		1,		1000,	4,	100
17,	10,	ring_2,	17821,		0,		1,		1000,	4,	100
18,	11,	ring_2,	20121,		0,		1,		1000,	4,	100
19,	8,	ring_1,	20331,		0,		1,		1000,	4,	100
20,	12,	ring_2,	21721,		0,		1,		1000,	4,	100
21,	9,	ring_1,	21931,		0,		1,		1000,	4,	100
22,	13,	ring_2,	23321,		0,		1,		1000,	4,	100
23,	10,	ring_1,	23531,		0,		1,		1000,	4,	100
24,	14,	ring_2,	24921,		0,		1,		1000,	4,	100
25,	11,	ring_1,	25131,		0,		1,		1000,	4,	100
26,	12,	ring_1,	27231,		0,		1,		1000,	3,	100
27,	13,	ring_1,	28431,		0,		1,		1000,	4,	100
28,	14,	ring_1,	30031,		0,		1,		1000,	4,	100
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/51
Tot number of B2 bunches(probe/Nominal) : 0/51

Tot number of B1 injections : 14
Tot number of B2 injections : 14

Collisions at IP1&5 : 8
B1-empty at IP1&5 : 43
B2-empty at IP1&5 : 43
Empty-empty at IP1&5 : 3470

Collisions at IP2 : 8
B1-empty at IP2 : 43
B2-empty at IP2 : 43
Empty-empty at IP2 : 3470

Collisions at IP8 : 16
B1-empty at IP8 : 35
B2-empty at IP8 : 35
Empty-empty at IP8 : 3462

IR1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
4901,4901,0
5301,5301,0
5701,5701,0
17821,17821,0
18221,18221,0
18621,18621,0
19021,19021,0

IR2
RFbucketbeam1,RFbucketbeam2,z-pos/m
4901,13791,-7.49
5301,14191,-7.49
5701,14591,-7.49
11211,20121,0
11611,20521,0
12011,20921,0
12411,21321,0
12811,21721,0
13211,22121,0
13611,22521,0
14011,22921,0
14411,23321,0
14811,23721,0
15211,24121,0
15611,24521,0
16011,24921,0
16411,25321,0
16811,25721,0
17211,26121,0
27231,501,0
27631,901,0
28031,1301,0
28431,1701,0
28831,2101,0
29231,2501,0
29631,2901,0
30031,3301,0
30431,3701,0
30831,4101,0
31231,4501,0

IR5
RFbucketbeam1,RFbucketbeam2,z-pos/m
1,1,0
4901,4901,0
5301,5301,0
5701,5701,0
17821,17821,0
18221,18221,0
18621,18621,0
19021,19021,0

IR8
RFbucketbeam1,RFbucketbeam2,z-pos/m
11211,2101,-63.64
11611,2501,-63.64
12011,2901,-63.64
12411,3301,-63.64
12811,3701,-63.64
13211,4101,-63.64
13611,4501,-63.64
14011,4901,-63.64
14411,5301,-63.64
14811,5701,-63.64
29231,20121,-63.64
29631,20521,-63.64
30031,20921,-63.64
30431,21321,-63.64
30831,21721,-63.64
31231,22121,-63.64
27231,18221,-26.2
27631,18621,-26.2
28031,19021,-26.2
20331,11391,0
20731,11791,0
21131,12191,0
21531,12591,0
21931,12991,0
22331,13391,0
22731,13791,0
23131,14191,0
23531,14591,0
23931,14991,0
24331,15391,0
24731,15791,0
25131,16191,0
25531,16591,0
25931,16991,0
26331,17391,0

BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
1,0,1,0,1,0,2,0,0,0,0,0
4901,490,1,0,1,0,2,0,1,0,0,1
5301,530,1,0,1,0,2,0,1,0,0,1
5701,570,1,0,1,0,2,0,1,0,0,1
11211,1121,0,1,0,0,1,0,0,0,1,1
11611,1161,0,1,0,0,1,0,0,0,1,1
12011,1201,0,1,0,0,1,0,0,0,1,1
12411,1241,0,1,0,0,1,0,0,0,1,1
12811,1281,0,1,0,0,1,0,0,0,1,1
13211,1321,0,1,0,0,1,0,0,0,1,1
13611,1361,0,1,0,0,1,0,0,0,1,1
14011,1401,0,1,0,0,1,0,0,0,1,1
14411,1441,0,1,0,0,1,0,0,0,1,1
14811,1481,0,1,0,0,1,0,0,0,1,1
15211,1521,0,1,0,0,1,0,0,0,0,0
15611,1561,0,1,0,0,1,0,0,0,0,0
